Gene Name,Score
{'feature_is_filtered': False, 'original_gene_symbols': 'MT-ND1', 'feature_name': 'MT-ND1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 956, 'n_cells': 19917, 'highly_variable': True, 'means': 2.8550526575147552, 'dispersions': 3.8969724045064207, 'dispersions_norm': 0.14370781183242798},0.0261
{'feature_is_filtered': False, 'original_gene_symbols': 'AGR2', 'feature_name': 'AGR2', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 2764, 'n_cells': 18163, 'highly_variable': True, 'means': 2.251106231374749, 'dispersions': 4.236678009211068, 'dispersions_norm': 1.644061803817749},0.0250
{'feature_is_filtered': False, 'original_gene_symbols': 'EGR1', 'feature_name': 'EGR1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 3137, 'n_cells': 14913, 'highly_variable': True, 'means': 1.5559783505298685, 'dispersions': 2.938316562024348, 'dispersions_norm': 0.6650280952453613},0.0248
{'feature_is_filtered': False, 'original_gene_symbols': 'TSPAN1', 'feature_name': 'TSPAN1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 2370, 'n_cells': 14955, 'highly_variable': True, 'means': 2.1818649390234564, 'dispersions': 3.713065895122251, 'dispersions_norm': 1.50332772731781},0.0243
{'feature_is_filtered': False, 'original_gene_symbols': 'SFTPB', 'feature_name': 'SFTPB', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 4110, 'n_cells': 14263, 'highly_variable': True, 'means': 3.6855265104159547, 'dispersions': 4.601074158956879, 'dispersions_norm': 1.0308703184127808},0.0238
{'feature_is_filtered': False, 'original_gene_symbols': 'RNU86;RPL3', 'feature_name': 'RPL3', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 4710, 'n_cells': 23595, 'highly_variable': True, 'means': 2.7163963238220825, 'dispersions': 3.2904176517744848, 'dispersions_norm': 0.5855571031570435},0.0237
{'feature_is_filtered': False, 'original_gene_symbols': 'AC134043.1;RPL18A', 'feature_name': 'RPL18A', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 3493, 'n_cells': 20133, 'highly_variable': True, 'means': 2.471607956382335, 'dispersions': 2.953187567880992, 'dispersions_norm': -0.1283777505159378},0.0237
{'feature_is_filtered': False, 'original_gene_symbols': 'ANXA2', 'feature_name': 'ANXA2', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 11574, 'n_cells': 24703, 'highly_variable': True, 'means': 2.1269638283504135, 'dispersions': 2.506366946310411, 'dispersions_norm': -0.47049909830093384},0.0236
{'feature_is_filtered': False, 'original_gene_symbols': 'DYNLL1', 'feature_name': 'DYNLL1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 2931, 'n_cells': 16517, 'highly_variable': True, 'means': 1.6082332335492078, 'dispersions': 3.0257028426154826, 'dispersions_norm': 0.4337630271911621},0.0231
{'feature_is_filtered': False, 'original_gene_symbols': 'RPL10A', 'feature_name': 'RPL10A', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 1508, 'n_cells': 24416, 'highly_variable': True, 'means': 2.3916979286884636, 'dispersions': 2.7320781267628953, 'dispersions_norm': -0.4337194263935089},0.0229
{'feature_is_filtered': False, 'original_gene_symbols': 'PIGR', 'feature_name': 'PIGR', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 4372, 'n_cells': 14998, 'highly_variable': True, 'means': 1.9472406341921702, 'dispersions': 3.506281185008407, 'dispersions_norm': 1.165084958076477},0.0223
{'feature_is_filtered': False, 'original_gene_symbols': 'MT-ND3', 'feature_name': 'MT-ND3', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 346, 'n_cells': 20509, 'highly_variable': True, 'means': 2.9413329805767483, 'dispersions': 3.914902274475644, 'dispersions_norm': 0.16268953680992126},0.0222
