Gene Name,Score
SFTPB,0.3456
CFTR,0.2984
MT-ND2,0.2848
LTF,0.2685
RPL27A,0.2649
MIR4485,0.2442
MT-ND1,0.2397
SFTPC,0.2382
SERPINB4,0.2328
MT-ATP6,0.2305
RPL13A,0.2292
SFTPA1,0.2254
TSPAN1,0.2163
RPL15,0.216
MT-CO2,0.2157
GAS5,0.2156
S100P,0.2116
SFTPA2,0.2092
NAPSA,0.2045
HSP90B2P,0.2042
RPS29,0.2032
MT-CYB,0.2021
ANXA2P3,0.2002
PDIA3P1,0.197
RPL23,0.1958
MT-ND3,0.1954
RPS2,0.1931
LINGO1,0.1909
RPS15A,0.1893
MSMB,0.1892
CP,0.1891
RACK1,0.189
RPL31,0.1889
RPL21,0.1862
RPL13AP5,0.1854
MT-ND5,0.1851
AGR2,0.1837
NEAT1,0.1808
SNORD42A,0.1789
LRRK2,0.1771
SERPINB3,0.174
PIP,0.174
RPL10A,0.1726
HSP90AA1,0.1698
VMO1,0.1693
MT-CO3,0.1679
BPIFB1,0.1677
UQCRBP1,0.167
LRRIQ1,0.1666
RPL28,0.1659
CCDC146,0.1639
MUC1,0.1638
RSPH1,0.1627
RPL37A,0.1616
ERICH3,0.1614
MT-ND4,0.1597
SCGB3A1,0.1587
HSPH1,0.1572
CFAP298,0.1562
HOPX,0.156
ANKRD36B,0.1555
SFTPD,0.1547
TCN1,0.1546
ANXA2P2,0.1546
RPS3,0.1543
RPL32,0.1541
RPL21P28,0.1538
RPL39,0.1535
RPS5,0.1534
LYZ,0.1534
DNAH12,0.1526
ATP11A,0.1519
SYNE2,0.1516
LCN2,0.151
ENKUR,0.1502
BPIFA1,0.1498
SLPI,0.1498
SCGB1A1,0.1497
H3P6,0.1496
UBB,0.1493
CXCL8,0.1488
GPX1,0.1487
RPL3,0.1482
RPL23A,0.148
RPS27,0.1468
GADD45A,0.1466
GOLGB1,0.1465
RPL18A,0.1464
AKAP9,0.1464
DNAAF1,0.1454
LRP4,0.1443
SNTN,0.1431
RPS28,0.1422
NUCB2,0.1417
WFDC21P,0.1417
NPC2,0.1415
ATF3,0.1414
DNAJA1,0.1409
RPL7,0.1407
ZNF385B,0.1406
WSB1,0.1404
GAPDH,0.1395
RPS19,0.1394
DNAAF4-CCPG1,0.139
PPP1R15A,0.1386
IGFBP3,0.1383
RPL26,0.138
RPL13AP20,0.1372
CALM1,0.1358
SNX29P2,0.1353
ABCA3,0.1351
ATP5ME,0.1351
IFITM3,0.1349
CXCL17,0.1344
SAA1,0.1337
AKAP13,0.1335
WFDC2,0.1335
SLC39A8,0.1332
NUDT4P2,0.1332
TFF3,0.1329
TCIM,0.1328
HOATZ,0.1325
ACOXL,0.1322
CFAP53,0.132
MMP10,0.1318
TMSB4X,0.1314
EZR,0.1314
PMAIP1,0.1308
S100A2,0.1308
UQCRB,0.1298
RPL12,0.1295
ATP5MK,0.1288
RSPH4A,0.1286
CRIP1,0.1283
GSTP1,0.1282
CFAP144,0.1281
PABPC3,0.128
SNHG5,0.1278
KRT17,0.1275
TSC22D1,0.1275
NUDT4B,0.1274
SCGB3A2,0.1273
CFAP157,0.1271
RPS3A,0.1271
SNX25,0.1266
FTL,0.1265
PHLDA2,0.1261
C6orf118,0.1255
KIAA1217,0.1247
AZGP1,0.1245
FAM3D,0.1233
CALM2,0.1231
ANKRD36C,0.123
CD55,0.1226
DAPK1,0.1225
GTF2IP1_ENSG00000277053,0.1224
NCOA7,0.1223
CTSC,0.1222
CAPS,0.1219
RPLP0,0.1214
CYCS,0.1214
AFF3,0.1208
PABPC1,0.1204
ATP5F1EP2,0.1202
DYDC2,0.12
SAA2,0.1198
SFTA3_ENSG00000229415,0.1197
KLF6,0.1194
RPS10,0.1193
RBM25,0.1192
COX7B,0.119
NOP53,0.119
RPL4,0.1189
TIMP1,0.1186
MALAT1,0.1179
MECOM,0.1179
SPA17,0.1178
NEDD4L,0.1175
ATP5PF,0.1169
AGR3,0.1168
MTCO1P12,0.1168
MT-ND4L,0.1168
CAPSL,0.1168
NDUFA1,0.1167
SPAG17,0.1164
FHL2,0.1162
PIGR,0.1162
ARMC3,0.1161
DLC1,0.116
TMEM190,0.1158
SLC26A3,0.1155
TSPAN19,0.1155
MUC16,0.1154
P3H2,0.1151
CETN2,0.115
UNC13B,0.1148
GOLGA4,0.1148
MAGI1,0.1147
DYNLL1,0.1147
FTX,0.1141
CFAP43,0.1141
ARPC2,0.1139
LIMCH1,0.1139
C9orf24,0.1138
TXNIP,0.1137
ANXA1,0.1136
ANXA2,0.1135
CYP2F1,0.1132
RBPMS,0.1131
KRT15,0.1131
UBL5,0.113
MDK,0.113
TMC5,0.113
SLC34A2,0.1129
SPEF2,0.1129
KRT19,0.1129
LDHB,0.1123
CXCL6,0.1122
PSCA,0.1121
HSP90AB1,0.1117
TACSTD2,0.1112
TSHZ2,0.1109
ATP5MC3,0.1107
AQP5,0.1105
EGR1,0.1104
ODAD4,0.1102
IFITM1,0.1102
DSP,0.1101
CFAP210,0.11
STEAP1B,0.1098
RARRES1,0.1097
LRMDA,0.1096
MACROD2,0.1093
ADK,0.1093
RPL5,0.1093
HNRNPU,0.1091
MTATP8P1,0.1091
FABP5,0.109
MT1X,0.109
ATP5MJ,0.1088
RPL17,0.1087
DRC1,0.1087
DYNLT2B,0.1083
PIFO,0.1082
C11orf97,0.1082
GTF2IP4,0.1076
PDIA3,0.1075
LINC00513,0.1074
EPAS1,0.1073
GSTA1,0.1073
CPM,0.1071
DLG2,0.107
TP53TG1,0.107
JPT1,0.1069
MS4A8,0.1069
CTSH,0.1067
TPPP3,0.1067
HSPD1,0.1066
NUDC,0.1063
MARCKSL1,0.1063
ANKRD36,0.1062
CCDC141,0.1062
ID1,0.106
DDIT4,0.1059
MUC5AC,0.1059
VEPH1,0.1058
MSR1,0.1056
DHRS9,0.1055
FOS,0.1055
