Gene Name,Score
MT-ND1,0.0261
AGR2,0.025
EGR1,0.0248
TSPAN1,0.0243
SFTPB,0.0238
RPL3,0.0237
RPL18A,0.0237
ANXA2,0.0236
DYNLL1,0.0231
RPL10A,0.0229
PIGR,0.0223
MT-ND3,0.0222
RPL13A,0.0219
SCGB1A1,0.0219
SFTPA1,0.0219
ZFP36,0.0217
MALAT1,0.0216
CXCL17,0.0215
SERPINB4,0.0215
NEAT1,0.0214
SCGB3A2,0.0212
DSP,0.0212
UQCRB,0.0212
PDE4D,0.0211
AKAP9,0.0211
SCGB3A1,0.0209
DLG2,0.0209
RPS28,0.0208
RPL5,0.0207
HSP90AB1,0.0206
KRT17,0.0205
AUTS2,0.0204
RPL39,0.0203
CALM1,0.0202
LTF,0.0201
KLF6,0.0201
CXCL8,0.0201
GAS5,0.0199
SERPINB3,0.0198
SFTPC,0.0197
RPL23A,0.0197
SNTN,0.0195
S100A2,0.0195
MT-CO3,0.0193
NAPSA,0.0193
PABPC1,0.0193
TXNIP,0.0191
SLC34A2,0.0191
GAPDH,0.0189
UBB,0.0189
NUCB2,0.0189
RPS3A,0.0187
RPL23,0.0186
FABP5,0.0186
MT-CO2,0.0185
JUN,0.0185
KRT5,0.0185
RPS5,0.0184
RBPMS,0.0184
SYNE1,0.0183
DNAJA1,0.0183
MT-ND5,0.0182
CLU,0.0182
RPS19,0.0181
CFAP298,0.0181
CALM2,0.0181
ACTG1,0.018
LYZ,0.018
RSPH1,0.0178
ERBB4,0.0178
RPL28,0.0177
ANXA1,0.0177
RPS27,0.0177
MACROD2,0.0176
LINC-PINT,0.0176
RPL15,0.0176
CIB1,0.0176
RPS3,0.0175
RPL32,0.0174
DLC1,0.0174
FTH1,0.0173
MT-ND4L,0.0173
MTUS1,0.0173
NPC2,0.0172
KRT7,0.0172
RPL31,0.0171
CTSH,0.0171
ATP11A,0.0171
JUNB,0.0171
NCL,0.017
SAA1,0.017
TACSTD2,0.017
RACK1,0.017
AQP3,0.017
MYL12B,0.017
PTPRK,0.0169
CAPS,0.0169
MAST4,0.0168
MECOM,0.0168
LRMDA,0.0167
RPS2,0.0167
IFITM3,0.0166
LIMCH1,0.0165
RPL4,0.0165
AKAP13,0.0164
ZFAS1,0.0164
CXCL1,0.0164
EHF,0.0163
RPL27A,0.0163
FTL,0.0163
RPS10,0.0163
S100P,0.0163
ANK3,0.0163
SON,0.0162
RPL7,0.0162
SLC25A5,0.0162
GOLGB1,0.016
MT2A,0.016
ANXA2P3,0.0159
MBNL1,0.0159
TFF3,0.0158
MIR4485,0.0158
RBM25,0.0158
SLPI,0.0157
RPL21,0.0157
CP,0.0156
NUCKS1,0.0156
RPS29,0.0156
TSC22D1,0.0156
MACF1,0.0155
UTRN,0.0154
C19orf33,0.0154
C20orf85,0.0154
ATF3,0.0154
LCN2,0.0152
LRRK2,0.0152
HSPB1,0.0152
DIAPH2,0.0152
RPL17,0.0152
RPL37A,0.0152
MUC5B,0.0151
DPYD,0.0151
CD55,0.0151
ZNF385B,0.015
RPLP0,0.0149
LMO7,0.0149
GSTP1,0.0149
AGBL1,0.0149
SMARCA5,0.0149
ACOXL,0.0149
CLDN4,0.0149
SFTPA2,0.0148
NFKBIA,0.0148
TPPP3,0.0148
HSP90AA1,0.0147
RNASE1,0.0147
SAA2,0.0146
NEDD4L,0.0146
RPL26,0.0146
GADD45B,0.0145
BPIFB1,0.0145
YWHAB,0.0144
HOATZ,0.0144
SOX4,0.0143
RPL12,0.0143
IGFBP3,0.0143
PRDX5,0.0143
MT-ATP6,0.0143
IER2,0.0142
FOS,0.0142
GSTA1,0.0141
XIST,0.0141
EPCAM,0.0141
CD24,0.014
MT-ND2,0.014
TPM4,0.014
DYNLT1,0.0139
GADD45A,0.0139
KRT19,0.0139
COX7B,0.0138
S100A11,0.0137
EZR,0.0137
KRT15,0.0137
WFDC2,0.0137
HSP90B1,0.0136
SCAF11,0.0136
DAPK1,0.0136
TUBB4B,0.0136
F3_ENSG00000117525,0.0135
CXCL2,0.0135
PRPF38B,0.0135
NFE2L2,0.0134
MT1X,0.0134
AGR3,0.0134
PABPC3,0.0134
MT-ND4,0.0134
XBP1,0.0134
CFTR,0.0134
NHSL2,0.0134
DST,0.0133
TMC5,0.0133
HNRNPU,0.0133
PTPN13,0.0133
ERRFI1,0.0133
LRRIQ1,0.0132
PDIA3P1,0.0132
TMSB4X,0.0132
PPP1R15A,0.0132
CPM,0.0132
MIF,0.0132
STEAP4,0.0132
MUC1,0.0131
APLP2,0.0131
MSMB,0.0131
PTPRG,0.013
RPS15A,0.013
ADK,0.013
IQGAP1,0.013
TACC2,0.013
PID1,0.013
GTF2I,0.013
HNRNPDL,0.0129
SECISBP2L,0.0128
PRRC2C,0.0128
KIF5B,0.0128
SET,0.0127
LUC7L3,0.0125
TXN,0.0125
ATRX,0.0125
S100A10,0.0125
HSPD1,0.0124
CBX3,0.0124
UBL5,0.0124
FNDC3B,0.0124
WWOX,0.0123
HES1,0.0123
ANKRD12,0.0123
CD74,0.0122
PDIA3,0.0122
CETN2,0.0122
ACTB,0.0121
KMT2E,0.0121
FAM107B,0.012
SOD1,0.012
ARPC2,0.012
RAB13,0.012
NCOA7,0.012
PNISR,0.0119
SYNE2,0.0119
GLCCI1,0.0119
KANK1,0.0118
MT-ATP8,0.0118
BPIFA1,0.0118
NDUFB1,0.0118
MT-CYB,0.0118
SLK,0.0117
KLF5,0.0116
COX8A,0.0116
ARGLU1,0.0115
ID1,0.0115
PEBP1,0.0115
CALR,0.0115
TMEM190,0.0115
SERBP1,0.0114
FOSB,0.0113
SELENOP,0.0113
SMIM22,0.0113
FTX,0.0112
TUBA1A,0.0112
EIF3A,0.0112
PCM1,0.0112
HNRNPA3,0.0112
CELF2,0.0112
SERPINB1,0.0112
LDHB,0.0111
CCDC146,0.0111
SOD2,0.0111
WSB1,0.0111
EMP2,0.0111
TAX1BP1,0.0111
SMYD3,0.011
MRPL14,0.011
PTPRM,0.011
LRP4,0.011
SFTPD,0.011
SNHG8,0.0109
MCL1,0.0109
YTHDC1,0.0109
DDIT4,0.0109
PIP,0.0108
HSBP1,0.0108
TANC2,0.0108
RAB11FIP1,0.0107
MAGI1,0.0107
ILF3,0.0107
CNBP,0.0106
HSPA5,0.0106
C9orf24,0.0106
HNRNPD,0.0106
H3P6,0.0105
CTSS,0.0105
RHOB,0.0105
ATP5MC3,0.0105
CCN1,0.0105
RPL13AP5,0.0105
PHF3,0.0104
TM4SF1,0.0104
ATP5ME,0.0104
HNRNPM,0.0104
NEBL,0.0104
CCT6A,0.0104
RORA,0.0104
HSP90B2P,0.0104
S100A9,0.0104
MDK,0.0104
TOP1,0.0103
AREG,0.0103
HNRNPA2B1,0.0103
SEC62,0.0103
MAML2,0.0103
MAGI3,0.0103
BHLHE40,0.0102
AFF3,0.0102
HSPE1,0.0101
HSPH1,0.0101
CRIP1,0.0101
PNRC1,0.0101
CTSB,0.0101
GPHN,0.0101
GPC5,0.0101
CCPG1,0.01
TCIM,0.01
DNAJB1,0.01
PTP4A1,0.01
GSN,0.01
KIAA1217,0.0099
FAM3D,0.0099
PHACTR1,0.0099
RALGAPA2,0.0099
BTBD9,0.0099
CCDC170,0.0098
DNAAF1,0.0098
ANKRD11,0.0097
ENSA,0.0097
CHD4,0.0097
NUDC,0.0097
NARS1,0.0097
HNRNPC,0.0096
