Gene Name,Score
RPL37A,0.1038
RPL23,0.1018
RPS15A,0.0952
MECOM,0.094
RPL39,0.0931
RPS28,0.092
RPL12,0.0904
PABPC1,0.0903
RPS3A,0.0877
RPS27,0.0875
RPS29,0.0874
PDE4D,0.0874
FTX,0.0867
RPL18A,0.0853
PARD3,0.0849
SMYD3,0.0832
RPS2,0.0826
ADK,0.0821
ZNF385B,0.0817
HSP90AB1,0.0815
RPL3,0.0813
AUTS2,0.081
BTBD9,0.0808
ANK3,0.0803
RPL27A,0.0801
RPS5,0.08
RPL31,0.0798
MAGI1,0.0797
LIMCH1,0.0796
MAST4,0.0788
ACOXL,0.0775
CELF2,0.0774
PTPRK,0.0758
RBPMS,0.0757
PTPRM,0.0756
RPL5,0.074
FHIT,0.0732
DLG2,0.0732
SFTPB,0.0728
RPL13A,0.0727
PHACTR1,0.0724
RPLP0,0.0723
DLC1,0.072
MACROD2,0.072
NEDD4L,0.0718
LRRK2,0.0716
MAGI3,0.0715
RPL32,0.0712
MBNL1,0.0706
RPS3,0.0702
RACK1,0.0701
KANK1,0.0699
WSB1,0.0698
GPHN,0.0689
RPL21,0.0687
RPL23A,0.0683
PTPRG,0.0682
SERPINB3,0.068
AQP3,0.068
AFF3,0.0678
DPYD,0.0677
RPS19,0.0669
LRMDA,0.0668
AKAP13,0.0664
FOXP2,0.0653
NEBL,0.0653
AGBL1,0.0652
IMMP2L,0.0648
PRKG1,0.0648
NEAT1,0.0643
SNX25,0.0643
RPL26,0.0643
RPL10A,0.0639
ERBB4,0.0638
CPM,0.0634
MALAT1,0.0631
UNC13B,0.0629
F3_ENSG00000117525,0.0628
DIAPH2,0.0625
WWOX,0.0624
LINC-PINT,0.0622
MT-ND5,0.0622
ATP11A,0.0621
LRP4,0.062
SLC22A3,0.0619
KRT17,0.0619
SOX5,0.0618
FRMD4B,0.0618
CADM1,0.0616
MSMB,0.0616
RPL4,0.0612
EXT1,0.0607
CXCL8,0.0601
BPIFB1,0.06
RPL28,0.0599
GAS5,0.0599
MUC1,0.0591
SFTA3_ENSG00000229415,0.059
MACF1,0.059
ATP8A1,0.0589
MAML2,0.0589
APLP2,0.0589
KIAA1217,0.0588
ABCA3,0.0585
PPP1R15A,0.0583
NCL,0.0581
CADPS2,0.058
NTN4,0.0579
SHROOM3,0.0579
P3H2,0.0578
PIGR,0.0577
SERBP1,0.0576
DAPK1,0.0576
SOX4,0.0574
FOS,0.0573
UTRN,0.057
ATXN1,0.0569
RPL15,0.0567
