Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c2.all.v2024.1.Hs.symbols.gmt	ABBUD_LIF_SIGNALING_1_UP	1/43	1.669802e-01	3.123952e-01	8.325826e+00	1.490223e+01	LCN2
c2.all.v2024.1.Hs.symbols.gmt	ABE_INNER_EAR	4/43	3.282274e-05	8.055088e-04	2.776914e+01	2.866994e+02	RPS5;RPL32;RPL28;RPL21
c2.all.v2024.1.Hs.symbols.gmt	ACEVEDO_LIVER_CANCER_DN	5/540	7.940030e-02	2.220291e-01	2.474568e+00	6.268708e+00	PPP1R15A;TCIM;RACK1;RPL3;DNAJA1
c2.all.v2024.1.Hs.symbols.gmt	ACEVEDO_LIVER_CANCER_UP	6/972	2.298786e-01	3.643821e-01	1.605902e+00	2.361004e+00	LCN2;NUCB2;RPL23A;LYZ;RPL23;RPL13A
c2.all.v2024.1.Hs.symbols.gmt	ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	2/222	2.421375e-01	3.711234e-01	2.681682e+00	3.803293e+00	ANKRD36B;NUCB2
c2.all.v2024.1.Hs.symbols.gmt	ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	1/290	7.103502e-01	7.472468e-01	1.208584e+00	4.133323e-01	AGR2
c2.all.v2024.1.Hs.symbols.gmt	ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	2/139	1.175025e-01	2.710169e-01	4.316757e+00	9.243454e+00	SERPINB3;SERPINB4
c2.all.v2024.1.Hs.symbols.gmt	ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	2/274	3.235621e-01	4.305453e-01	2.164790e+00	2.442672e+00	PPP1R15A;TCIM
c2.all.v2024.1.Hs.symbols.gmt	ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	10/863	3.559202e-03	3.421427e-02	3.093115e+00	1.743966e+01	UBB;HSPH1;LCN2;RPL10A;RPL15;RPL23A;LYZ;NUCB2;RPS5;RPS15A
c2.all.v2024.1.Hs.symbols.gmt	ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	4/873	5.086145e-01	5.800819e-01	1.214043e+00	8.207720e-01	ANKRD36B;H3P6;ERICH3;GPX1
c2.all.v2024.1.Hs.symbols.gmt	ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	2/354	4.436837e-01	5.275413e-01	1.667357e+00	1.354966e+00	PPP1R15A;DNAJA1
c2.all.v2024.1.Hs.symbols.gmt	ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	2/173	1.666999e-01	3.123952e-01	3.455598e+00	6.190912e+00	RPL27A;RPL23
c2.all.v2024.1.Hs.symbols.gmt	ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	2/74	3.937255e-02	1.669332e-01	8.211184e+00	2.656060e+01	ATF3;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	AFFAR_YY1_TARGETS_DN	2/260	3.017308e-01	4.138136e-01	2.283496e+00	2.736131e+00	SFTPC;LYZ
c2.all.v2024.1.Hs.symbols.gmt	AFFAR_YY1_TARGETS_UP	3/199	5.261560e-02	1.861898e-01	4.263616e+00	1.255525e+01	PPP1R15A;SERPINB3;CFTR
c2.all.v2024.1.Hs.symbols.gmt	AGARWAL_AKT_PATHWAY_TARGETS	1/11	4.562907e-02	1.752896e-01	3.374866e+01	1.041892e+02	MT-CO2
c2.all.v2024.1.Hs.symbols.gmt	AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP	1/303	7.261054e-01	7.592260e-01	1.155955e+00	3.699751e-01	RPL13A
c2.all.v2024.1.Hs.symbols.gmt	AIGNER_ZEB1_TARGETS	2/35	9.644661e-03	7.084071e-02	1.780194e+01	8.262503e+01	MUC1;TSPAN1
c2.all.v2024.1.Hs.symbols.gmt	AIYAR_COBRA1_TARGETS_UP	2/40	1.247157e-02	8.365174e-02	1.548649e+01	6.789746e+01	GADD45A;PIP
c2.all.v2024.1.Hs.symbols.gmt	AKL_HTLV1_INFECTION_DN	1/69	2.542306e-01	3.790744e-01	5.159569e+00	7.066100e+00	AKAP9
c2.all.v2024.1.Hs.symbols.gmt	ALCALA_APOPTOSIS	1/87	3.092745e-01	4.183830e-01	4.082563e+00	4.790994e+00	RPL10A
c2.all.v2024.1.Hs.symbols.gmt	ALFANO_MYC_TARGETS	1/239	6.394007e-01	6.885854e-01	1.470454e+00	6.576221e-01	PPP1R15A
c2.all.v2024.1.Hs.symbols.gmt	ALONSO_METASTASIS_UP	1/194	5.626810e-01	6.276751e-01	1.816151e+00	1.044364e+00	RPL10A
