source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
CORUM,CORUM:306,"Ribosome, cytoplasmic",7.916457005051728e-36,True,"Ribosome, cytoplasmic",29,98,25,4007,0.25510204081632654,0.8620689655172413,query_1,['CORUM:0000000']
WP,WP:WP477,Cytoplasmic ribosomal proteins,1.5263195127853423e-34,True,Cytoplasmic ribosomal proteins,34,98,27,4007,0.2755102040816326,0.7941176470588235,query_1,['WP:000000']
REAC,REAC:R-HSA-156902,Peptide chain elongation,1.5263195127853423e-34,True,Peptide chain elongation,34,98,27,4007,0.2755102040816326,0.7941176470588235,query_1,['REAC:R-HSA-156842']
REAC,REAC:R-HSA-156842,Eukaryotic Translation Elongation,6.5626012639008e-34,True,Eukaryotic Translation Elongation,35,98,27,4007,0.2755102040816326,0.7714285714285715,query_1,['REAC:R-HSA-72766']
REAC,REAC:R-HSA-192823,Viral mRNA Translation,2.5798047411615777e-33,True,Viral mRNA Translation,36,98,27,4007,0.2755102040816326,0.75,query_1,['REAC:R-HSA-168273']
REAC,REAC:R-HSA-2408557,Selenocysteine synthesis,2.5798047411615777e-33,True,Selenocysteine synthesis,36,98,27,4007,0.2755102040816326,0.75,query_1,['REAC:R-HSA-2408522']
REAC,REAC:R-HSA-72764,Eukaryotic Translation Termination,2.5798047411615777e-33,True,Eukaryotic Translation Termination,36,98,27,4007,0.2755102040816326,0.75,query_1,['REAC:R-HSA-72766']
REAC,REAC:R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),2.5991418529437274e-33,True,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),40,98,28,4007,0.2857142857142857,0.7,query_1,['REAC:R-HSA-927802']
REAC,REAC:R-HSA-72689,Formation of a pool of free 40S subunits,8.852465922763422e-31,True,Formation of a pool of free 40S subunits,41,98,27,4007,0.2755102040816326,0.6585365853658537,query_1,['REAC:R-HSA-72737']
REAC,REAC:R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,2.4359201757750452e-30,True,Response of EIF2AK4 (GCN2) to amino acid deficiency,42,98,27,4007,0.2755102040816326,0.6428571428571429,query_1,['REAC:R-HSA-9711097']
REAC,REAC:R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,6.785429377928863e-30,True,L13a-mediated translational silencing of Ceruloplasmin expression,48,98,28,4007,0.2857142857142857,0.5833333333333334,query_1,['REAC:R-HSA-72613']
GO:CC,GO:0022626,cytosolic ribosome,3.476582170558324e-29,True,"""A ribosome located in the cytosol."" [GOC:mtg_sensu]",50,98,28,4007,0.2857142857142857,0.56,query_1,"['GO:0005829', 'GO:0005840']"
REAC,REAC:R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,9.565457495215246e-29,True,SRP-dependent cotranslational protein targeting to membrane,46,98,27,4007,0.2755102040816326,0.5869565217391305,query_1,['REAC:R-HSA-72766']
REAC,REAC:R-HSA-2408522,Selenoamino acid metabolism,2.2090521155756486e-28,True,Selenoamino acid metabolism,47,98,27,4007,0.2755102040816326,0.574468085106383,query_1,['REAC:R-HSA-71291']
REAC,REAC:R-HSA-72737,Cap-dependent Translation Initiation,3.3626896962038618e-28,True,Cap-dependent Translation Initiation,53,98,28,4007,0.2857142857142857,0.5283018867924528,query_1,['REAC:R-HSA-72613']
REAC,REAC:R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),3.3626896962038618e-28,True,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),53,98,28,4007,0.2857142857142857,0.5283018867924528,query_1,['REAC:R-HSA-927802']
REAC,REAC:R-HSA-72613,Eukaryotic Translation Initiation,3.3626896962038618e-28,True,Eukaryotic Translation Initiation,53,98,28,4007,0.2857142857142857,0.5283018867924528,query_1,['REAC:R-HSA-72766']
REAC,REAC:R-HSA-927802,Nonsense-Mediated Decay (NMD),3.3626896962038618e-28,True,Nonsense-Mediated Decay (NMD),53,98,28,4007,0.2857142857142857,0.5283018867924528,query_1,['REAC:R-HSA-8953854']
REAC,REAC:R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,1.0860778662682993e-27,True,GTP hydrolysis and joining of the 60S ribosomal subunit,49,98,27,4007,0.2755102040816326,0.5510204081632653,query_1,['REAC:R-HSA-72737']
REAC,REAC:R-HSA-9711097,Cellular response to starvation,9.903809205375828e-27,True,Cellular response to starvation,52,98,27,4007,0.2755102040816326,0.5192307692307693,query_1,['REAC:R-HSA-2262752']
REAC,REAC:R-HSA-168273,Influenza Viral RNA Transcription and Replication,7.526640004133949e-26,True,Influenza Viral RNA Transcription and Replication,55,98,27,4007,0.2755102040816326,0.4909090909090909,query_1,['REAC:R-HSA-168255']
KEGG,KEGG:03010,Ribosome,2.666720390729949e-25,True,Ribosome,57,98,27,4007,0.2755102040816326,0.47368421052631576,query_1,['KEGG:00000']
GO:BP,GO:0002181,cytoplasmic translation,3.372532968861315e-25,True,"""The chemical reactions and pathways resulting in the formation of a protein in the cytoplasm. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein."" [GOC:hjd]",71,98,29,4007,0.29591836734693877,0.4084507042253521,query_1,['GO:0006412']
CORUM,CORUM:308,"60S ribosomal subunit, cytoplasmic",2.8958304062263375e-24,True,"60S ribosomal subunit, cytoplasmic",19,98,17,4007,0.17346938775510204,0.8947368421052632,query_1,['CORUM:0000000']
REAC,REAC:R-HSA-168255,Influenza Infection,2.3931342834649912e-23,True,Influenza Infection,65,98,27,4007,0.2755102040816326,0.4153846153846154,query_1,['REAC:R-HSA-9824446']
REAC,REAC:R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,3.9796667821195806e-23,True,Major pathway of rRNA processing in the nucleolus and cytosol,66,98,27,4007,0.2755102040816326,0.4090909090909091,query_1,['REAC:R-HSA-8868773']
REAC,REAC:R-HSA-8868773,rRNA processing in the nucleus and cytosol,4.371171325542218e-22,True,rRNA processing in the nucleus and cytosol,71,98,27,4007,0.2755102040816326,0.38028169014084506,query_1,['REAC:R-HSA-72312']
GO:MF,GO:0003735,structural constituent of ribosome,6.872392779283874e-22,True,"""The action of a molecule that contributes to the structural integrity of the ribosome."" [GOC:mah]",72,98,27,4007,0.2755102040816326,0.375,query_1,['GO:0005198']
GO:CC,GO:0044391,ribosomal subunit,1.019912679021278e-21,True,"""Either of the two subunits of a ribosome: the ribosomal large subunit or the ribosomal small subunit."" [GOC:jl]",81,98,28,4007,0.2857142857142857,0.345679012345679,query_1,"['GO:0005840', 'GO:1990904']"
KEGG,KEGG:05171,Coronavirus disease - COVID-19,1.019912679021278e-21,True,Coronavirus disease - COVID-19,81,98,28,4007,0.2857142857142857,0.345679012345679,query_1,['KEGG:00000']
REAC,REAC:R-HSA-72312,rRNA processing,1.6579907567298656e-21,True,rRNA processing,74,98,27,4007,0.2755102040816326,0.36486486486486486,query_1,['REAC:R-HSA-8953854']
REAC,REAC:R-HSA-9010553,Regulation of expression of SLITs and ROBOs,3.3281036650084545e-21,True,Regulation of expression of SLITs and ROBOs,84,98,28,4007,0.2857142857142857,0.3333333333333333,query_1,['REAC:R-HSA-376176']
GO:CC,GO:0022625,cytosolic large ribosomal subunit,1.2928170365926138e-19,True,"""The large subunit of a ribosome located in the cytosol."" [GOC:mtg_sensu]",26,98,18,4007,0.1836734693877551,0.6923076923076923,query_1,"['GO:0015934', 'GO:0022626']"
CORUM,CORUM:3055,Nop56p-associated pre-rRNA complex,1.5903484139827732e-19,True,Nop56p-associated pre-rRNA complex,44,98,20,4007,0.20408163265306123,0.45454545454545453,query_1,['CORUM:0000000']
REAC,REAC:R-HSA-376176,Signaling by ROBO receptors,6.037098460112532e-19,True,Signaling by ROBO receptors,99,98,28,4007,0.2857142857142857,0.2828282828282828,query_1,['REAC:R-HSA-422475']
GO:CC,GO:0005840,ribosome,1.5174941395336272e-17,True,"""An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins."" [ISBN:0198506732]",110,98,28,4007,0.2857142857142857,0.2545454545454545,query_1,['GO:0043232']
REAC,REAC:R-HSA-71291,Metabolism of amino acids and derivatives,4.653640527273437e-16,True,Metabolism of amino acids and derivatives,112,98,27,4007,0.2755102040816326,0.24107142857142858,query_1,['REAC:R-HSA-1430728']
REAC,REAC:R-HSA-72766,Translation,5.401011923890024e-16,True,Translation,124,98,28,4007,0.2857142857142857,0.22580645161290322,query_1,['REAC:R-HSA-392499']
REAC,REAC:R-HSA-422475,Axon guidance,2.135405657463739e-13,True,Axon guidance,181,98,30,4007,0.30612244897959184,0.16574585635359115,query_1,['REAC:R-HSA-9675108']
GO:CC,GO:0030054,cell junction,4.2895034779935066e-13,True,"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, ISBN:0198506732, PMID:26820516, PMID:28096264]",515,98,47,4007,0.47959183673469385,0.0912621359223301,query_1,['GO:0110165']
GO:CC,GO:0015934,large ribosomal subunit,6.140983707473479e-13,True,"""The larger of the two subunits of a ribosome. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site)."" [ISBN:0198506732]",49,98,18,4007,0.1836734693877551,0.3673469387755102,query_1,['GO:0044391']
GO:MF,GO:0005198,structural molecule activity,8.259264033483241e-13,True,"""The action of a molecule that contributes to the structural integrity of a complex."" [GOC:mah, GOC:vw]",205,98,31,4007,0.3163265306122449,0.15121951219512195,query_1,['GO:0003674']
REAC,REAC:R-HSA-9675108,Nervous system development,1.0381135248310804e-12,True,Nervous system development,191,98,30,4007,0.30612244897959184,0.15706806282722513,query_1,['REAC:R-HSA-1266738']
GO:CC,GO:1990904,ribonucleoprotein complex,5.37319390927204e-10,True,"""A macromolecular complex that contains both RNA and protein molecules."" [GOC:krc, GOC:vesicles]",313,98,34,4007,0.3469387755102041,0.10862619808306709,query_1,['GO:0032991']
CORUM,CORUM:305,"40S ribosomal subunit, cytoplasmic",7.694516239134725e-10,True,"40S ribosomal subunit, cytoplasmic",10,98,8,4007,0.08163265306122448,0.8,query_1,['CORUM:0000000']
GO:BP,GO:0006412,translation,2.993399542571909e-09,True,"""The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."" [GOC:go_curators]",253,98,30,4007,0.30612244897959184,0.11857707509881422,query_1,"['GO:0009059', 'GO:0010467', 'GO:0019538']"
REAC,REAC:R-HSA-9735869,SARS-CoV-1 modulates host translation machinery,5.714250941548019e-09,True,SARS-CoV-1 modulates host translation machinery,11,98,9,4007,0.09183673469387756,0.8181818181818182,query_1,['REAC:R-HSA-9692914']
CORUM,CORUM:338,"40S ribosomal subunit, cytoplasmic",6.136164902719445e-09,True,"40S ribosomal subunit, cytoplasmic",8,98,7,4007,0.07142857142857142,0.875,query_1,['CORUM:0000000']
GO:CC,GO:0022627,cytosolic small ribosomal subunit,6.53687522150339e-09,True,"""The small subunit of a ribosome located in the cytosol."" [GOC:mtg_sensu]",15,98,10,4007,0.10204081632653061,0.6666666666666666,query_1,"['GO:0015935', 'GO:0022626']"
REAC,REAC:R-HSA-2262752,Cellular responses to stress,1.945796307474863e-08,True,Cellular responses to stress,252,98,29,4007,0.29591836734693877,0.11507936507936507,query_1,['REAC:R-HSA-8953897']
REAC,REAC:R-HSA-8953897,Cellular responses to stimuli,2.9400182956592454e-08,True,Cellular responses to stimuli,256,98,29,4007,0.29591836734693877,0.11328125,query_1,['REAC:0000000']
REAC,REAC:R-HSA-1266738,Developmental Biology,3.543499813787731e-08,True,Developmental Biology,297,98,31,4007,0.3163265306122449,0.10437710437710437,query_1,['REAC:0000000']
GO:CC,GO:0070161,anchoring junction,8.950146427460504e-08,True,"""A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix."" [ISBN:0815332181]",248,98,28,4007,0.2857142857142857,0.11290322580645161,query_1,['GO:0030054']
REAC,REAC:R-HSA-9824446,Viral Infection Pathways,2.721224406676917e-07,True,Viral Infection Pathways,279,98,29,4007,0.29591836734693877,0.1039426523297491,query_1,['REAC:R-HSA-5663205']
GO:CC,GO:0045202,synapse,6.817118221849091e-07,True,"""The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane."" [GOC:aruk, ISBN:0198506732, PMID:24619342, PMID:29383328, PMID:31998110]",310,98,30,4007,0.30612244897959184,0.0967741935483871,query_1,['GO:0030054']
HP,HP:0012410,Pure red cell aplasia,7.465191051635419e-07,True,"A type of anemia resulting from suppression of erythropoiesis with little or no abnormality of leukocyte or platelet production. Erythroblasts are virtually absent in bone marrow; however, leukocyte and platelet production show little or no reduction.",11,98,8,4007,0.08163265306122448,0.7272727272727273,query_1,['HP:0012131']
HP,HP:0020118,Radial artery aplasia,7.465191051635419e-07,True,Congenital absence of the radial artery.,11,98,8,4007,0.08163265306122448,0.7272727272727273,query_1,['HP:0031640']
HP,HP:4000209,Abnormal erythrocyte adenosine deaminase activity,7.465191051635419e-07,True,Activity of adenosine deaminase in red blood cells outside the limits of normal.,11,98,8,4007,0.08163265306122448,0.7272727272727273,query_1,['HP:0030272']
HP,HP:0030270,Elevated red cell adenosine deaminase activity,7.465191051635419e-07,True,"Increase in the level of adenosine deaminase (ADA), an enzyme involved in purine metabolism, within erythrocytes. ADA is involved in the catabolism of adenosine.",11,98,8,4007,0.08163265306122448,0.7272727272727273,query_1,['HP:4000209']
HP,HP:0031640,Abnormal radial artery morphology,7.465191051635419e-07,True,Any structural anomaly of the radial artery.,11,98,8,4007,0.08163265306122448,0.7272727272727273,query_1,['HP:0011004']
HP,HP:0040276,Adenocarcinoma of the colon,7.465191051635419e-07,True,Adenocarcinoma of the colon,11,98,8,4007,0.08163265306122448,0.7272727272727273,query_1,"['HP:0040275', 'HP:0100273']"
HP,HP:0005532,Macrocytic dyserythropoietic anemia,7.465191051635419e-07,True,Macrocytic dyserythropoietic anemia,11,98,8,4007,0.08163265306122448,0.7272727272727273,query_1,['HP:0001972']
HP,HP:0040275,Adenocarcinoma of the large intestine,2.194759225579499e-06,True,A malignant epithelial tumor with a glandular organization that originates in the large intestine.,12,98,8,4007,0.08163265306122448,0.6666666666666666,query_1,"['HP:0040273', 'HP:0100834']"
HP,HP:0012133,Erythroid hypoplasia,2.194759225579499e-06,True,"Decreased count of erythroid precursor cells, that is, erythroid lineage cells in the bone marrow.",12,98,8,4007,0.08163265306122448,0.6666666666666666,query_1,['HP:0012131']
HP,HP:0001896,Reticulocytopenia,5.592232669519031e-06,True,A reduced number of reticulocytes in the peripheral blood.,13,98,8,4007,0.08163265306122448,0.6153846153846154,query_1,['HP:0004312']
HP,HP:0001895,Normochromic anemia,5.592232669519031e-06,True,Normochromic anemia,13,98,8,4007,0.08163265306122448,0.6153846153846154,query_1,['HP:0010972']
HP,HP:0001227,Abnormality of the thenar eminence,5.592232669519031e-06,True,"An abnormality of the thenar eminence, i.e., of the muscle on the palm of the human hand just beneath the thumb.",13,98,8,4007,0.08163265306122448,0.6153846153846154,query_1,['HP:0001421']
