source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
CORUM,CORUM:306,"Ribosome, cytoplasmic",1.7672384261604168e-24,True,"Ribosome, cytoplasmic",29,100,20,4007,0.2,0.6896551724137931,query_1,['CORUM:0000000']
WP,WP:WP477,Cytoplasmic ribosomal proteins,1.0434487787183034e-23,True,Cytoplasmic ribosomal proteins,34,100,22,4007,0.22,0.6470588235294118,query_1,['WP:000000']
REAC,REAC:R-HSA-156902,Peptide chain elongation,1.0434487787183034e-23,True,Peptide chain elongation,34,100,22,4007,0.22,0.6470588235294118,query_1,['REAC:R-HSA-156842']
REAC,REAC:R-HSA-156842,Eukaryotic Translation Elongation,2.7565597374368924e-23,True,Eukaryotic Translation Elongation,35,100,22,4007,0.22,0.6285714285714286,query_1,['REAC:R-HSA-72766']
REAC,REAC:R-HSA-192823,Viral mRNA Translation,6.955234254840204e-23,True,Viral mRNA Translation,36,100,22,4007,0.22,0.6111111111111112,query_1,['REAC:R-HSA-168273']
REAC,REAC:R-HSA-2408557,Selenocysteine synthesis,6.955234254840204e-23,True,Selenocysteine synthesis,36,100,22,4007,0.22,0.6111111111111112,query_1,['REAC:R-HSA-2408522']
REAC,REAC:R-HSA-72764,Eukaryotic Translation Termination,6.955234254840204e-23,True,Eukaryotic Translation Termination,36,100,22,4007,0.22,0.6111111111111112,query_1,['REAC:R-HSA-72766']
REAC,REAC:R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,1.4628964293533916e-22,True,Response of EIF2AK4 (GCN2) to amino acid deficiency,42,100,23,4007,0.23,0.5476190476190477,query_1,['REAC:R-HSA-9711097']
REAC,REAC:R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),1.9255359498455077e-21,True,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),40,100,22,4007,0.22,0.55,query_1,['REAC:R-HSA-927802']
REAC,REAC:R-HSA-72689,Formation of a pool of free 40S subunits,4.0770243745160444e-21,True,Formation of a pool of free 40S subunits,41,100,22,4007,0.22,0.5365853658536586,query_1,['REAC:R-HSA-72737']
GO:CC,GO:0022626,cytosolic ribosome,3.044103129173461e-20,True,"""A ribosome located in the cytosol."" [GOC:mtg_sensu]",50,100,23,4007,0.23,0.46,query_1,"['GO:0005829', 'GO:0005840']"
REAC,REAC:R-HSA-9711097,Cellular response to starvation,9.575116851592947e-20,True,Cellular response to starvation,52,100,23,4007,0.23,0.4423076923076923,query_1,['REAC:R-HSA-2262752']
