source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
CORUM,CORUM:306,"Ribosome, cytoplasmic",5.053590071347855e-12,True,"Ribosome, cytoplasmic",29,99,13,4007,0.13131313131313133,0.4482758620689655,query_1,['CORUM:0000000']
REAC,REAC:R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,4.803081711110751e-10,True,GTP hydrolysis and joining of the 60S ribosomal subunit,49,99,16,4007,0.16161616161616163,0.32653061224489793,query_1,['REAC:R-HSA-72737']
REAC,REAC:R-HSA-72689,Formation of a pool of free 40S subunits,4.949786489178073e-10,True,Formation of a pool of free 40S subunits,41,99,15,4007,0.15151515151515152,0.36585365853658536,query_1,['REAC:R-HSA-72737']
WP,WP:WP477,Cytoplasmic ribosomal proteins,5.736637210909677e-10,True,Cytoplasmic ribosomal proteins,34,99,14,4007,0.1414141414141414,0.4117647058823529,query_1,['WP:000000']
REAC,REAC:R-HSA-156902,Peptide chain elongation,5.736637210909677e-10,True,Peptide chain elongation,34,99,14,4007,0.1414141414141414,0.4117647058823529,query_1,['REAC:R-HSA-156842']
REAC,REAC:R-HSA-156842,Eukaryotic Translation Elongation,9.370562620176974e-10,True,Eukaryotic Translation Elongation,35,99,14,4007,0.1414141414141414,0.4,query_1,['REAC:R-HSA-72766']
REAC,REAC:R-HSA-192823,Viral mRNA Translation,1.5028090111523048e-09,True,Viral mRNA Translation,36,99,14,4007,0.1414141414141414,0.3888888888888889,query_1,['REAC:R-HSA-168273']
REAC,REAC:R-HSA-2408557,Selenocysteine synthesis,1.5028090111523048e-09,True,Selenocysteine synthesis,36,99,14,4007,0.1414141414141414,0.3888888888888889,query_1,['REAC:R-HSA-2408522']
REAC,REAC:R-HSA-72764,Eukaryotic Translation Termination,1.5028090111523048e-09,True,Eukaryotic Translation Termination,36,99,14,4007,0.1414141414141414,0.3888888888888889,query_1,['REAC:R-HSA-72766']
REAC,REAC:R-HSA-72613,Eukaryotic Translation Initiation,1.9667585856650736e-09,True,Eukaryotic Translation Initiation,53,99,16,4007,0.16161616161616163,0.3018867924528302,query_1,['REAC:R-HSA-72766']
REAC,REAC:R-HSA-72737,Cap-dependent Translation Initiation,1.9667585856650736e-09,True,Cap-dependent Translation Initiation,53,99,16,4007,0.16161616161616163,0.3018867924528302,query_1,['REAC:R-HSA-72613']
REAC,REAC:R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,7.415756854959933e-09,True,L13a-mediated translational silencing of Ceruloplasmin expression,48,99,15,4007,0.15151515151515152,0.3125,query_1,['REAC:R-HSA-72613']
REAC,REAC:R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),8.475830118183579e-09,True,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),40,99,14,4007,0.1414141414141414,0.35,query_1,['REAC:R-HSA-927802']
REAC,REAC:R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,1.8543715760028468e-08,True,Response of EIF2AK4 (GCN2) to amino acid deficiency,42,99,14,4007,0.1414141414141414,0.3333333333333333,query_1,['REAC:R-HSA-9711097']
CORUM,CORUM:3055,Nop56p-associated pre-rRNA complex,5.198099152381741e-08,True,Nop56p-associated pre-rRNA complex,44,99,12,4007,0.12121212121212122,0.2727272727272727,query_1,['CORUM:0000000']
REAC,REAC:R-HSA-168273,Influenza Viral RNA Transcription and Replication,7.015508798143393e-08,True,Influenza Viral RNA Transcription and Replication,55,99,15,4007,0.15151515151515152,0.2727272727272727,query_1,['REAC:R-HSA-168255']
REAC,REAC:R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,7.763348781052008e-08,True,SRP-dependent cotranslational protein targeting to membrane,46,99,14,4007,0.1414141414141414,0.30434782608695654,query_1,['REAC:R-HSA-72766']
REAC,REAC:R-HSA-2408522,Selenoamino acid metabolism,1.0836223236730421e-07,True,Selenoamino acid metabolism,47,99,14,4007,0.1414141414141414,0.2978723404255319,query_1,['REAC:R-HSA-71291']
KEGG,KEGG:05171,Coronavirus disease - COVID-19,2.0878469914294705e-07,True,Coronavirus disease - COVID-19,81,99,17,4007,0.1717171717171717,0.20987654320987653,query_1,['KEGG:00000']
GO:CC,GO:0022626,cytosolic ribosome,2.8000344542939416e-07,True,"""A ribosome located in the cytosol."" [GOC:mtg_sensu]",50,99,14,4007,0.1414141414141414,0.28,query_1,"['GO:0005829', 'GO:0005840']"
GO:BP,GO:0002181,cytoplasmic translation,2.963819866487883e-07,True,"""The chemical reactions and pathways resulting in the formation of a protein in the cytoplasm. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein."" [GOC:hjd]",71,99,16,4007,0.16161616161616163,0.22535211267605634,query_1,['GO:0006412']
REAC,REAC:R-HSA-9711097,Cellular response to starvation,5.072600229700143e-07,True,Cellular response to starvation,52,99,14,4007,0.1414141414141414,0.2692307692307692,query_1,['REAC:R-HSA-2262752']
REAC,REAC:R-HSA-927802,Nonsense-Mediated Decay (NMD),6.755844455664053e-07,True,Nonsense-Mediated Decay (NMD),53,99,14,4007,0.1414141414141414,0.2641509433962264,query_1,['REAC:R-HSA-8953854']
REAC,REAC:R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),6.755844455664053e-07,True,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),53,99,14,4007,0.1414141414141414,0.2641509433962264,query_1,['REAC:R-HSA-927802']
REAC,REAC:R-HSA-168255,Influenza Infection,1.0003575682744832e-06,True,Influenza Infection,65,99,15,4007,0.15151515151515152,0.23076923076923078,query_1,['REAC:R-HSA-9824446']
CORUM,CORUM:308,"60S ribosomal subunit, cytoplasmic",1.1356614142599142e-06,True,"60S ribosomal subunit, cytoplasmic",19,99,8,4007,0.08080808080808081,0.42105263157894735,query_1,['CORUM:0000000']
REAC,REAC:R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,1.2688478036896918e-06,True,Major pathway of rRNA processing in the nucleolus and cytosol,66,99,15,4007,0.15151515151515152,0.22727272727272727,query_1,['REAC:R-HSA-8868773']
KEGG,KEGG:03010,Ribosome,1.994694894231626e-06,True,Ribosome,57,99,14,4007,0.1414141414141414,0.24561403508771928,query_1,['KEGG:00000']
REAC,REAC:R-HSA-8868773,rRNA processing in the nucleus and cytosol,3.911634853809582e-06,True,rRNA processing in the nucleus and cytosol,71,99,15,4007,0.15151515151515152,0.2112676056338028,query_1,['REAC:R-HSA-72312']
REAC,REAC:R-HSA-72312,rRNA processing,7.343534252767487e-06,True,rRNA processing,74,99,15,4007,0.15151515151515152,0.20270270270270271,query_1,['REAC:R-HSA-8953854']
GO:CC,GO:0070062,extracellular exosome,8.542504707410802e-06,True,"""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."" [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]",610,99,41,4007,0.41414141414141414,0.06721311475409836,query_1,"['GO:0005615', 'GO:1903561']"
GO:CC,GO:1903561,extracellular vesicle,9.493788747548542e-06,True,"""Any vesicle that is part of the extracellular region."" [GO_REF:0000064, GOC:pm, GOC:TermGenie, PMID:24769233]",612,99,41,4007,0.41414141414141414,0.06699346405228758,query_1,"['GO:0031982', 'GO:0065010']"
GO:CC,GO:0065010,extracellular membrane-bounded organelle,9.493788747548542e-06,True,"""Organized structure of distinctive morphology and function, bounded by a lipid bilayer membrane and occurring outside the cell."" [GOC:isa_complete]",612,99,41,4007,0.41414141414141414,0.06699346405228758,query_1,"['GO:0043227', 'GO:0043230']"
