Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,0.9259072580645165,2.9280399799090953,0.0,0.0,0.0,32/32,8.15%,RPL27A;RPL13A;RPL15;RPL23;RPS15A;RPS2;RPL31;RPS29;RPL21;RPL28;RPL10A;RPL39;RPL32;RPL23A;RPL37A;RPS3;RPS5;RPL18A;RPS27;RPL3;RPL26;RPS28;RPL12;RPL7;RPS19;RPS3A;RPS4Y1;RPLP0;RPL4;RPL17;RPS10;RPL5
prerank,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,0.8935908041218853,2.8415084096731436,0.0,0.0,0.0,32/34,8.15%,RPL27A;RPL13A;RPL15;RPL23;RPS15A;RPS2;RPL31;RPS29;RPL21;RPL28;RPL10A;RPL39;RPL32;RPL23A;RPL37A;RPS3;RPS5;RPL18A;RPS27;RPL3;RPL26;RPS28;RPL12;RPL7;RPS19;RPS3A;RPS4Y1;RPLP0;RPL4;RPL17;RPS10;RPL5
prerank,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,0.8673609111378489,2.773117449157087,0.0,0.0,0.0,33/35,10.80%,RPL27A;RPL13A;RPL15;RPL23;RPS15A;RPS2;RPL31;RPS29;RPL21;RPL28;RPL10A;RPL39;RPL32;RPL23A;RPL37A;RPS3;RPS5;RPL18A;RPS27;RPL3;RPL26;RPS28;RPL12;RPL7;RPS19;RPS3A;RPS4Y1;RPLP0;RPL4;RPL17;RPS10;RPL5;EEF1G
prerank,KEGG_RIBOSOME,0.8642452959472854,2.770515917995824,0.0,0.0,0.0,32/36,8.15%,RPL27A;RPL13A;RPL15;RPL23;RPS15A;RPS2;RPL31;RPS29;RPL21;RPL28;RPL10A;RPL39;RPL32;RPL23A;RPL37A;RPS3;RPS5;RPL18A;RPS27;RPL3;RPL26;RPS28;RPL12;RPL7;RPS19;RPS3A;RPS4Y1;RPLP0;RPL4;RPL17;RPS10;RPL5
prerank,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,0.8315723868323175,2.7116052554169676,0.0,0.0,0.0,33/42,8.15%,RPL27A;RPL13A;RPL15;RPL23;RPS15A;RPS2;RPL31;RPS29;RPL21;RPL28;RPL10A;RPL39;RPL32;RPL23A;ATF3;RPL37A;RPS3;RPS5;RPL18A;RPS27;RPL3;RPL26;RPS28;RPL12;RPL7;RPS19;RPS3A;RPS4Y1;RPLP0;RPL4;RPL17;RPS10;RPL5
prerank,REACTOME_SELENOAMINO_ACID_METABOLISM,0.760992327994191,2.5207933097059634,0.0,0.0,0.0,32/47,8.15%,RPL27A;RPL13A;RPL15;RPL23;RPS15A;RPS2;RPL31;RPS29;RPL21;RPL28;RPL10A;RPL39;RPL32;RPL23A;RPL37A;RPS3;RPS5;RPL18A;RPS27;RPL3;RPL26;RPS28;RPL12;RPL7;RPS19;RPS3A;RPS4Y1;RPLP0;RPL4;RPL17;RPS10;RPL5
prerank,REACTOME_CELLULAR_RESPONSE_TO_STARVATION,0.7521289856452728,2.5084252298796605,0.0,0.0,0.0,34/52,8.15%,RPL27A;RPL13A;RPL15;RPL23;RPS15A;RPS2;RPL31;RPS29;RPL21;RPL28;RPL10A;RPL39;RPL32;RPL23A;ATF3;RPL37A;RPS3;RPS5;RPL18A;RPS27;RPL3;RPL26;RPS28;RPL12;RPL7;RPS19;RPS3A;RPS4Y1;RPLP0;RPL4;RPL17;RPS10;ATP6V0B;RPL5
prerank,BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES,0.8070161674224351,2.483874923511576,0.0,0.0,0.0,20/24,10.80%,RPL27A;RPL13A;RPL15;RACK1;RPL23;RPL21;RPL28;RPL32;RPS3;RPS5;RPL18A;RPL26;RPL7;RPS19;RPS3A;NOP53;RPL4;RPS10;RPL5;EEF1G
prerank,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,0.7285651884808799,2.4073362221800285,0.0,0.0,0.0,32/46,8.15%,RPL27A;RPL13A;RPL15;RPL23;RPS15A;RPS2;RPL31;RPS29;RPL21;RPL28;RPL10A;RPL39;RPL32;RPL23A;RPL37A;RPS3;RPS5;RPL18A;RPS27;RPL3;RPL26;RPS28;RPL12;RPL7;RPS19;RPS3A;RPS4Y1;RPLP0;RPL4;RPL17;RPS10;RPL5
prerank,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,0.7005322233160283,2.341499728096137,0.0,0.0,0.0,35/53,8.30%,RPL27A;RPL13A;RPL15;RPL23;RPS15A;RPS2;RPL31;RPS29;RPL21;RPL28;RPL10A;RPL39;RPL32;RPL23A;RPL37A;RPS3;RPS5;RPL18A;RPS27;RPL3;RPL26;RPS28;RPL12;RPL7;RPS19;RPS3A;RPS4Y1;RPLP0;RPL4;RPL17;PABPC1;RPS10;EIF5B;RPL5;EIF3C
prerank,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,0.6744609827002506,2.2509016194924074,0.0,0.0,0.0,33/53,8.15%,RPL27A;RPL13A;RPL15;RPL23;RPS15A;RPS2;RPL31;RPS29;RPL21;RPL28;RPL10A;RPL39;RPL32;RPL23A;RPL37A;RPS3;RPS5;RPL18A;RPS27;RPL3;RPL26;RPS28;RPL12;RPL7;RPS19;RPS3A;RPS4Y1;RPLP0;RPL4;RPL17;PABPC1;RPS10;RPL5
prerank,RICKMAN_HEAD_AND_NECK_CANCER_D,0.7451804412729668,2.1420667568907272,0.0,8.278463532893117e-05,0.001,13/17,6.45%,LTF;MSMB;AGR2;BPIFA1;BPIFB1;SCGB3A1;TCN1;TFF3;AZGP1;TMC5;SLC34A2;PIGR;PRH1
prerank,HOLLEMAN_ASPARAGINASE_RESISTANCE_B_ALL_UP,0.7449575910753806,2.1361479227385893,0.0,7.641658645747493e-05,0.001,12/17,10.80%,RPL13A;RACK1;RPS3;RPS5;RPL3;RPLP0;NOP53;RPL4;TPM4;RPL5;IGFBP7;EEF1G
prerank,BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE,0.6989370659386699,2.1229245563692754,0.0,7.095825885336957e-05,0.001,19/24,19.30%,MUC1;LCN2;MUC16;FAM3D;KRT17;PSCA;TACSTD2;EMP2;SPINK5;CEACAM6;CEACAM5;GABRP;RDH10;ADGRF1;TM4SF1;LMO7;GPRC5A;NDRG2;TMPRSS4
prerank,PECE_MAMMARY_STEM_CELL_UP,0.6173191081783338,2.078276679665839,0.0,0.00019868312478943484,0.002,39/54,22.98%,RPL27A;GAS5;RPL13A;RPL15;RPS2;RPS29;RPL28;RPL10A;RPL39;RPL23A;RPS3;RPL18A;RPS28;GAPDH;ATP5ME;S100A2;UQCRB;RPS19;KRT17;DYNLL1;MT1X;NOP53;UBL5;RPS10;TXN;SOX4;ACTG1;LAMB3;TUBB4B;RBIS;AKR1C1;TUBB2A;NFE2L2;MGP;PET100;TIMM8B;CLU;BAG3;MT1E
prerank,MA_RAT_AGING_UP,0.6195030223958676,2.0388997533235145,0.0,0.0005587962884702854,0.007,33/47,23.82%,RACK1;NAPSA;GADD45A;LYZ;TMSB4X;GAPDH;IFITM1;SLPI;RPL12;RPL7;MT-ND4L;RPS3A;TIMP1;RPLP0;ANXA1;RPL17;TXNIP;SOD2;FTH1;CTSH;PLAC8;SERPINB1;RPL5;ERRFI1;PRDX5;CXCL1;NFKBIA;NQO1;CXCL2;IFI27L2;S100A4;LRG1;RGS2
prerank,WP_PANCREATIC_CANCER_SUBTYPES,0.6903337925548254,2.0379999095410084,0.0,0.0005259259185602687,0.007,17/20,19.73%,SERPINB4;AGR2;SERPINB3;LYZ;TFF3;S100A2;KRT15;FAM3D;AGR3;KRT17;DHRS9;CEACAM6;TSPAN8;FGFBP1;KRT7;KRT6A;LY6D
prerank,REACTOME_INFLUENZA_INFECTION,0.5906877623659805,2.0223749968823785,0.0,0.000551897568859541,0.008,36/66,12.07%,RPL27A;RPL13A;RPL15;RPL23;RPS15A;RPS2;RPL31;RPS29;RPL21;RPL28;HSP90AA1;RPL10A;RPL39;RPL32;RPL23A;RPL37A;RPS3;RPS5;RPL18A;RPS27;RPL3;RPL26;RPS28;RPL12;RPL7;RPS19;RPS3A;RPS4Y1;RPLP0;RPL4;RPL17;RPS10;RPL5;TPR;CALR;CANX
prerank,WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,0.608781943985748,2.0204059163569053,0.0,0.0005228503283932495,0.008,38/51,22.53%,MT-ND2;MT-ND1;MT-ATP6;MT-CO2;MT-CYB;MT-ND3;MT-ND5;MT-CO3;MT-ND4;ATP5ME;UQCRB;MT-ND4L;ATP5MC3;NDUFA1;COX7B;ATP5PF;ATP5PO;ATP5PD;ATP5F1A;NDUFA13;MT-ND6;ATP5F1C;SLC25A5;NDUFC1;COX8A;MT-ATP8;ATP5MC1;NDUFA8;NDUFA2;SLC25A4;NDUFS4;NDUFB1;UQCRC1;NDUFA12;ATP5MF;COX17;NDUFB5;NDUFB9
prerank,TIEN_INTESTINE_PROBIOTICS_6HR_UP,0.6531865542000207,1.9911490135397338,0.0,0.0010430864051445326,0.018,16/25,10.80%,RPL27A;RPL23;RPS2;RPL39;RPL23A;RPL37A;RPS27;FTL;GAPDH;RPS19;RPS3A;RPLP0;RPL4;KLF5;RPL5;EEF1G
prerank,LUI_THYROID_CANCER_PAX8_PPARG_DN,0.6807761866795629,1.97612812573434,0.0,0.0012772486593606522,0.024,14/18,20.15%,RPS2;RPL21;RPL10A;RPS5;RPL18A;DNAJA1;RPL17;HSP90AB1;ATP5F1A;CD74;NUPR1;EIF5;TRIB1;YWHAZ
prerank,AMIT_EGF_RESPONSE_60_MCF10A,0.6493379270260826,1.9679495291574765,0.0,0.0013095024133849113,0.026,18/23,20.00%,GADD45A;CXCL8;EGR1;ID1;IER2;BHLHE40;JUN;HES1;ITGB6;JUNB;DLC1;MAGED2;PLK2;TRIB1;CCN1;RND3;TNFAIP3;CXCL2
prerank,JIANG_MELANOMA_TRM8_CD4,0.5385947518627662,1.9629007675949839,0.0,0.0014253354604459453,0.03,112/186,23.82%,MT-ND2;MT-ND1;RPL27A;MT-ATP6;RPL13A;MT-CYB;MT-ND3;RPS15A;RPS2;RPL31;RPS29;MT-ND5;RPL21;RPL28;HSP90AA1;MT-CO3;RPL10A;RPL39;SYNE2;RPL32;RPL23A;RPL37A;RPS3;RPS5;RPL18A;DNAJA1;PPP1R15A;RPS27;TMSB4X;RPL3;CALM1;RPL26;RPS28;MALAT1;IFITM1;RPL12;RPL7;UQCRB;MT-ND4L;RPS19;RPS3A;CYCS;RPS4Y1;KLF6;CRIP1;ANXA2;RPLP0;NOP53;ANXA1;EGR1;RPL4;RPL17;DDIT4;DNAJB1;LDHB;NCL;TXNIP;PABPC1;FOS;SNRPD2;RPS10;FTH1;ZFP36L2;S100A11;ZFAS1;RPL5;JUN;SNHG8;GADD45B;JUNB;MIF;PEBP1;ZFP36;CAST;MBNL1;FOSB;PLP2;EEF1G;NFKBIA;HNRNPA2B1;CLEC2D;MT-ATP8;GLIPR2;MYL12B;TC2N;ODF2L;MICOS10;TUBA1A;SOD1;NR4A1;CIB1;AQP3;STING1;RBMX;AHNAK;ANKRD12;LINC00513;S100A10;PDCD4;TPM3;CNBP;TNFAIP3;YWHAZ;S100A4;EMB;PRNP;PPP2R5C;C12orf57;ID2;MCL1;REX1BD;RGS2
prerank,VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN,0.6147626550833116,1.9609593241062002,0.0,0.00140733880059183,0.031,22/34,17.35%,CFTR;S100P;MUC1;TFF3;SLPI;FAM3D;CRIP1;TMC5;MS4A8;CALML4;SERPINB1;AKR1C3;GOLM1;COX8A;SMIM31;ADH1C;CLDN18;ALDH3A1;AKR1C1;KCNE3;PIP5K1B;CCSER1
prerank,TAKAO_RESPONSE_TO_UVB_RADIATION_UP,0.6109003161688666,1.9570461375301693,0.0,0.0014305184984839305,0.033,27/36,23.35%,RPL27A;RPL21;RPL10A;UBB;RPS5;TSC22D1;RPS28;PMAIP1;ATP5MC3;RPS4Y1;DYNLL1;COX7B;RPLP0;FTH1;IER2;ATP6V0B;TXN;COX8A;PLP2;HNRNPA2B1;DST;SOD1;SEM1;ISCU;H2AZ1;S100A4;SEC13
prerank,REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,0.6718372093686368,1.956409114717636,0.0,0.0014137068494632862,0.034,12/19,6.85%,RPS15A;RPS2;RPS29;RPS3;RPS5;RPS27;RPS28;RPS19;RPS3A;RPS4Y1;SNRPD2;RPS10
prerank,LI_AMPLIFIED_IN_LUNG_CANCER,0.555624111835321,1.9542844308142828,0.0,0.0013981405077775043,0.035,67/91,30.20%,RPL27A;S100P;LTF;RPS2;RPL31;MUC1;RPL28;RPL10A;RPL23A;LCN2;RPL37A;RPS5;RPS27;IGFBP3;TFF3;RPL7;UQCRB;MDK;CYCS;DSP;TIMP1;HSPD1;PHLDA2;MARCKSL1;KRT5;RPL17;LDHB;PABPC1;HSP90B1;SNRPD2;RPS10;IGFBP2;CEACAM6;KDELR1;EIF3C;TSPAN8;CEACAM5;SOX4;HSPE1;MIF;SFN;PLP2;NME2;CALR;CANX;NQO1;NME1;AKR1C1;CLDN4;UBE2I;CCT5;CCT3;KRT7;YWHAZ;XBP1;AKR1A1;ATP5MF;HDGF;MCL1;GPI;VEGFA;SNRPE;DDOST;HSPA5;RAN;SCNN1A;PGD
prerank,ZHOU_TNF_SIGNALING_30MIN,0.6392947334400139,1.950646280781905,0.0,0.0013836860476407066,0.036,19/26,22.20%,PDIA3P1;HNRNPU;EGR1;NDUFA13;IER2;PRDX5;JUNB;PLP2;CXCL1;NFKBIA;TUBB4B;IGFBP5;CCN1;SF3B2;HMGA1;TNFAIP3;TMF1;COPS2;PSMB7
prerank,REACTOME_CRISTAE_FORMATION,0.6686144833728183,1.9480414320543535,0.0,0.001370228446823688,0.037,13/19,13.05%,MT-ATP6;ATP5MK;ATP5ME;ATP5MC3;ATP5PF;ATP5PO;ATP5PD;ATP5F1A;ATP5MJ;ATP5F1C;MT-ATP8;MICOS10;ATP5MC1
prerank,HSIAO_HOUSEKEEPING_GENES,0.5338046378636516,1.9457606345984948,0.0,0.0013245541652628988,0.037,95/162,21.00%,RPL27A;RPL13A;RACK1;RPL23;RPS15A;RPS2;RPL31;RPS29;RPL21;RPL28;HSP90AA1;RPL10A;UBB;RPL39;RPL32;RPL23A;RPL37A;RPS3;RPS5;RPL18A;RPS27;TMSB4X;RPL3;FTL;EZR;NPC2;CALM2;RPS28;GAPDH;IFITM3;IFITM1;RPL12;RPL7;UQCRB;RPS19;GSTP1;RPS3A;ATP5MC3;HSPD1;DYNLL1;CETN2;ARPC2;ANXA2;RPLP0;RPL4;RPL17;HSP90AB1;LDHB;NCL;TXNIP;PABPC1;SNRPD2;RBPMS;RPS10;FTH1;ATP5F1A;ATP5F1C;HNRNPC;SLC25A5;TXN;EIF3C;CD74;JUNB;PEBP1;ZFP36;CAST;ACTG1;APLP2;COX8A;TPR;PLP2;YWHAB;EEF1G;NFKBIA;CANX;ATP5MC1;ANP32B;SOD1;EIF4H;STMN1;MARCKS;S100A10;SON;MORF4L2;APEX1;SF3B2;MGP;FUCA1;C1QBP;NDUFA12;YWHAZ;XBP1;CLU;H2AZ1;PSMB5
prerank,SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN,0.5250783275804356,1.93860239099399,0.0,0.0013459179421219777,0.039,139/214,28.27%,SERPINB4;S100P;TSPAN1;LTF;MSMB;AGR2;SERPINB3;DNAH12;MUC1;SCGB1A1;BPIFB1;RSPH1;ERICH3;SNTN;LCN2;HOATZ;DNAAF1;ENKUR;EZR;SAA1;TFF3;CFAP43;SLPI;SPA17;MUC16;SPEF2;WFDC2;FAM3D;CD55;RSPH4A;CAPSL;CETN2;SPAG17;TMC5;CFAP53;CAPS;MS4A8;GSTA1;CHST9;C11orf97;PIGR;C6orf118;ODAD4;ARMC3;CFAP210;TMEM190;CFAP45;CYP4B1;OMG;ROPN1L;PSENEN;PLCG2;DRC1;MORN2;FAM216B;EFHC1;RHOV;CFB;AKR1C3;AKAP14;CFAP276;PRDX5;TACC2;RIBC1;TPPP3;MORN5;ECRG4;CCNO;CDHR3;TUBA4B;DNAI7;CFAP251;UPK1B;SMIM22;CXCL1;CFAP126;ADGRF1;ABCA13;FAM3B;CFAP90;SPATA17;CCDC181;STOML3;PRSS23;DNAH5;RSPH9;ERICH5;SAXO2;CCDC17;ADH1C;DRC3;TUBA1A;NQO1;TUBB4B;CIB1;IFTAP;TRAF3IP1;AQP3;TUBB2A;CATSPERD;CLDN10;IQCG;FANK1;CLXN;TMEM231;IQCD;TTC29;DNAJA4;KRT7;TMPRSS4;DNAL1;CCDC65;CLIC6;SCGB2A1;FOXJ1;CHD9NB;LRG1;MT1E;TEKT1;PIH1D2;LZTFL1;ST6GALNAC1;AK9;RIBC2;BBOF1;C19orf33;CABCOCO1;CFAP95;DNAH7;ZBBX;PIERCE1;LRP11;DNALI1;ATP12A;TNFRSF21;CES1;TRAK1;RRAD;P4HTM
prerank,LEIN_CHOROID_PLEXUS_MARKERS,0.6375647645067992,1.8986363298613516,0.0,0.003166512301331617,0.095,16/22,21.02%,SYNE2;EZR;CTSC;WFDC2;TXNIP;CALML4;FHAD1;ECRG4;SPATA17;RSPH9;ADH1C;CLDN1;VWA3A;CFAP44;MGP;CFH
prerank,DAZARD_RESPONSE_TO_UV_NHEK_UP,0.546811297564347,1.888598712766138,0.0,0.0037328344657408963,0.116,61/79,36.23%,ANXA2P3;RACK1;RPS2;RPL31;GADD45A;MMP10;CXCL8;TCN1;ATF3;RPL37A;PPP1R15A;RPS27;TSC22D1;PMAIP1;ATP5ME;UQCRB;PHLDA2;DYNLL1;NDUFA1;ANXA2;HSP90AB1;TACSTD2;FOS;IER2;JUN;TXN;GADD45B;JUNB;ZFP36;NDUFC1;CXCL1;TM4SF1;TOB1;TUBB4B;NOL7;HBEGF;TUBB2A;CLDN4;TRIB1;CCN1;TNFAIP3;CXCL2;XBP1;COX17;ID2;GPI;SPTBN1;SNRPE;KYNU;SGK1;PIK3R3;CITED2;CCN2;FOXC1;PGK1;BRD2;PHLDA1;RANBP1;GFUS;ECHS1;NCBP2
prerank,CROONQUIST_NRAS_VS_STROMAL_STIMULATION_DN,0.6043192222970711,1.8825795336142854,0.0,0.00403209870896206,0.127,17/29,16.55%,SFTPB;PPP1R15A;IGFBP3;TSC22D1;RPS4Y1;FOS;ID1;IER2;JUN;HES1;FOSB;IGFBP7;NUPR1;NFKBIA;SLC20A1;SLC25A4;STMN1
prerank,HILLION_HMGA1B_TARGETS,0.6136172270869413,1.8745125542682848,0.0,0.004257495531202175,0.137,19/25,29.03%,RPL21;RPS3A;ANXA1;HSP90AB1;ID1;ATP5PD;SLC25A5;ID3;MIF;ATP5MC1;ALDH3A2;SOD1;NME1;CXCL2;AKR1A1;CLU;ID2;ATP5PB;PSMA1
prerank,CROMER_TUMORIGENESIS_DN,0.6279546142776429,1.8722475525758426,0.0,0.004277206158661444,0.14,16/21,21.35%,S100P;MSMB;MUC1;NUCB2;TFF3;HOPX;KRT15;PSCA;SPINK5;CEACAM6;CEACAM5;ALDH3A1;AQP3;PTN;CLU;APOD
prerank,FURUKAWA_DUSP6_TARGETS_PCI35_UP,0.6236066739069503,1.8718210706941494,0.0,0.004215304134046117,0.141,13/23,17.10%,MALAT1;SAA1;IFITM1;MDK;KRT17;CD24;ID3;AKR1C3;SOX4;RNASE1;CLEC2D;AQP3;PLAAT4
prerank,HILLION_HMGA1_TARGETS,0.6044145536803904,1.851195333159208,0.0,0.0056729260630667576,0.188,19/25,29.03%,RPL21;RPS3A;CXCL6;HSPD1;HSP90AB1;ID1;SLC25A5;ID3;MIF;NME2;ATP5MC1;SOD1;NME1;CXCL2;AKR1A1;CLU;ID2;ATP5PB;PSMA1
prerank,REACTOME_RRNA_PROCESSING,0.5340788568937502,1.8478974757931277,0.0,0.0057567161797964445,0.195,36/76,12.70%,RPL27A;RPL13A;RPL15;RPL23;RPS15A;RPS2;RPL31;RPS29;RPL21;RPL28;RPL10A;RPL39;RPL32;RPL23A;RPL37A;RPS3;RPS5;RPL18A;RPS27;RPL3;RPL26;RPS28;RPL12;RPL7;RPS19;RPS3A;RPS4Y1;RPLP0;RPL4;RPL17;NCL;RPS10;RPL5;DDX21;BUD23;NOP56
