source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
HP,HP:0011893,Abnormal leukocyte count,0.0007817309121574143,True,Number of leukocytes per volume of blood beyond normal limits.,179,95,15,5333,0.15789473684210525,0.08379888268156424,query_1,['HP:0001881']
GO:BP,GO:0042110,T cell activation,0.0015940753788487492,True,"""The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [GOC:mgi_curators, ISBN:0781735149]",217,95,18,5333,0.18947368421052632,0.08294930875576037,query_1,['GO:0046649']
GO:BP,GO:0007159,leukocyte cell-cell adhesion,0.0024162800781185184,True,"""The attachment of a leukocyte to another cell via adhesion molecules."" [GOC:go_curators]",174,95,16,5333,0.16842105263157894,0.09195402298850575,query_1,['GO:0098609']
GO:BP,GO:0050863,regulation of T cell activation,0.003359999579779211,True,"""Any process that modulates the frequency, rate or extent of T cell activation."" [GOC:ai]",155,95,15,5333,0.15789473684210525,0.0967741935483871,query_1,"['GO:0042110', 'GO:0051249']"
HP,HP:0010987,Abnormal cellular immune system morphology,0.0036415018162807033,True,An abnormality of the morphology or counts of the cells that make up the immune system.,229,95,16,5333,0.16842105263157894,0.06986899563318777,query_1,['HP:0032251']
HP,HP:0001881,Abnormal leukocyte morphology,0.0036415018162807033,True,An abnormality of leukocytes.,229,95,16,5333,0.16842105263157894,0.06986899563318777,query_1,"['HP:0001871', 'HP:0010987']"
GO:BP,GO:0001775,cell activation,0.003645489908594759,True,"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]",433,95,25,5333,0.2631578947368421,0.057736720554272515,query_1,"['GO:0009987', 'GO:0032501']"
HP,HP:0001974,Leukocytosis,0.004403913231125433,True,An abnormal increase in the number of leukocytes in the blood.,68,95,9,5333,0.09473684210526316,0.1323529411764706,query_1,['HP:0011893']
HP,HP:0032251,Abnormal immune system morphology,0.007123903819542666,True,Abnormal immune system morphology,241,95,16,5333,0.16842105263157894,0.06639004149377593,query_1,['HP:0002715']
GO:BP,GO:0045321,leukocyte activation,0.011513493135096947,True,"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]",363,95,22,5333,0.23157894736842105,0.06060606060606061,query_1,"['GO:0001775', 'GO:0002376']"
WP,WP:WP2849,Hematopoietic stem cell differentiation,0.01512507100738317,True,Hematopoietic stem cell differentiation,27,95,7,5333,0.07368421052631578,0.25925925925925924,query_1,['WP:000000']
GO:BP,GO:0002757,immune response-activating signaling pathway,0.02671870238730705,True,"""The series of molecular signals generated by a ligand binding to its receptor that lead to the activation or perpetuation of an immune response."" [GOC:add]",157,95,14,5333,0.14736842105263157,0.08917197452229299,query_1,"['GO:0002253', 'GO:0002764']"
HP,HP:0011839,Abnormal T cell count,0.02762254734026144,True,A deviation from the normal count of T cells.,47,95,7,5333,0.07368421052631578,0.14893617021276595,query_1,"['HP:0002843', 'HP:0040088']"
GO:BP,GO:0050851,antigen receptor-mediated signaling pathway,0.027963501749476156,True,"""The series of molecular signals initiated by the cross-linking of an antigen receptor on a B or T cell."" [GOC:add]",74,95,10,5333,0.10526315789473684,0.13513513513513514,query_1,['GO:0002429']
GO:BP,GO:0050865,regulation of cell activation,0.03338646658916758,True,"""Any process that modulates the frequency, rate or extent of cell activation, the change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."" [GOC:ai]",237,95,17,5333,0.17894736842105263,0.07172995780590717,query_1,"['GO:0001775', 'GO:0050794', 'GO:0051239']"
HP,HP:0002843,Abnormal T cell morphology,0.03664888897145496,True,An abnormality of T cells.,49,95,7,5333,0.07368421052631578,0.14285714285714285,query_1,['HP:0004332']
GO:BP,GO:0002694,regulation of leukocyte activation,0.042678790476806575,True,"""Any process that modulates the frequency, rate, or extent of leukocyte activation."" [GOC:add]",214,95,16,5333,0.16842105263157894,0.07476635514018691,query_1,"['GO:0002682', 'GO:0045321', 'GO:0050865']"
GO:BP,GO:0051249,regulation of lymphocyte activation,0.042789167368507866,True,"""Any process that modulates the frequency, rate or extent of lymphocyte activation."" [GOC:ai]",188,95,15,5333,0.15789473684210525,0.0797872340425532,query_1,"['GO:0002694', 'GO:0046649']"
