source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
HPA,HPA:0530711,spleen; cells in red pulp[≥Low],1.7954999961165947e-06,True,spleen; cells in red pulp[≥Low],1536,97,59,5333,0.6082474226804123,0.038411458333333336,query_1,['HPA:0530000']
HPA,HPA:0040000,bone marrow,2.463790635837389e-06,True,bone marrow,1791,97,64,5333,0.6597938144329897,0.03573422668900056,query_1,['HPA:0000000']
HPA,HPA:0040081,bone marrow; hematopoietic cells[≥Low],2.463790635837389e-06,True,bone marrow; hematopoietic cells[≥Low],1791,97,64,5333,0.6597938144329897,0.03573422668900056,query_1,['HPA:0040000']
HPA,HPA:0530000,spleen,6.445754893566166e-06,True,spleen,1677,97,61,5333,0.6288659793814433,0.03637447823494335,query_1,['HPA:0000000']
HPA,HPA:0040082,bone marrow; hematopoietic cells[≥Medium],1.396134714525355e-05,True,bone marrow; hematopoietic cells[≥Medium],1158,97,49,5333,0.5051546391752577,0.04231433506044905,query_1,['HPA:0040081']
HPA,HPA:0600442,tonsil; non-germinal center cells[≥Medium],0.00039281743924362666,True,tonsil; non-germinal center cells[≥Medium],1140,97,46,5333,0.4742268041237113,0.04035087719298246,query_1,['HPA:0600441']
CORUM,CORUM:1181,C complex spliceosome,0.0007113996260990316,True,C complex spliceosome,15,97,5,5333,0.05154639175257732,0.3333333333333333,query_1,['CORUM:0000000']
HPA,HPA:0530721,spleen; cells in white pulp[≥Low],0.000901553935335421,True,spleen; cells in white pulp[≥Low],1212,97,47,5333,0.4845360824742268,0.038778877887788776,query_1,['HPA:0530000']
HPA,HPA:0310000,lymph node,0.0009837685759171621,True,lymph node,1776,97,59,5333,0.6082474226804123,0.03322072072072072,query_1,['HPA:0000000']
HPA,HPA:0530722,spleen; cells in white pulp[≥Medium],0.002650500955054498,True,spleen; cells in white pulp[≥Medium],761,97,35,5333,0.36082474226804123,0.045992115637319315,query_1,['HPA:0530721']
HPA,HPA:0600443,tonsil; non-germinal center cells[High],0.0052715398487542175,True,tonsil; non-germinal center cells[High],400,97,24,5333,0.24742268041237114,0.06,query_1,['HPA:0600442']
HPA,HPA:0530712,spleen; cells in red pulp[≥Medium],0.006409372823966222,True,spleen; cells in red pulp[≥Medium],905,97,38,5333,0.3917525773195876,0.041988950276243095,query_1,['HPA:0530711']
HPA,HPA:0600441,tonsil; non-germinal center cells[≥Low],0.006731542043952931,True,tonsil; non-germinal center cells[≥Low],1662,97,55,5333,0.5670103092783505,0.03309265944645006,query_1,['HPA:0600000']
HPA,HPA:0310442,lymph node; non-germinal center cells[≥Medium],0.00785552396985635,True,lymph node; non-germinal center cells[≥Medium],1119,97,43,5333,0.44329896907216493,0.03842716711349419,query_1,['HPA:0310441']
HPA,HPA:0310431,lymph node; germinal center cells[≥Low],0.00790525499104562,True,lymph node; germinal center cells[≥Low],1385,97,49,5333,0.5051546391752577,0.03537906137184116,query_1,['HPA:0310000']
HPA,HPA:0600432,tonsil; germinal center cells[≥Medium],0.009627063522466114,True,tonsil; germinal center cells[≥Medium],1084,97,42,5333,0.4329896907216495,0.03874538745387454,query_1,['HPA:0600431']
HPA,HPA:0471472,skin 2; lymphocytes[≥Medium],0.01256086631688767,True,skin 2; lymphocytes[≥Medium],298,97,20,5333,0.20618556701030927,0.06711409395973154,query_1,['HPA:0471471']
HPA,HPA:0600431,tonsil; germinal center cells[≥Low],0.013200949324097407,True,tonsil; germinal center cells[≥Low],1595,97,53,5333,0.5463917525773195,0.03322884012539185,query_1,['HPA:0600000']
WP,WP:WP2849,Hematopoietic stem cell differentiation,0.01746708463303738,True,Hematopoietic stem cell differentiation,27,97,7,5333,0.07216494845360824,0.25925925925925924,query_1,['WP:000000']
HPA,HPA:0310432,lymph node; germinal center cells[≥Medium],0.0190941810057653,True,lymph node; germinal center cells[≥Medium],902,97,37,5333,0.38144329896907214,0.041019955654102,query_1,['HPA:0310431']
HP,HP:0001881,Abnormal leukocyte morphology,0.022630392154074006,True,An abnormality of leukocytes.,229,97,15,5333,0.15463917525773196,0.06550218340611354,query_1,"['HP:0001871', 'HP:0010987']"
HP,HP:0010987,Abnormal cellular immune system morphology,0.022630392154074006,True,An abnormality of the morphology or counts of the cells that make up the immune system.,229,97,15,5333,0.15463917525773196,0.06550218340611354,query_1,['HP:0032251']
HP,HP:0011893,Abnormal leukocyte count,0.030289963354966087,True,Number of leukocytes per volume of blood beyond normal limits.,179,97,13,5333,0.13402061855670103,0.07262569832402235,query_1,['HP:0001881']
HPA,HPA:0461471,skin 1; lymphocytes[≥Low],0.03248787349605323,True,skin 1; lymphocytes[≥Low],316,97,20,5333,0.20618556701030927,0.06329113924050633,query_1,['HPA:0460000']
HPA,HPA:0461472,skin 1; lymphocytes[≥Medium],0.037053102510541565,True,skin 1; lymphocytes[≥Medium],261,97,18,5333,0.18556701030927836,0.06896551724137931,query_1,['HPA:0461471']
HP,HP:0005224,Rectal abscess,0.03971416298779113,True,A collection of pus in the area of the rectum.,4,97,3,5333,0.030927835051546393,0.75,query_1,"['HP:0002034', 'HP:0025615']"
HP,HP:0032251,Abnormal immune system morphology,0.041694753122702544,True,Abnormal immune system morphology,241,97,15,5333,0.15463917525773196,0.06224066390041494,query_1,['HP:0002715']
HP,HP:0001974,Leukocytosis,0.0465183823265915,True,An abnormal increase in the number of leukocytes in the blood.,68,97,8,5333,0.08247422680412371,0.11764705882352941,query_1,['HP:0011893']
HPA,HPA:0461473,skin 1; lymphocytes[High],0.04915516189859954,True,skin 1; lymphocytes[High],186,97,15,5333,0.15463917525773196,0.08064516129032258,query_1,['HPA:0461472']
