source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0006590,thyroid hormone generation,1.833304206366383e-05,True,"""The formation of either of the compounds secreted by the thyroid gland, mainly thyroxine and triiodothyronine. This is achieved by the iodination and joining of tyrosine molecules to form the precursor thyroglobin, proteolysis of this precursor gives rise to the thyroid hormones."" [GOC:jl, ISBN:0716720094]",18,98,8,5333,0.08163265306122448,0.4444444444444444,query_1,['GO:0042403']
GO:BP,GO:0042403,thyroid hormone metabolic process,5.120347095220481e-05,True,"""The chemical reactions and pathways involving any of the compounds secreted by the thyroid gland, largely thyroxine and triiodothyronine."" [GOC:jl, ISBN:0198506732]",20,98,8,5333,0.08163265306122448,0.4,query_1,"['GO:0006575', 'GO:0018958', 'GO:0042445']"
HP,HP:0004491,Large posterior fontanelle,0.000174884602425022,True,An enlargement of the posterior fontanelle relative to age-dependent norms.,8,98,5,5333,0.05102040816326531,0.625,query_1,['HP:0000239']
HP,HP:0031220,Increased radioactive iodine uptake,0.00018499800231977989,True,"An elevated amount of uptake on the radioactive iodine uptake (RAIU) test, which utilizes a radioisotope of iodine to measure how much iodine the thyroid gland absorbs from the blood. The radioactive marker is measured 4-6 hours and in some cases also 24 hours after administration of the radioactive marker.",4,98,4,5333,0.04081632653061224,1.0,query_1,['HP:0031221']
HP,HP:0031508,Abnormal circulating thyroid hormone concentration,0.000884261466857549,True,Any deviation from the normal range of the hormones produced by the thyroid gland.,18,98,6,5333,0.061224489795918366,0.3333333333333333,query_1,"['HP:0002926', 'HP:0003117']"
GO:BP,GO:0018958,phenol-containing compound metabolic process,0.0009453202001266922,True,"""The chemical reactions and pathways involving a phenol, any compound containing one or more hydroxyl groups directly attached to an aromatic carbon ring."" [ISBN:0198506732]",51,98,10,5333,0.10204081632653061,0.19607843137254902,query_1,['GO:1901615']
HP,HP:0031507,Decreased circulating T4 concentration,0.0013808139042963104,True,A reduction below the normal concentration of thyroxine in the blood. Thyroxine (also known as T4) is the main hormone secreted by the thyroid gland into the blood. It can be converted into the active form triiodothyronine (also known as T3).,11,98,5,5333,0.05102040816326531,0.45454545454545453,query_1,['HP:0031505']
HP,HP:0025483,Abnormal circulating thyroglobulin concentration,0.0013808139042963104,True,"A deviation from the normal concentration of thyroglobulin, a protein produced in the thyroid gland that acts as a precursor to thyrroid hormones.",11,98,5,5333,0.05102040816326531,0.45454545454545453,query_1,['HP:0010876']
HP,HP:0031505,Abnormal circulating T4 concentration,0.0013808139042963104,True,A deviation from the normal concentration of thyroxine in the blood. Thyroxine (also known as T4) is the main hormone secreted by the thyroid gland into the blood. It can be converted into the active form triiodothyronine (also known as T3).,11,98,5,5333,0.05102040816326531,0.45454545454545453,query_1,['HP:0031508']
HP,HP:0002925,Elevated circulating thyroid-stimulating hormone concentration,0.0023327328417095164,True,Increased concentration of thyroid-stimulating hormone (TSH) in the blood circulation.,12,98,5,5333,0.05102040816326531,0.4166666666666667,query_1,['HP:0031097']
HP,HP:0008828,Delayed proximal femoral epiphyseal ossification,0.006204785329017593,True,Developmental delay of ossification of the proximal epiphysis of the femur.,7,98,4,5333,0.04081632653061224,0.5714285714285714,query_1,"['HP:0002663', 'HP:0009107', 'HP:0010574']"
HP,HP:0011437,Maternal autoimmune disease,0.006204785329017593,True,A medical history of a fetus or child born to a mother with an autoimmune disease.,7,98,4,5333,0.04081632653061224,0.5714285714285714,query_1,['HP:0002686']
HP,HP:0031219,Reduced radioactive iodine uptake,0.006204785329017593,True,"A decreased amount of uptake on the radioactive iodine uptake (RAIU) test, which utilizes a radioisotope of iodine to measure how much iodine the thyroid gland absorbs from the blood. The radioactive marker is measured 4-6 hours and in some cases also 24 hours after administration of the radioactive marker.",7,98,4,5333,0.04081632653061224,0.5714285714285714,query_1,['HP:0031221']
HP,HP:0031221,Abnormal radioactive iodine uptake test result,0.006204785329017593,True,"Any deviation from normal in the amount of uptake on the radioactive iodine uptake (RAIU) test, which utilizes a radioisotope of iodine to measure how much iodine the thyroid gland absorbs from the blood. The radioactive marker is measured 4-6 hours and in some cases also 24 hours after administration of the radioactive marker.",7,98,4,5333,0.04081632653061224,0.5714285714285714,query_1,['HP:0002926']
HP,HP:0000851,Congenital hypothyroidism,0.008465362163331836,True,A type of hypothyroidism with congenital onset.,15,98,5,5333,0.05102040816326531,0.3333333333333333,query_1,['HP:0000821']
HP,HP:0025482,Positive perchlorate discharge test,0.010379361603836072,True,"An abnormal result of the perchlorate discharge test. In this test, first radioactive iodine is administered, sufficient time is allowed to pass so that the radioactive iodine is captured by the thyroid,and then, perchlorate is administered orally. The perchlorate displaces non-organified iodide from the thyroid. The perchlorate discharge test is considered positive (abnormal) if there is an abnormally rapid loss of radioactive iodine from the thyroid.",3,98,3,5333,0.030612244897959183,1.0,query_1,['HP:0002926']
HP,HP:0008263,Thyroid defect in oxidation and organification of iodide,0.010379361603836072,True,Thyroid defect in oxidation and organification of iodide,3,98,3,5333,0.030612244897959183,1.0,query_1,['HP:0002926']
WP,WP:WP1981,Thyroxine thyroid hormone production,0.02216393120774031,True,Thyroxine thyroid hormone production,10,98,5,5333,0.05102040816326531,0.5,query_1,['WP:000000']
HP,HP:0031097,Abnormal thyroid-stimulating hormone level,0.023117238064098565,True,"Any deviation from the normal amount of the thyroid-stimulating hormone (TSH), which is produced by the anterior pituitary gland and stimulates the function of the thyroid gland.",18,98,5,5333,0.05102040816326531,0.2777777777777778,query_1,['HP:0003117']
