Gene Name,Score
RPL7,1.6143
MALAT1,1.4494
OGT,1.3162
RUNX1,1.3011
MYO15B,1.2811
EEF1A1P9,1.1564
CDK6,1.1184
SRGN,1.0923
LMO2 (meth.),1.0863
MACROH2A1,1.0498
RPL17,1.0350
GRK2,1.0168
LENG8,1.0167
STAB1,1.0103
MPO,0.9750
NUP210,0.9140
IL1B (meth.),0.9094
LCP1,0.8912
PTPRC,0.8764
PLEK (meth.),0.8543
TNFAIP8L2 (meth.),0.8024
C16orf54 (meth.),0.8021
HBG2,0.7966
HNRNPH1,0.7905
NCKAP1L (meth.),0.7651
CD37 (meth.),0.7374
LAT (meth.),0.7323
SF3B1,0.7278
HBA2,0.7183
PIEZO1,0.6952
CYTIP (meth.),0.6930
RPS18,0.6834
ARHGDIB,0.6825
ATP13A4 (meth.),0.6771
SELPLG (meth.),0.6697
HBB,0.6661
ITGB2,0.6593
IL18BP (meth.),0.6426
CAT,0.6406
CARD8 (meth.),0.6163
DDX17,0.6132
NLRP12 (meth.),0.6046
CLEC3A (meth.),0.6029
CD6 (meth.),0.5804
IFI44L (meth.),0.5743
DIAPH1,0.5419
CPT1A,0.5379
RAC2,0.5299
S100A16 (meth.),0.5298
CD34,0.5281
CORO1A,0.5228
SON,0.5155
LYZ,0.5143
LINC02870 (meth.),0.5031
CYBB,0.5014
SLC15A2 (meth.),0.4967
SRRM2,0.4964
CFAP45 (meth.),0.4894
PRELP (meth.),0.4871
ARHGAP25 (meth.),0.4857
ADGRE1 (meth.),0.4857
LINC02694 (meth.),0.4857
MAT2A,0.4837
RPS3A,0.4829
MAMSTR (meth.),0.4819
FAM124B (meth.),0.4817
ATP2A3,0.4794
TOP2B,0.4784
EEF1B2,0.4735
SELL,0.4648
SORL1,0.4566
DDX39B,0.4559
CTSS,0.4518
CSF3R (meth.),0.4505
NCOA4,0.4479
FAM114A1 (meth.),0.4404
VCAN,0.4403
NCKAP1,0.4364
CCR7 (meth.),0.4332
TASL (meth.),0.4299
KLHL6 (meth.),0.4193
EVL (meth.),0.4173
HNRNPK,0.4118
CDK15 (meth.),0.4103
IRAG2 (meth.),0.4101
RUNX1 (meth.),0.4085
MCL1,0.4028
HBA1,0.3941
OR10J1 (meth.),0.3905
ZFP36L2,0.3769
FPR2 (meth.),0.3764
HNRNPA3,0.3731
SUN2,0.3728
RPS27A,0.3710
FOS,0.3638
