Gene Name,Score
GCSAM (meth.),0.0832
SLC22A12 (meth.),0.0752
PABPC5 (meth.),0.0645
CFTR (meth.),0.0626
ARHGDIB (meth.),0.0624
PTPN22 (meth.),0.0617
HBG2,0.0608
EPHA5 (meth.),0.0597
CD69 (meth.),0.0583
DYNLT5 (meth.),0.0578
FOXI1 (meth.),0.0575
FXYD3 (meth.),0.0567
FAXDC2 (meth.),0.0566
MGST1 (meth.),0.0561
GPX5 (meth.),0.0560
AGR2 (meth.),0.0558
RASGRP3 (meth.),0.0553
ZNF536 (meth.),0.0549
GCSAML (meth.),0.0546
DRD4 (meth.),0.0544
C15orf48 (meth.),0.0537
TRHR (meth.),0.0535
ZNF671 (meth.),0.0535
PICALM (meth.),0.0529
LCE3D (meth.),0.0527
GDF3 (meth.),0.0525
GZMA (meth.),0.0525
HOXA5 (meth.),0.0524
FOXG1 (meth.),0.0521
MYLK (meth.),0.0516
GPR143 (meth.),0.0515
CXCR2 (meth.),0.0514
CD5L (meth.),0.0512
PRSS58 (meth.),0.0509
IRAG2 (meth.),0.0496
FPR2 (meth.),0.0495
CRMP1 (meth.),0.0494
RUNX1 (meth.),0.0493
IL1RL2 (meth.),0.0491
LYPD5 (meth.),0.0485
CLRN3 (meth.),0.0481
AIM2 (meth.),0.0478
CYTL1 (meth.),0.0478
CNTNAP2 (meth.),0.0475
HCAR1 (meth.),0.0471
MS4A8 (meth.),0.0468
DAPP1 (meth.),0.0467
BCAN (meth.),0.0466
GP2 (meth.),0.0460
ACRBP (meth.),0.0455
IL18 (meth.),0.0451
NEBL (meth.),0.0450
CLIC6 (meth.),0.0447
KCNE3 (meth.),0.0444
BANK1 (meth.),0.0440
CYTIP (meth.),0.0437
SELENBP1 (meth.),0.0436
VNN1 (meth.),0.0436
ZNF154 (meth.),0.0435
CD1B (meth.),0.0434
ZNF667 (meth.),0.0434
ZFP42 (meth.),0.0434
RNASE6 (meth.),0.0433
GNG4 (meth.),0.0432
GRIP1 (meth.),0.0431
PTGDR (meth.),0.0430
CD28 (meth.),0.0429
SLC6A15 (meth.),0.0429
RDH5 (meth.),0.0429
SLC38A11 (meth.),0.0426
CCR6 (meth.),0.0425
FSHR (meth.),0.0424
MYO3A (meth.),0.0422
ST6GALNAC5 (meth.),0.0422
PRKAR1B (meth.),0.0422
TGFB3 (meth.),0.0421
PXDN (meth.),0.0420
KCNMB2 (meth.),0.0419
TBX5 (meth.),0.0418
GIMAP4 (meth.),0.0417
TFAP2B (meth.),0.0416
ADGRG7 (meth.),0.0415
CYBA (meth.),0.0414
SCRG1 (meth.),0.0411
EPB41L1 (meth.),0.0411
FAM216B (meth.),0.0411
ZNF577 (meth.),0.0410
NOX1 (meth.),0.0409
VXN (meth.),0.0407
TMEM139 (meth.),0.0406
CMTM3 (meth.),0.0405
PEAK3 (meth.),0.0405
A4GNT (meth.),0.0405
SLC6A13 (meth.),0.0404
GJB6 (meth.),0.0403
HNF4A (meth.),0.0400
GABRB1 (meth.),0.0399
UMOD (meth.),0.0399
ADCY4 (meth.),0.0395
BEST3 (meth.),0.0394
H4C6 (meth.),0.0393
MS4A15 (meth.),0.0392
EHF (meth.),0.0392
SLC26A5 (meth.),0.0391
CHRM5 (meth.),0.0391
ARL14 (meth.),0.0390
SRPX2 (meth.),0.0390
SUMO3 (meth.),0.0389
SLITRK1 (meth.),0.0388
IFITM1 (meth.),0.0388
CDO1 (meth.),0.0386
INPP5B (meth.),0.0385
CASP8 (meth.),0.0385
FCER1A (meth.),0.0384
CD1C (meth.),0.0382
C1orf115 (meth.),0.0381
B4GALT6 (meth.),0.0381
NEFM (meth.),0.0380
FERD3L (meth.),0.0379
PCP4 (meth.),0.0377
SPATA16 (meth.),0.0375
MAGEC3 (meth.),0.0375
KSR1 (meth.),0.0375
TPSD1 (meth.),0.0373
ADHFE1 (meth.),0.0371
PON1 (meth.),0.0366
SOSTDC1 (meth.),0.0365
POU4F2 (meth.),0.0365
HAAO (meth.),0.0364
DQX1 (meth.),0.0364
PLAC8 (meth.),0.0362
FCAR (meth.),0.0359
PCDHB6 (meth.),0.0359
DNAH5 (meth.),0.0358
FABP3 (meth.),0.0357
UTF1 (meth.),0.0357
FAP (meth.),0.0355
CDK14 (meth.),0.0353
SLC22A9 (meth.),0.0353
RHAG (meth.),0.0352
DISP1 (meth.),0.0352
ST6GALNAC1 (meth.),0.0351
GCNT2 (meth.),0.0351
CRACR2A (meth.),0.0348
FCRL2 (meth.),0.0346
FOXI2 (meth.),0.0345
CA3 (meth.),0.0344
PYDC2 (meth.),0.0342
OR7C2 (meth.),0.0341
LIN7A (meth.),0.0340
ASB4 (meth.),0.0338
MTMR8 (meth.),0.0337
MYH4 (meth.),0.0337
HTR2C (meth.),0.0337
TBXT (meth.),0.0335
SLC8A2 (meth.),0.0333
EPB41L3 (meth.),0.0333
GLYAT (meth.),0.0332
GCM1 (meth.),0.0331
H3C3 (meth.),0.0331
SST (meth.),0.0331
COL5A2 (meth.),0.0330
CPA3 (meth.),0.0330
TMED6 (meth.),0.0329
KLF8 (meth.),0.0328
EDARADD (meth.),0.0328
NETO1 (meth.),0.0327
AHSP (meth.),0.0326
RGL3 (meth.),0.0326
ARSL (meth.),0.0325
KCNAB2 (meth.),0.0324
MAT1A (meth.),0.0324
RBM47 (meth.),0.0321
PGLYRP3 (meth.),0.0321
PHACTR2 (meth.),0.0320
XDH (meth.),0.0318
CCDC181 (meth.),0.0318
GFRA3 (meth.),0.0317
TTN (meth.),0.0316
GRIK2 (meth.),0.0316
HOXB2 (meth.),0.0315
ZNF436 (meth.),0.0314
CHL1 (meth.),0.0314
BPIFA3 (meth.),0.0313
GPRASP3 (meth.),0.0312
BATF (meth.),0.0312
PCSK1 (meth.),0.0311
C8A (meth.),0.0311
OR5V1 (meth.),0.0307
ELN (meth.),0.0303
GLRA2 (meth.),0.0303
BTNL2 (meth.),0.0302
FIBIN (meth.),0.0301
PTHLH (meth.),0.0301
TPO (meth.),0.0300
CD53 (meth.),0.0299
GSDMC (meth.),0.0299
SLC16A5 (meth.),0.0299
CD96 (meth.),0.0299
TAAR5 (meth.),0.0298
GRIA1 (meth.),0.0298
TMEM106A (meth.),0.0297
MAP2 (meth.),0.0296
CD200R1 (meth.),0.0296
HKDC1 (meth.),0.0296
IFFO1 (meth.),0.0296
GREB1 (meth.),0.0295
SLC35G2 (meth.),0.0295
TLX3 (meth.),0.0294
PLAC1 (meth.),0.0292
TMEM255A (meth.),0.0292
TNFRSF17 (meth.),0.0291
OTOP1 (meth.),0.0291
IFNA8 (meth.),0.0290
CRIP3 (meth.),0.0290
FLI1 (meth.),0.0290
HCG9 (meth.),0.0290
BBOX1 (meth.),0.0290
HTR3D (meth.),0.0290
SPACA7 (meth.),0.0288
TRIM2 (meth.),0.0285
SCG5 (meth.),0.0284
WDR17 (meth.),0.0283
DEF6 (meth.),0.0282
KRTAP13-4 (meth.),0.0280
RGN (meth.),0.0278
KRTAP13-3 (meth.),0.0275
CUBN (meth.),0.0275
RNLS (meth.),0.0275
SLC16A3 (meth.),0.0274
LYN (meth.),0.0273
HLF (meth.),0.0272
WDR72 (meth.),0.0272
NELL1 (meth.),0.0272
THY1 (meth.),0.0271
REPS2 (meth.),0.0271
NMUR2 (meth.),0.0271
IL7R (meth.),0.0270
FTHL17 (meth.),0.0270
GYPC (meth.),0.0269
CNKSR2 (meth.),0.0267
FAM180A (meth.),0.0267
APC (meth.),0.0266
ADH6 (meth.),0.0265
TRH (meth.),0.0265
HOXA9 (meth.),0.0265
FYB1 (meth.),0.0264
G6PC2 (meth.),0.0260
SLITRK4 (meth.),0.0259
HEPACAM (meth.),0.0258
CNGB3 (meth.),0.0258
HOXB1 (meth.),0.0258
PHOX2A (meth.),0.0258
LCE2D (meth.),0.0258
TMPRSS3 (meth.),0.0257
MSC (meth.),0.0257
WNK3 (meth.),0.0256
BNIPL (meth.),0.0255
ANPEP (meth.),0.0253
HOXD10 (meth.),0.0253
VWC2 (meth.),0.0251
CAVIN2 (meth.),0.0250
CD38 (meth.),0.0250
DMBT1 (meth.),0.0249
C11orf52 (meth.),0.0249
KRT7 (meth.),0.0249
TAS2R16 (meth.),0.0248
CHI3L2 (meth.),0.0248
IRAK3 (meth.),0.0248
RD3 (meth.),0.0245
PCDHB15 (meth.),0.0244
SIRPD (meth.),0.0244
CNTN6 (meth.),0.0244
CLEC14A (meth.),0.0244
IL20RA (meth.),0.0243
PTPN6 (meth.),0.0243
F7 (meth.),0.0242
STMN2 (meth.),0.0242
EPHA10 (meth.),0.0242
SPHKAP (meth.),0.0242
ALKAL1 (meth.),0.0241
SULT2A1 (meth.),0.0240
CRH (meth.),0.0240
SGK2 (meth.),0.0240
TIAM1 (meth.),0.0240
A2ML1 (meth.),0.0238
BST2 (meth.),0.0237
LYZL2 (meth.),0.0237
MCHR2 (meth.),0.0237
ADA (meth.),0.0237
TNFRSF10C (meth.),0.0236
BEGAIN (meth.),0.0236
SLC24A2 (meth.),0.0235
CRYBB3 (meth.),0.0234
SEMG2 (meth.),0.0234
KLK1 (meth.),0.0230
C1QTNF7 (meth.),0.0230
ANXA4 (meth.),0.0230
TRAK1 (meth.),0.0229
SPRR2A (meth.),0.0229
COL11A2 (meth.),0.0229
SULT2B1 (meth.),0.0228
DNAJC6 (meth.),0.0226
FAM83A (meth.),0.0224
DPP6 (meth.),0.0224
TM4SF4 (meth.),0.0222
PRG3 (meth.),0.0222
SERPINB12 (meth.),0.0221
SLC23A2 (meth.),0.0221
HEPH (meth.),0.0219
H3C8 (meth.),0.0218
SCN7A (meth.),0.0216
CAPSL (meth.),0.0215
VILL (meth.),0.0214
WFDC2 (meth.),0.0214
HSD17B2 (meth.),0.0214
GLIPR1L1 (meth.),0.0213
ZNF177 (meth.),0.0212
PRKAR2B (meth.),0.0211
COL9A1 (meth.),0.0211
AFF3 (meth.),0.0211
LMNTD1 (meth.),0.0210
GIMAP5 (meth.),0.0210
TRIM36 (meth.),0.0209
FBLIM1 (meth.),0.0209
PLEKHS1 (meth.),0.0208
SPATS1 (meth.),0.0208
HYLS1 (meth.),0.0207
