Gene Name,Score
TNFAIP8L2 (meth.),0.3913
RPL7,0.3460
LMO2 (meth.),0.3375
CD6 (meth.),0.2731
PLEK (meth.),0.2665
OGT,0.2451
C16orf54 (meth.),0.2406
SRGN,0.2315
CARD8 (meth.),0.2307
CD37 (meth.),0.2278
MYO15B,0.2270
RUNX1,0.2269
CDK6,0.2233
NCKAP1L (meth.),0.2191
ARHGAP25 (meth.),0.2164
MPO,0.2155
IL1B (meth.),0.2078
PTPRC,0.2073
RPL17,0.1984
ATP13A4 (meth.),0.1812
LAT (meth.),0.1806
IL18BP (meth.),0.1783
CYTIP (meth.),0.1772
FAM114A1 (meth.),0.1771
HBB,0.1715
HBA2,0.1607
STAB1,0.1579
CAT,0.1560
ARHGDIB,0.1537
NLRP12 (meth.),0.1527
EEF1A1P9,0.1526
FAM124B (meth.),0.1511
RAC2,0.1491
SELPLG (meth.),0.1476
MALAT1,0.1452
NUP210,0.1445
CFAP45 (meth.),0.1444
HNRNPH1,0.1425
CCR7 (meth.),0.1423
SON,0.1371
CSF3R (meth.),0.1331
LCP1,0.1325
PRELP (meth.),0.1324
LENG8,0.1322
SNX20 (meth.),0.1320
TASL (meth.),0.1317
AFF3 (meth.),0.1312
RPS18,0.1299
CDK15 (meth.),0.1293
ITGB2,0.1283
CORO1A,0.1278
SPNS3 (meth.),0.1271
HPN (meth.),0.1271
RUNX1 (meth.),0.1241
PRR15L (meth.),0.1184
C11orf52 (meth.),0.1167
KLHL6 (meth.),0.1150
RHOH (meth.),0.1142
WAS (meth.),0.1136
CD28 (meth.),0.1136
EVL (meth.),0.1133
MAMSTR (meth.),0.1130
PTPN22 (meth.),0.1129
ITGB2 (meth.),0.1093
LTC4S (meth.),0.1093
TRIM2 (meth.),0.1088
RFLNA (meth.),0.1079
TNFSF8 (meth.),0.1073
HBA1,0.1070
SRRM2,0.1063
SOD3 (meth.),0.1019
GMFG (meth.),0.1018
SELL,0.1015
GRK2,0.1008
ADGRE1 (meth.),0.1006
CLEC3A (meth.),0.1003
STAT5A (meth.),0.0994
TRIM40 (meth.),0.0993
STAP1 (meth.),0.0988
LINC02694 (meth.),0.0983
CLEC14A (meth.),0.0974
P2RX1 (meth.),0.0966
CAPSL (meth.),0.0948
C1orf210 (meth.),0.0927
ELMO3 (meth.),0.0918
LAPTM5,0.0911
FPR2 (meth.),0.0909
SLC15A2 (meth.),0.0908
CD164L2 (meth.),0.0908
KRT8 (meth.),0.0898
LCP1 (meth.),0.0893
MACROH2A1,0.0892
OR10J1 (meth.),0.0885
KIF12 (meth.),0.0882
RD3 (meth.),0.0878
SF3B1,0.0876
FOSB,0.0866
GCSAM (meth.),0.0853
KRTCAP3 (meth.),0.0840
SORL1,0.0838
ARHGAP15 (meth.),0.0833
UBASH3A (meth.),0.0827
CRB3 (meth.),0.0816
LILRA1 (meth.),0.0810
CBLC (meth.),0.0806
FOXI1 (meth.),0.0806
MLC1 (meth.),0.0802
IRAG2 (meth.),0.0800
PLEKHA4 (meth.),0.0785
RBM47 (meth.),0.0780
SRGN (meth.),0.0764
FXYD3 (meth.),0.0761
SLC18A1 (meth.),0.0757
DDX17,0.0737
EEF1B2,0.0731
PIEZO1,0.0717
DISP1 (meth.),0.0715
GDF5 (meth.),0.0714
SELENBP1 (meth.),0.0712
RBBP8NL (meth.),0.0712
IFI44L (meth.),0.0712
PRKAR2B (meth.),0.0708
ATP2A3,0.0706
SYNE4 (meth.),0.0706
MCL1,0.0702
HNRNPK,0.0701
IL1RL2 (meth.),0.0699
S100A16 (meth.),0.0696
CXCR2 (meth.),0.0693
DDX39B,0.0691
RPS7,0.0689
NAV1 (meth.),0.0688
CYP1B1-AS1 (meth.),0.0687
CD33 (meth.),0.0685
LAX1 (meth.),0.0685
FRK (meth.),0.0682
NCALD (meth.),0.0679
EDN2 (meth.),0.0676
HBG2,0.0673
F7 (meth.),0.0672
IFFO1 (meth.),0.0671
RPL9,0.0671
PARVG (meth.),0.0669
C1QTNF6 (meth.),0.0666
FAM30A (meth.),0.0664
ELSPBP1 (meth.),0.0663
HTR3A (meth.),0.0654
DEFB119 (meth.),0.0645
CCL11 (meth.),0.0644
LINC02870 (meth.),0.0641
BCAS1 (meth.),0.0641
NIBAN3 (meth.),0.0638
VNN2 (meth.),0.0637
CD72 (meth.),0.0636
TNFSF4 (meth.),0.0636
PLAC8 (meth.),0.0635
AGR2 (meth.),0.0629
NCKAP1,0.0624
PLA2G1B (meth.),0.0622
NCOA4,0.0621
KLRG1 (meth.),0.0618
GNMT (meth.),0.0612
BATF (meth.),0.0610
FSD1 (meth.),0.0607
TRPV6 (meth.),0.0605
GLYAT (meth.),0.0602
H4C13 (meth.),0.0601
HOXA4 (meth.),0.0600
SNRK (meth.),0.0597
CNTN6 (meth.),0.0591
GSDMC (meth.),0.0590
IL32 (meth.),0.0575
SLC39A2 (meth.),0.0573
FGFBP1 (meth.),0.0570
VNN1 (meth.),0.0570
CARD10 (meth.),0.0566
CD69 (meth.),0.0565
PROCA1 (meth.),0.0562
HMGB2,0.0559
DYNLT5 (meth.),0.0556
MYO1A (meth.),0.0551
NAP1L1,0.0550
MACROH2A1 (meth.),0.0546
CD1B (meth.),0.0546
TAMALIN (meth.),0.0544
CD200R1 (meth.),0.0540
ADGRE3 (meth.),0.0538
CYP27B1 (meth.),0.0538
GALM (meth.),0.0537
MS4A8 (meth.),0.0537
CTNNA1,0.0537
C9 (meth.),0.0537
ZNF280A (meth.),0.0536
RORC (meth.),0.0535
OSCAR (meth.),0.0535
PGLYRP1 (meth.),0.0534
TOP2B,0.0533
APOD (meth.),0.0533
CLEC1A (meth.),0.0528
ADGRG1 (meth.),0.0528
ISG20L2 (meth.),0.0527
TMPRSS3 (meth.),0.0525
RDH5 (meth.),0.0521
LGALS12 (meth.),0.0514
MAT2A,0.0513
DMBT1 (meth.),0.0512
PLXNB1 (meth.),0.0508
ANXA9 (meth.),0.0507
IRAK3 (meth.),0.0507
CTNND1,0.0503
FPR3 (meth.),0.0503
RPS3A,0.0498
HOXA5 (meth.),0.0495
CIMIP4 (meth.),0.0494
SLC6A13 (meth.),0.0493
MCEMP1 (meth.),0.0493
RPS27A,0.0493
ARSL (meth.),0.0490
PRG3 (meth.),0.0483
SLC10A2 (meth.),0.0482
CSNK1E (meth.),0.0480
DSTN,0.0477
HNRNPA1,0.0471
PKP3 (meth.),0.0471
SLC16A3 (meth.),0.0471
GCSAML (meth.),0.0465
CD244 (meth.),0.0463
RNASE6 (meth.),0.0462
ACER1 (meth.),0.0461
GZMA (meth.),0.0460
NECTIN4 (meth.),0.0459
HYLS1 (meth.),0.0456
XDH (meth.),0.0456
COX4I2 (meth.),0.0456
TM4SF4 (meth.),0.0455
CYP3A5 (meth.),0.0453
WASF2,0.0450
FURIN (meth.),0.0448
PLEKHS1 (meth.),0.0448
ADA (meth.),0.0448
HKDC1 (meth.),0.0447
ARHGEF12,0.0446
IRAG1 (meth.),0.0445
IL2RG (meth.),0.0444
FAM180A (meth.),0.0444
S100A9 (meth.),0.0444
XIST,0.0443
GRB7 (meth.),0.0442
MCF2 (meth.),0.0442
EPB41L1 (meth.),0.0441
CRISP2 (meth.),0.0441
SPOCD1 (meth.),0.0441
DOCK2 (meth.),0.0439
MYF6 (meth.),0.0437
PCK1 (meth.),0.0435
HCAR1 (meth.),0.0430
KLF6,0.0429
HNRNPA3,0.0429
MFAP4 (meth.),0.0427
RASSF2,0.0425
UHRF1 (meth.),0.0424
ZNF536 (meth.),0.0423
BTNL2 (meth.),0.0420
ACOX2 (meth.),0.0420
SULT2B1 (meth.),0.0419
ESPNL (meth.),0.0419
GRIP1 (meth.),0.0418
KDELR2,0.0417
PPBP (meth.),0.0416
EDARADD (meth.),0.0412
DDX3X,0.0411
GJB6 (meth.),0.0411
CD34,0.0408
SCG5 (meth.),0.0407
CPT1A,0.0406
LINC02880 (meth.),0.0403
ANKDD1A (meth.),0.0402
TNXB (meth.),0.0399
CYBB,0.0399
SFN (meth.),0.0396
MYO1C,0.0395
GATA2 (meth.),0.0395
EXTL1 (meth.),0.0393
CYP2E1 (meth.),0.0392
PKHD1 (meth.),0.0389
HOXA7 (meth.),0.0388
NLRP3 (meth.),0.0387
DRP2 (meth.),0.0386
NCAPD2 (meth.),0.0385
TFR2 (meth.),0.0384
SPARC (meth.),0.0384
PDZRN3 (meth.),0.0383
RTL3 (meth.),0.0382
CIITA (meth.),0.0380
CA9 (meth.),0.0380
PAX4 (meth.),0.0379
NEUROD6 (meth.),0.0377
IL21R (meth.),0.0376
ARHGAP4 (meth.),0.0374
ZNF875 (meth.),0.0373
PDE6B (meth.),0.0369
IL5RA (meth.),0.0367
MAPRE3 (meth.),0.0367
FAAH2 (meth.),0.0367
TMEM71 (meth.),0.0366
A2ML1 (meth.),0.0364
NKX2-8 (meth.),0.0364
DAPP1 (meth.),0.0364
LYPD3 (meth.),0.0363
BBOX1 (meth.),0.0363
HNF1A (meth.),0.0363
NHSL3,0.0363
G6PC2 (meth.),0.0362
SERPINA6 (meth.),0.0362
SIRPB1 (meth.),0.0361
LY75 (meth.),0.0361
PLEKHB1 (meth.),0.0360
DIAPH1,0.0358
TMEM105 (meth.),0.0358
RASGRP3 (meth.),0.0357
FRMD4A (meth.),0.0355
ZNF541 (meth.),0.0355
CMTM5 (meth.),0.0354
XPNPEP2 (meth.),0.0354
ZNF790 (meth.),0.0353
TNFRSF19 (meth.),0.0351
SPDEF (meth.),0.0351
TNFAIP2 (meth.),0.0350
VSIG4 (meth.),0.0349
DEFB125 (meth.),0.0349
MLF2,0.0349
PTGES (meth.),0.0349
CD1A (meth.),0.0348
REEP5,0.0347
APCS (meth.),0.0347
SLAMF1 (meth.),0.0347
MPG (meth.),0.0347
SLC39A7,0.0346
RPSA,0.0346
EHF (meth.),0.0346
LYZ,0.0345
NASP,0.0345
PLAC1 (meth.),0.0345
VSIG2 (meth.),0.0344
DDX5,0.0342
AKAP14 (meth.),0.0342
FMNL1 (meth.),0.0341
PF4V1 (meth.),0.0341
KIAA1217,0.0341
RPS23,0.0340
SPARCL1 (meth.),0.0338
DEFB129 (meth.),0.0338
PACSIN1 (meth.),0.0338
GPR152 (meth.),0.0337
GDF3 (meth.),0.0336
