Gene Name,Score
SOX8,1.4370
BCAN,1.3124
FXYD6,1.1661
OLIG1,1.1447
APC2,1.1139
TNK2,1.1063
MTSS2,1.0954
RND2,1.0804
PEA15,1.0775
SMOC1,1.0762
NDRG2,1.0443
MIR9-1HG,1.0242
THRA,1.0197
ALDOC,0.9981
GABBR1,0.9764
NCAM1,0.9406
RASSF2,0.9291
GPM6A,0.9251
MAP2,0.9233
EML2 (meth.),0.9228
CSPG5,0.9070
QKI,0.8891
TCF12,0.8661
SCD5,0.8639
KCNJ10,0.8606
LRIG1,0.8550
GPM6B,0.8504
MAPT,0.8390
SEPTIN3,0.8331
DAAM2,0.8122
SCG3,0.7714
HES6,0.7660
FEZ1,0.7604
MBP,0.7529
NTRK2,0.7511
TTYH1,0.7510
PLP1,0.7417
FZD6 (meth.),0.7410
FYCO1 (meth.),0.7357
PCDHGC3,0.7301
SPARCL1,0.6950
SLC1A3,0.6803
SRI,0.6714
CUL1 (meth.),0.6627
MLC1,0.6444
RBMS3 (meth.),0.6311
BAALC,0.6263
ATP1A2,0.6234
FAM107A,0.6139
SLC35D2 (meth.),0.6096
RTN1,0.6083
RASSF4,0.6051
MTURN,0.5966
ATP1B2,0.5839
LRRC8A,0.5815
MARCKS,0.5798
KIF1B,0.5714
GPRC5B,0.5697
SLC1A2,0.5674
CLIP2,0.5614
LRP4,0.5612
ARHGAP24 (meth.),0.5593
MAP1B,0.5583
AQP4,0.5402
CNP,0.5223
FYN,0.5219
SP100 (meth.),0.5163
TNFSF15 (meth.),0.5143
SYT11,0.5084
HIPK2,0.5079
PLEKHB1,0.5069
RGMA,0.5057
ENO3 (meth.),0.5011
TSPAN7,0.5003
ABAT,0.4963
AHCYL1,0.4926
APLNR,0.4908
CAMK2A,0.4770
DDR1,0.4745
ETV1,0.4740
TMEM140 (meth.),0.4705
IER3 (meth.),0.4678
DTNA,0.4670
CLIP3,0.4631
ANK2,0.4631
MAP1A,0.4608
GFAP,0.4473
TOMM20L (meth.),0.4472
LPCAT2 (meth.),0.4452
KIF5C,0.4364
LPL,0.4347
CPE,0.4313
ATP6V0E2,0.4268
DPYSL3,0.4262
ID4,0.4259
TUBB2A,0.4207
CHST8 (meth.),0.4178
RAB31,0.4137
RTN3,0.4135
DACT3 (meth.),0.4126
HEPACAM (meth.),0.3977
CST3,0.3972
NDRG4,0.3933
CRYAB,0.3922
SNAP25,0.3903
GNMT (meth.),0.3845
NRCAM,0.3819
GDI1,0.3792
CYP27A1 (meth.),0.3749
RNF135 (meth.),0.3733
ZMYND10 (meth.),0.3711
NFIX,0.3696
HAPLN3 (meth.),0.3689
PIK3R1,0.3682
HOXB1 (meth.),0.3630
SPARCL1 (meth.),0.3607
PON2,0.3600
FBXW10 (meth.),0.3535
ARNT2,0.3483
APOL1 (meth.),0.3481
MMP14 (meth.),0.3416
NSG2,0.3406
DPYSL2,0.3398
TUBB4A,0.3389
ACKR3 (meth.),0.3379
NSMF,0.3366
SDC3,0.3346
S100B,0.3273
WBP2,0.3272
RBM24 (meth.),0.3264
KIF1A,0.3244
ANGPTL2,0.3242
ACAN (meth.),0.3225
PDE4DIP,0.3180
G0S2 (meth.),0.3140
LPAR2 (meth.),0.3135
ENO2,0.3127
SLC22A17,0.3115
PADI2,0.3109
FADS2,0.3095
MADD (meth.),0.3091
VAMP2,0.3091
VEPH1 (meth.),0.3074
HUNK (meth.),0.3071
C15orf48 (meth.),0.3027
PSAT1,0.3019
EDNRB,0.3012
BEST3 (meth.),0.3005
CAMK1G (meth.),0.3005
SEPTIN7,0.2963
MAP4K4,0.2961
LGALS3 (meth.),0.2958
UAP1L1 (meth.),0.2954
PDCD1 (meth.),0.2942
VXN (meth.),0.2935
GLUD1,0.2929
ENTPD2 (meth.),0.2912
CALM3,0.2906
SLC1A4,0.2889
STMN3,0.2886
PRECSIT (meth.),0.2870
CMTM5 (meth.),0.2815
DRP2 (meth.),0.2738
CKB,0.2737
ABCA2,0.2724
CAVIN2 (meth.),0.2715
ENC1,0.2713
MEDAG (meth.),0.2709
S100A2 (meth.),0.2697
SCRG1 (meth.),0.2685
STMN4 (meth.),0.2681
SLC15A2 (meth.),0.2675
DEF6 (meth.),0.2661
SLC29A1 (meth.),0.2628
ADGRG6 (meth.),0.2602
USP11,0.2598
LOC728392,0.2585
ABTB1 (meth.),0.2583
ORAI2 (meth.),0.2581
JAG2 (meth.),0.2580
TUB (meth.),0.2573
SULT1C4 (meth.),0.2562
PICALM (meth.),0.2558
PWWP2B (meth.),0.2529
PPP1R36 (meth.),0.2527
EDN2 (meth.),0.2527
SYT1,0.2525
MAP4,0.2507
RAP1GAP (meth.),0.2496
SEPTIN9 (meth.),0.2494
FAAH2 (meth.),0.2492
NFASC,0.2462
FAM114A1 (meth.),0.2459
BEX3,0.2455
METAP1D (meth.),0.2451
MARK2 (meth.),0.2447
RAC2 (meth.),0.2446
SMAGP (meth.),0.2436
YWHAE,0.2434
ITM2C,0.2432
