Gene Name,Score
SOX8,1.2082
FXYD6,0.9771
BCAN,0.9615
TNK2,0.9455
SMOC1,0.9133
RND2,0.8829
MTSS2,0.8703
OLIG1,0.8595
APC2,0.8413
PEA15,0.8112
NDRG2,0.7919
ALDOC,0.7820
GABBR1,0.7806
TCF12,0.7729
THRA,0.7573
EML2 (meth.),0.7398
LRIG1,0.7355
CSPG5,0.7248
MIR9-1HG,0.7091
RASSF2,0.6947
FYCO1 (meth.),0.6853
HES6,0.6835
NCAM1,0.6791
SCG3,0.6684
MAPT,0.6518
MAP2,0.6451
DAAM2,0.6415
GPM6A,0.6406
CUL1 (meth.),0.6277
SCD5,0.6263
SEPTIN3,0.6201
KCNJ10,0.5929
QKI,0.5887
SRI,0.5661
FZD6 (meth.),0.5627
RBMS3 (meth.),0.5618
MAP1B,0.5587
SLC35D2 (meth.),0.5448
PCDHGC3,0.5424
SLC1A3,0.5369
GPM6B,0.5362
NTRK2,0.5247
APLNR,0.5138
MARCKS,0.5129
ATP1A2,0.5100
TTYH1,0.4920
LRRC8A,0.4822
SPARCL1,0.4731
ANK2,0.4724
SLC1A2,0.4657
RASSF4,0.4600
FEZ1,0.4596
LRP4,0.4593
ENO3 (meth.),0.4582
MBP,0.4554
MLC1,0.4483
ATP1B2,0.4412
ARHGAP24 (meth.),0.4377
TNFSF15 (meth.),0.4290
AQP4,0.4247
CST3,0.4191
SP100 (meth.),0.4109
BAALC,0.4104
PLP1,0.4062
TUBB2A,0.4015
CHST8 (meth.),0.4005
CLIP2,0.3952
ABAT,0.3927
ATP6V0E2,0.3921
FAM107A,0.3887
DDR1,0.3879
CAMK2A,0.3869
LPCAT2 (meth.),0.3867
IER3 (meth.),0.3845
SNAP25,0.3824
TOMM20L (meth.),0.3806
HIPK2,0.3796
KIF5C,0.3749
NDRG4,0.3725
RTN1,0.3709
DPYSL3,0.3702
CNP,0.3696
RGMA,0.3622
FYN,0.3619
TSPAN7,0.3614
LPL,0.3583
ETV1,0.3541
SDC3,0.3533
DTNA,0.3507
CYP27A1 (meth.),0.3496
GPRC5B,0.3457
GFAP,0.3452
PLEKHB1,0.3434
RNF135 (meth.),0.3426
PIK3R1,0.3418
AHCYL1,0.3413
TMEM140 (meth.),0.3398
CPE,0.3389
SYT11,0.3363
ENO2,0.3323
MTURN,0.3310
RTN3,0.3284
ACKR3 (meth.),0.3266
RAB31,0.3251
ZMYND10 (meth.),0.3232
ENC1,0.3222
DACT3 (meth.),0.3198
HAPLN3 (meth.),0.3187
GNMT (meth.),0.3166
HEPACAM (meth.),0.3163
CALM3,0.3160
MMP14 (meth.),0.3158
ID4,0.3154
NFIX,0.3142
FBXW10 (meth.),0.3127
HOXB1 (meth.),0.3125
WBP2,0.3109
ANGPTL2,0.3107
KIF1B,0.3098
GDI1,0.3073
MAP1A,0.3032
PON2,0.3030
SPARCL1 (meth.),0.3028
ARNT2,0.3003
CRYAB,0.2984
HUNK (meth.),0.2913
STMN3,0.2911
ACAN (meth.),0.2910
PDCD1 (meth.),0.2906
DPYSL2,0.2897
RBM24 (meth.),0.2884
SYT1,0.2883
S100B,0.2881
PADI2,0.2865
NSG2,0.2860
NSMF,0.2849
VAMP2,0.2840
FADS2,0.2832
NRCAM,0.2819
NFASC,0.2794
