Gene Name,Score
PYDC2 (meth.),0.0033
CHL1 (meth.),0.0033
LCE2D (meth.),0.0033
ZNF671 (meth.),0.0031
REPS2 (meth.),0.0030
TM4SF4 (meth.),0.0030
VXN (meth.),0.0029
CLRN3 (meth.),0.0028
ZNF577 (meth.),0.0028
HKDC1 (meth.),0.0028
SLC22A9 (meth.),0.0028
MAT1A (meth.),0.0028
IL7R (meth.),0.0028
RDH5 (meth.),0.0027
GPRASP3 (meth.),0.0027
PICALM (meth.),0.0027
HOXB2 (meth.),0.0027
BCAN (meth.),0.0027
TRH (meth.),0.0027
HOXA9 (meth.),0.0026
ZNF536 (meth.),0.0026
RUNX1 (meth.),0.0026
HAAO (meth.),0.0026
C1QTNF7 (meth.),0.0026
ADH6 (meth.),0.0025
FCAR (meth.),0.0025
ARHGDIB (meth.),0.0025
AIM2 (meth.),0.0025
TMEM139 (meth.),0.0025
ST6GALNAC5 (meth.),0.0025
ST6GALNAC1 (meth.),0.0025
STRA6 (meth.),0.0025
GJB6 (meth.),0.0024
B4GALT6 (meth.),0.0024
GCSAML (meth.),0.0024
SLC22A12 (meth.),0.0024
CPA3 (meth.),0.0024
XDH (meth.),0.0024
GLRA2 (meth.),0.0024
CHRM5 (meth.),0.0024
SLC6A15 (meth.),0.0024
RASGRP3 (meth.),0.0024
TAAR5 (meth.),0.0024
FCER1A (meth.),0.0024
DYNLT5 (meth.),0.0023
C5AR1 (meth.),0.0023
CD200R1 (meth.),0.0023
GYPC (meth.),0.0023
FABP3 (meth.),0.0023
FAM216B (meth.),0.0023
CYBA (meth.),0.0023
MS4A15 (meth.),0.0023
CDO1 (meth.),0.0023
DAPP1 (meth.),0.0023
CFTR (meth.),0.0023
APOL1 (meth.),0.0023
UTF1 (meth.),0.0023
BBOX1 (meth.),0.0023
FTHL17 (meth.),0.0022
VSTM1 (meth.),0.0022
RNASE6 (meth.),0.0022
FSHR (meth.),0.0022
BPIFA3 (meth.),0.0022
PCDH11X (meth.),0.0022
GCM1 (meth.),0.0022
KCNMB2 (meth.),0.0022
PCP4 (meth.),0.0022
ZSCAN12 (meth.),0.0021
PGLYRP3 (meth.),0.0021
ACRBP (meth.),0.0021
PHACTR2 (meth.),0.0021
HTR2C (meth.),0.0021
AJAP1 (meth.),0.0021
MAGEB18 (meth.),0.0021
BST2 (meth.),0.0021
KCNE3 (meth.),0.0021
GLIPR1L1 (meth.),0.0021
SLN (meth.),0.0021
IRAG2 (meth.),0.0021
HNF4G (meth.),0.0021
NMUR2 (meth.),0.0021
KLF8 (meth.),0.0021
GABRB1 (meth.),0.0021
ARL14 (meth.),0.0021
GCNT2 (meth.),0.0021
CD53 (meth.),0.0021
FAM180A (meth.),0.0021
TAS2R16 (meth.),0.0021
AGR2 (meth.),0.0021
FYB1 (meth.),0.0021
NELL1 (meth.),0.0020
IFNA8 (meth.),0.0020
A4GNT (meth.),0.0020
SLC23A2 (meth.),0.0020
GNG4 (meth.),0.0020
DISP1 (meth.),0.0020
FOXG1 (meth.),0.0020
GRM8 (meth.),0.0020
KRT7 (meth.),0.0020
CD1A (meth.),0.0020
FAM83A (meth.),0.0020
CD69 (meth.),0.0020
GPX5 (meth.),0.0020
OTOP1 (meth.),0.0020
H4C4 (meth.),0.0020
TSPYL5 (meth.),0.0020
PRG3 (meth.),0.0020
SUMO3 (meth.),0.0020
SLC13A1 (meth.),0.0020
RHAG (meth.),0.0020
APC (meth.),0.0020
GIMAP4 (meth.),0.0020
IFFO1 (meth.),0.0020
GSDMC (meth.),0.0020
FLI1 (meth.),0.0020
BNIPL (meth.),0.0020
ELN (meth.),0.0019
HEPACAM (meth.),0.0019
KCNAB2 (meth.),0.0019
CYTL1 (meth.),0.0019
SCG5 (meth.),0.0019
INPP5B (meth.),0.0019
MTMR8 (meth.),0.0019
OR5V1 (meth.),0.0019
ZFP42 (meth.),0.0019
PCSK1 (meth.),0.0019
SLC35G2 (meth.),0.0019
FXYD3 (meth.),0.0019
SLAIN1 (meth.),0.0019
ZNF436 (meth.),0.0019
PRKAR2B (meth.),0.0019
MYH4 (meth.),0.0019
MAGEC3 (meth.),0.0019
ASIC4 (meth.),0.0019
WNK3 (meth.),0.0019
G6PC2 (meth.),0.0019
DEF6 (meth.),0.0019
ADGRG7 (meth.),0.0019
LIN7A (meth.),0.0019
PLEKHA4 (meth.),0.0018
STMN2 (meth.),0.0018
HNF4A (meth.),0.0018
LMNTD1 (meth.),0.0018
FRZB (meth.),0.0018
ZNF875 (meth.),0.0018
HTR3D (meth.),0.0018
EHF (meth.),0.0018
H3C12 (meth.),0.0018
EPHA10 (meth.),0.0018
ANXA4 (meth.),0.0018
FAP (meth.),0.0018
LAMB3 (meth.),0.0018
IL18 (meth.),0.0018
PABPC5 (meth.),0.0018
TLX3 (meth.),0.0018
C8A (meth.),0.0018
CNGB3 (meth.),0.0018
TBX5 (meth.),0.0018
KCNA1 (meth.),0.0018
HOXD10 (meth.),0.0018
PON3 (meth.),0.0018
HYLS1 (meth.),0.0018
RD3 (meth.),0.0018
COL11A2 (meth.),0.0018
ABCC2 (meth.),0.0018
FAM135B (meth.),0.0018
LCE3D (meth.),0.0018
KRTAP13-4 (meth.),0.0018
MS4A8 (meth.),0.0018
MAGEE2 (meth.),0.0018
FAXDC2 (meth.),0.0018
TGFB3 (meth.),0.0018
IFITM1 (meth.),0.0018
CNKSR2 (meth.),0.0018
PON1 (meth.),0.0018
NOX1 (meth.),0.0018
CDH8 (meth.),0.0018
C1orf115 (meth.),0.0018
CYTIP (meth.),0.0018
COL5A2 (meth.),0.0018
PLAC1 (meth.),0.0018
CD5L (meth.),0.0018
CBLN4 (meth.),0.0018
KRTAP13-3 (meth.),0.0018
FAM50A (meth.),0.0018
GP2 (meth.),0.0018
HCAR1 (meth.),0.0017
ADA (meth.),0.0017
CMTM3 (meth.),0.0017
DMBT1 (meth.),0.0017
PRSS58 (meth.),0.0017
CNTNAP2 (meth.),0.0017
THY1 (meth.),0.0017
ANPEP (meth.),0.0017
C15orf48 (meth.),0.0017
DQX1 (meth.),0.0017
NFASC,0.0017
CALML4 (meth.),0.0017
HBG1 (meth.),0.0017
SULT2A1 (meth.),0.0017
GRIP1 (meth.),0.0017
CDK15 (meth.),0.0017
GIMAP5 (meth.),0.0017
SLC26A5 (meth.),0.0017
TFAP2B (meth.),0.0017
KRTDAP (meth.),0.0017
RSPH9 (meth.),0.0017
SLCO1C1 (meth.),0.0017
GRIA1 (meth.),0.0017
STAT5A (meth.),0.0017
EPB41L1 (meth.),0.0017
FPR2 (meth.),0.0016
AFF3 (meth.),0.0016
GRIK5 (meth.),0.0016
RGL3 (meth.),0.0016
NETO1 (meth.),0.0016
INA (meth.),0.0016
MYLK (meth.),0.0016
H3C8 (meth.),0.0016
SLC16A5 (meth.),0.0016
HEPH (meth.),0.0016
SPHKAP (meth.),0.0016
TIAM1 (meth.),0.0016
SNAP91 (meth.),0.0016
CD1B (meth.),0.0016
KRTAP19-5 (meth.),0.0016
TMPRSS3 (meth.),0.0016
BEGAIN (meth.),0.0016
HCG9 (meth.),0.0016
MEDAG (meth.),0.0016
SOSTDC1 (meth.),0.0016
HLF (meth.),0.0016
WDR72 (meth.),0.0016
SRPX2 (meth.),0.0016
EFEMP1 (meth.),0.0016
IL1RL2 (meth.),0.0016
H1-1 (meth.),0.0016
SST (meth.),0.0016
KLK2 (meth.),0.0016
GFRA3 (meth.),0.0016
BEST3 (meth.),0.0016
TTN (meth.),0.0016
VEPH1 (meth.),0.0016
TRHR (meth.),0.0016
OR7C2 (meth.),0.0016
CCDC181 (meth.),0.0016
DKK4 (meth.),0.0016
H4C6 (meth.),0.0016
HOXD3 (meth.),0.0016
KDR (meth.),0.0016
GPR143 (meth.),0.0016
NEFM (meth.),0.0016
TMEM140 (meth.),0.0016
TMEFF2 (meth.),0.0016
MAGEH1 (meth.),0.0016
DACT3 (meth.),0.0016
KLK1 (meth.),0.0016
HBE1 (meth.),0.0016
APOBEC3C (meth.),0.0015
HTRA4 (meth.),0.0015
PCDHB5 (meth.),0.0015
SFN (meth.),0.0015
USP51 (meth.),0.0015
KCNA6 (meth.),0.0015
GDF3 (meth.),0.0015
SLITRK3 (meth.),0.0015
CLCA1 (meth.),0.0015
LTC4S (meth.),0.0015
SLC52A3 (meth.),0.0015
MYO3A (meth.),0.0015
MFAP5 (meth.),0.0015
CHI3L2 (meth.),0.0015
SLC6A13 (meth.),0.0015
TRIM58 (meth.),0.0015
ADHFE1 (meth.),0.0015
TCF15 (meth.),0.0015
EMD (meth.),0.0015
GCSAM (meth.),0.0015
TMED6 (meth.),0.0015
ARSL (meth.),0.0015
GLYAT (meth.),0.0015
RBM47 (meth.),0.0015
ZIC1 (meth.),0.0015
CBLC (meth.),0.0015
CFAP44 (meth.),0.0015
A2ML1 (meth.),0.0015
DDO (meth.),0.0015
EMILIN3 (meth.),0.0015
GUCY2C (meth.),0.0015
NRSN1 (meth.),0.0015
COL15A1 (meth.),0.0015
DPP6 (meth.),0.0015
GYS2 (meth.),0.0015
PTK6 (meth.),0.0015
SLITRK1 (meth.),0.0015
ABTB1 (meth.),0.0015
ZNF606 (meth.),0.0015
PAX7 (meth.),0.0015
ZNF154 (meth.),0.0015
GZMA (meth.),0.0015
KRT5 (meth.),0.0015
SLC38A4 (meth.),0.0015
PRSS21 (meth.),0.0015
LYPD5 (meth.),0.0015
KSR1 (meth.),0.0015
CCT2 (mut.),0.0015
SPRR2A (meth.),0.0015
POU4F2 (meth.),0.0015
MAP2 (meth.),0.0015
SRXN1 (meth.),0.0015
PLEKHS1 (meth.),0.0015
LGALS12 (meth.),0.0014
SELENBP1 (meth.),0.0014
ACVR1 (meth.),0.0014
MADD (meth.),0.0014
RNLS (meth.),0.0014
EPS8L3 (meth.),0.0014
LGALS2 (meth.),0.0014
REG3A (meth.),0.0014
LANCL2,0.0014
FIBIN (meth.),0.0014
ADAMTSL1 (meth.),0.0014
EPPIN (meth.),0.0014
IRF8 (meth.),0.0014
VWC2 (meth.),0.0014
PTHLH (meth.),0.0014
ZDHHC15 (meth.),0.0014
NIBAN3 (meth.),0.0014
GPR101 (meth.),0.0014
RGN (meth.),0.0014
STEAP4 (meth.),0.0014
UMOD (meth.),0.0014
CLEC12B (meth.),0.0014
GALR1 (meth.),0.0014
SIRPD (meth.),0.0014
SLC8A2 (meth.),0.0014
SARM1 (meth.),0.0014
DRD4 (meth.),0.0014
RAC2 (meth.),0.0014
CRIP3 (meth.),0.0014
TMEM106A (meth.),0.0014
POMC (meth.),0.0014
CRACR2A (meth.),0.0014
HNF1B (meth.),0.0014
HNF1A (meth.),0.0014
NAV3 (meth.),0.0014
HOXD9 (meth.),0.0014
ZNF254 (meth.),0.0014
MAMDC2 (meth.),0.0014
SLC16A3 (meth.),0.0014
TNFSF4 (meth.),0.0014
CD33 (meth.),0.0014
BTNL2 (meth.),0.0014
PLAC8 (meth.),0.0014
NOX4 (meth.),0.0014
LYPD3 (meth.),0.0014
CDK14 (meth.),0.0014
HOXB1 (meth.),0.0014
CAVIN2 (meth.),0.0014
TAFA4 (meth.),0.0014
LYZL2 (meth.),0.0014
CD38 (meth.),0.0014
SULT1C4 (meth.),0.0014
CEACAM7 (meth.),0.0014
C11orf52 (meth.),0.0014
CYP27A1 (meth.),0.0014
HOXA5 (meth.),0.0014
VIPR2 (meth.),0.0014
ANK2 (meth.),0.0014
ANKRD45 (meth.),0.0014
GFRA1 (meth.),0.0014
CA3 (meth.),0.0014
FERD3L (meth.),0.0013
CD200 (meth.),0.0013
SPRR3 (meth.),0.0013
CCDC69 (meth.),0.0013
NKX6-2 (meth.),0.0013
DACH2 (meth.),0.0013
LINC00305 (meth.),0.0013
CASP8 (meth.),0.0013
MED12 (meth.),0.0013
MUCL1 (meth.),0.0013
MBL2 (meth.),0.0013
SERPINA7 (meth.),0.0013
SLC15A2 (meth.),0.0013
MORF4 (meth.),0.0013
RIMBP2 (meth.),0.0013
PRELP (meth.),0.0013
ARMCX2 (meth.),0.0013
MIA (meth.),0.0013
PDPN (meth.),0.0013
SPACA7 (meth.),0.0013
GAS2 (meth.),0.0013
C2CD6 (meth.),0.0013
RBMS3 (meth.),0.0013
TCN1 (meth.),0.0013
COL19A1 (meth.),0.0013
SIRPG (meth.),0.0013
PTGDR (meth.),0.0013
SLC16A12 (meth.),0.0013
ACAN (meth.),0.0013
TPSD1 (meth.),0.0013
CHST8 (meth.),0.0013
CLIC6 (meth.),0.0013
ZDHHC11 (meth.),0.0013
RHOH (meth.),0.0013
PCDHB6 (meth.),0.0013
HHIPL1 (meth.),0.0013
SPATA16 (meth.),0.0013
TSGA13 (meth.),0.0013
CCRL2 (meth.),0.0013
USH2A (meth.),0.0013
ADAMTSL3 (meth.),0.0013
PIK3C2B (mut.),0.0013
ZNF454 (meth.),0.0013
PRICKLE2 (meth.),0.0013
ZAR1 (meth.),0.0013
MGST1 (meth.),0.0013
PGLYRP1 (meth.),0.0013
SPRR4 (meth.),0.0013
PCDHB14 (meth.),0.0013
MAGED1 (meth.),0.0013
LMO3 (meth.),0.0013
GFI1 (meth.),0.0013
GCNT3 (meth.),0.0013
MACROH2A1 (meth.),0.0013
CYP3A5 (meth.),0.0013
CBY2 (meth.),0.0013
CA9 (meth.),0.0013
SLC38A10 (meth.),0.0013
SPARCL1 (meth.),0.0013
CLCNKB (meth.),0.0013
CCDC136 (mut.),0.0013
DEFB126 (meth.),0.0013
HS3ST2 (meth.),0.0013
OR12D3 (meth.),0.0012
ZNF667 (meth.),0.0012
CLEC12A (meth.),0.0012
VILL (meth.),0.0012
SORBS2 (meth.),0.0012
SLC30A8 (meth.),0.0012
SGK2 (meth.),0.0012
LY75 (meth.),0.0012
NPY (meth.),0.0012
HYDIN (meth.),0.0012
PLP2 (meth.),0.0012
ANKRD53 (meth.),0.0012
NEBL (meth.),0.0012
SLC6A11 (meth.),0.0012
PXDN (meth.),0.0012
CCDC178 (meth.),0.0012
IL37 (meth.),0.0012
CLIP4 (meth.),0.0012
AKR1B10 (meth.),0.0012
PLA2G12B (meth.),0.0012
CD1C (meth.),0.0012
LYN (meth.),0.0012
SLC24A5 (meth.),0.0012
TINAGL1 (meth.),0.0012
COG2 (meth.),0.0012
ADGRG1 (meth.),0.0012
FOXI1 (meth.),0.0012
ADORA3 (meth.),0.0012
ADCY4 (meth.),0.0012
DPYS (meth.),0.0012
SLITRK5 (meth.),0.0012
