Gene Name,Score
PTGS1,0.9054
SPON1,0.8542
MUC16,0.7235
BCAM,0.5574
THSD4,0.5360
ISYNA1,0.5089
PCBP2,0.4995
BCAT1,0.4894
FOLR1,0.4744
SAXO4 (meth.),0.4683
KALRN (meth.),0.4471
BHLHE41,0.4358
PLXNB1 (meth.),0.4154
CD47,0.4026
RDH5 (meth.),0.3782
CYP4B1 (meth.),0.3550
SCNN1A (meth.),0.3475
CLDN16 (meth.),0.3475
LTF (meth.),0.3440
C1QTNF7 (meth.),0.3398
TCEA2 (meth.),0.3398
FBXO17 (meth.),0.3372
CHI3L1 (meth.),0.3354
ATP6V1B1,0.3342
MSLN,0.3312
LAMA5,0.3273
POU2AF1 (meth.),0.3260
CCDC89 (meth.),0.3191
LAMB3 (meth.),0.3128
BBOX1 (meth.),0.3075
LAPTM4B,0.3000
GSG1L (meth.),0.2992
CRYBB3 (meth.),0.2968
PDLIM4 (meth.),0.2959
NINJ2 (meth.),0.2943
PRDX6,0.2936
PPA1,0.2848
EIF4A2,0.2835
HAMP (meth.),0.2785
TMPRSS3 (meth.),0.2782
CRABP1,0.2782
DDR2 (meth.),0.2730
RAB34 (meth.),0.2682
CD200R1 (meth.),0.2667
NDUFB9,0.2649
ATN1,0.2642
APH1A,0.2614
STRA6 (meth.),0.2610
MID1 (meth.),0.2538
LY6E,0.2537
GCNT3 (meth.),0.2528
MSLN (meth.),0.2527
SOST (meth.),0.2524
PODXL,0.2521
THY1 (meth.),0.2514
WT1 (meth.),0.2512
CYP4F3 (meth.),0.2506
KSR1 (meth.),0.2500
MEST,0.2492
FAM83A (meth.),0.2488
KRT5 (meth.),0.2474
VSTM1 (meth.),0.2466
UPK1B (meth.),0.2451
CFB (meth.),0.2434
MGST1 (meth.),0.2426
SYDE1 (meth.),0.2418
HKDC1 (meth.),0.2407
RYR2 (meth.),0.2403
DES (meth.),0.2403
LINC02880 (meth.),0.2397
SNX20 (meth.),0.2396
PTGES (meth.),0.2389
TNS3 (meth.),0.2380
UBA1,0.2368
DIO3 (meth.),0.2357
SRRM3 (meth.),0.2347
WFIKKN2 (meth.),0.2338
ATP4B (meth.),0.2334
HNF1B (meth.),0.2330
RBP1,0.2328
CDH5 (meth.),0.2314
ZNF541 (meth.),0.2306
TMEM139 (meth.),0.2278
MT4 (meth.),0.2265
MFAP5 (meth.),0.2263
MAMDC2 (meth.),0.2262
PDE6B (meth.),0.2261
ITGB2 (meth.),0.2259
GNE (meth.),0.2256
SOX17 (meth.),0.2255
IL18BP (meth.),0.2241
PAX8,0.2241
SPOCK2,0.2240
OSCAR (meth.),0.2231
CCDC60 (meth.),0.2218
PLEKHB1 (meth.),0.2210
TPM4,0.2207
LYN (meth.),0.2172
CRABP2,0.2170
PABPC4,0.2149
MYRF,0.2139
SERPING1 (meth.),0.2139
HJV (meth.),0.2134
RXFP4 (meth.),0.2111
FAM107A (meth.),0.2107
LCN12 (meth.),0.2106
CYC1,0.2093
MAPK15 (meth.),0.2083
SLC6A13 (meth.),0.2078
SLC15A3 (meth.),0.2074
PHACTR2 (meth.),0.2070
LINC00336 (meth.),0.2062
CCL11 (meth.),0.2060
OTOS (meth.),0.2054
UCN3 (meth.),0.2051
RABGEF1 (meth.),0.2044
S100A13,0.2044
UQCRFS1,0.2033
TEKT3 (meth.),0.2033
PMEPA1 (meth.),0.2024
SNTB1 (meth.),0.2019
CLEC10A (meth.),0.2012
SCNN1A,0.2008
TRPV3 (meth.),0.2007
ORAI2 (meth.),0.2002
TMEM71 (meth.),0.1976
MYLK (meth.),0.1971
ATP2B4,0.1965
ADRA2C (meth.),0.1957
PUF60,0.1956
MDK,0.1949
SLC13A1 (meth.),0.1933
ILF2,0.1931
RSPH9 (meth.),0.1928
PEAK3 (meth.),0.1924
EEF1A1,0.1922
RPL5,0.1919
ABI3 (meth.),0.1919
ARHGEF15 (meth.),0.1913
SLC44A2,0.1909
TRPM2 (meth.),0.1906
ZG16B (meth.),0.1903
AQP5 (meth.),0.1899
MYADM (meth.),0.1896
GPR152 (meth.),0.1892
SEC31B (meth.),0.1892
MYF6 (meth.),0.1879
KLHDC7A (meth.),0.1879
CYTIP (meth.),0.1865
SUN2,0.1864
SULT1C2 (meth.),0.1863
MYH4 (meth.),0.1858
SPNS3 (meth.),0.1854
SFT2D3 (meth.),0.1854
CFAP44 (meth.),0.1852
ASS1,0.1852
CCR6 (meth.),0.1849
USH2A (meth.),0.1846
KRT75 (meth.),0.1846
CPXM2 (meth.),0.1844
C1QTNF9 (meth.),0.1842
PHB2,0.1833
PLEKHA4 (meth.),0.1823
CFAP100 (meth.),0.1810
MAPRE3 (meth.),0.1806
NOTCH4 (meth.),0.1806
MAP2 (meth.),0.1805
FAM180A (meth.),0.1804
SULT1C4 (meth.),0.1797
DRC1 (meth.),0.1793
NONO,0.1792
LTC4S (meth.),0.1791
ELAVL4 (meth.),0.1789
PCDHB14 (meth.),0.1786
DENND2D (meth.),0.1783
RD3 (meth.),0.1775
RPL39L (meth.),0.1775
IFIT1,0.1774
CHI3L2 (meth.),0.1771
NCALD (meth.),0.1767
GRIP1 (meth.),0.1764
NRIP2 (meth.),0.1764
GLYAT (meth.),0.1760
INTS1 (meth.),0.1757
PSAT1,0.1757
DEFB1 (meth.),0.1756
GIPC2 (meth.),0.1749
EDN2 (meth.),0.1746
SORCS1 (meth.),0.1736
VHL (meth.),0.1733
IL1RL2 (meth.),0.1733
ZNF454 (meth.),0.1729
HDGF,0.1728
FBXL22 (meth.),0.1727
BST2 (meth.),0.1726
S100A2 (meth.),0.1725
HYDIN (meth.),0.1722
CSPG5 (meth.),0.1720
IMP4 (meth.),0.1716
HLA-DRA (meth.),0.1709
EIF3E,0.1708
PRSS21 (meth.),0.1705
RFLNA (meth.),0.1703
ID4,0.1700
NLRP10 (meth.),0.1700
VTCN1 (meth.),0.1699
BST2,0.1691
MARCO (meth.),0.1687
KLK3 (meth.),0.1687
CXCR2 (meth.),0.1681
LGI1 (meth.),0.1679
MS4A1 (meth.),0.1679
OR7C2 (meth.),0.1678
NPY4R (meth.),0.1676
ARHGEF4 (meth.),0.1672
HCAR1 (meth.),0.1667
ARMC3 (meth.),0.1665
HBG1 (meth.),0.1664
ISG20 (meth.),0.1660
AOC1 (meth.),0.1656
YBX1,0.1655
ASGR2 (meth.),0.1649
RGS4 (meth.),0.1647
CCDC116 (meth.),0.1647
H3C12 (meth.),0.1642
CD33 (meth.),0.1639
NPM1,0.1634
BTBD2 (meth.),0.1633
EVX1 (meth.),0.1633
MFAP4 (meth.),0.1628
COG2 (meth.),0.1624
MYO16 (meth.),0.1623
CARD10 (meth.),0.1623
RPS3A,0.1619
TM4SF4 (meth.),0.1612
ZNF572 (meth.),0.1605
SLC22A16 (meth.),0.1601
FAM110D (meth.),0.1599
SNHG32,0.1599
LCE2B (meth.),0.1594
UBB,0.1594
REN (meth.),0.1587
FRK (meth.),0.1587
LACRT (meth.),0.1587
KIR3DX1 (meth.),0.1584
CCDC198 (meth.),0.1581
KCNAB2 (meth.),0.1580
GIMAP5 (meth.),0.1574
BEX3,0.1570
SELP (meth.),0.1566
ADAMTS1,0.1566
TUB (meth.),0.1565
ACVRL1 (meth.),0.1565
SEPTIN9 (meth.),0.1565
RPS27A,0.1562
SRGN (meth.),0.1562
P2RX1 (meth.),0.1561
HOXA2 (meth.),0.1557
SLC22A12 (meth.),0.1555
MSC (meth.),0.1553
SELENBP1 (meth.),0.1551
STC2 (meth.),0.1543
SLC13A5 (meth.),0.1539
PNMA8A (meth.),0.1538
CAMK1G (meth.),0.1535
GJB6 (meth.),0.1532
MYO3A (meth.),0.1530
NTNG2 (meth.),0.1529
TNFRSF17 (meth.),0.1525
PGLYRP1 (meth.),0.1525
RPL18A,0.1519
SPATA16 (meth.),0.1519
LINC02870 (meth.),0.1518
LRIT1 (meth.),0.1516
SELPLG (meth.),0.1514
GSDMC (meth.),0.1514
ASRGL1,0.1514
ICAM4 (meth.),0.1513
IL25 (meth.),0.1513
CCNA1 (meth.),0.1510
PLAT (meth.),0.1510
SPMIP8 (meth.),0.1509
UAP1L1 (meth.),0.1506
SVOPL (meth.),0.1505
PI15 (meth.),0.1503
CBFA2T3 (meth.),0.1502
ADIPOQ (meth.),0.1500
COX5B,0.1496
POU3F1 (meth.),0.1493
P2RY10 (meth.),0.1490
CNTN6 (meth.),0.1487
HTR3A (meth.),0.1480
BATF (meth.),0.1479
FABP3 (meth.),0.1479
SPRR3 (meth.),0.1476
SLAIN1 (meth.),0.1473
CD53 (meth.),0.1472
YWHAE,0.1470
SH3TC1 (meth.),0.1469
KCTD1 (meth.),0.1469
C1orf210 (meth.),0.1468
DNAJB13 (meth.),0.1468
MACROH2A1 (meth.),0.1467
KRT7 (meth.),0.1464
KCNC3 (meth.),0.1460
ZNF185 (meth.),0.1458
TLX3 (meth.),0.1455
SLC24A2 (meth.),0.1455
MPO (meth.),0.1453
GAS5,0.1450
BCAS1 (meth.),0.1449
TPSAB1 (meth.),0.1449
BCAN (meth.),0.1448
CDH26 (meth.),0.1447
IGFBP2,0.1446
CMTM5 (meth.),0.1444
SPRR4 (meth.),0.1443
DLG2 (meth.),0.1443
C3 (meth.),0.1442
ITGBL1 (meth.),0.1440
PON3 (meth.),0.1438
HTR3D (meth.),0.1436
EIF2S3,0.1436
DMBT1 (meth.),0.1435
HBE1 (meth.),0.1434
LCE1A (meth.),0.1434
TBL1XR1,0.1433
ACRBP (meth.),0.1433
YWHAQ,0.1432
FGFBP1 (meth.),0.1431
TFR2 (meth.),0.1430
ARPC5,0.1428
SPOCD1 (meth.),0.1427
PPP1CB,0.1425
TCF21 (meth.),0.1424
FAM107B (meth.),0.1423
CLEC1A (meth.),0.1421
SLC8A2 (meth.),0.1420
S100A9 (meth.),0.1420
MGAM (meth.),0.1419
RPL35A,0.1414
ALDOC (meth.),0.1412
FAM20B (meth.),0.1411
SLC52A3 (meth.),0.1410
BEST3 (meth.),0.1409
SPARC (meth.),0.1408
TBX20 (meth.),0.1407
TMEM101 (meth.),0.1406
RPL41,0.1406
FOXJ1 (meth.),0.1405
HOXA9 (meth.),0.1404
TCF15 (meth.),0.1404
HIGD1B (meth.),0.1403
PF4V1 (meth.),0.1401
ZNF662 (meth.),0.1400
KRT72 (meth.),0.1399
S100A8 (meth.),0.1397
PRDX2,0.1395
FBLN2 (meth.),0.1395
DEFB126 (meth.),0.1394
MS4A6A (meth.),0.1392
APBA3 (meth.),0.1389
SLC35G2 (meth.),0.1389
CELSR2,0.1387
RBM24 (meth.),0.1387
TIMP3,0.1386
ARTN (meth.),0.1386
SOD3 (meth.),0.1386
MAGEB6 (meth.),0.1383
ALDH1A2 (meth.),0.1383
CNGB3 (meth.),0.1382
SNHG29,0.1382
FGFBP2 (meth.),0.1382
SLC6A12 (meth.),0.1381
RIMBP2 (meth.),0.1381
TPSB2 (meth.),0.1381
DRD4 (meth.),0.1380
ATP5F1B,0.1378
PRX (meth.),0.1377
CRIP2,0.1376
KRT8 (meth.),0.1376
HNRNPC,0.1376
TOMM20,0.1376
ADA (meth.),0.1374
DST,0.1373
RERE,0.1373
ST6GAL2 (meth.),0.1373
TSPYL5 (meth.),0.1371
FXYD3 (meth.),0.1370
OR5I1 (meth.),0.1366
PNMA3 (meth.),0.1366
ADORA3 (meth.),0.1364
KRTCAP3 (meth.),0.1364
PCDHB15 (meth.),0.1364
ACY3 (meth.),0.1363
LINC00305 (meth.),0.1362
CHRDL2 (meth.),0.1362
EPAS1,0.1361
H2BC6 (meth.),0.1360
TMEM52B (meth.),0.1359
RAN,0.1358
FCN2 (meth.),0.1356
C3orf22 (meth.),0.1355
CD72 (meth.),0.1353
LGALS2 (meth.),0.1353
FPR3 (meth.),0.1349
TNS3,0.1346
ST6GALNAC1 (meth.),0.1344
CCND2,0.1343
ZNF438 (meth.),0.1339
APOA2 (meth.),0.1338
ABTB1 (meth.),0.1337
NR2E3 (meth.),0.1330
MUCL1 (meth.),0.1330
SMPX (meth.),0.1328
SLC38A10 (meth.),0.1327
SLC30A8 (meth.),0.1327
NREP,0.1327
LIMA1,0.1325
SFTPB (meth.),0.1325
TCF19 (meth.),0.1324
BNIPL (meth.),0.1324
RNASE1 (meth.),0.1324
SLC26A5 (meth.),0.1323
PPP2R2B (meth.),0.1322
BTN3A3 (meth.),0.1322
CA9 (meth.),0.1321
WT1-AS (meth.),0.1320
SRXN1 (meth.),0.1319
VWA5B1 (meth.),0.1319
C1orf115 (meth.),0.1319
RBM46 (meth.),0.1319
CD81,0.1319
KCNQ4 (meth.),0.1317
PRDM14 (meth.),0.1317
SCN9A (meth.),0.1317
FOXI2 (meth.),0.1317
JAG2 (meth.),0.1314
EGR4 (meth.),0.1314
H4C6 (meth.),0.1313
ALX1 (meth.),0.1312
TAS2R16 (meth.),0.1312
SLC17A8 (meth.),0.1311
CCDC81 (meth.),0.1310
ECH1,0.1309
EIF3H,0.1309
HAPLN1 (meth.),0.1307
MTSS1 (meth.),0.1307
CLCNKB (meth.),0.1305
SCUBE2 (meth.),0.1304
MAT1A (meth.),0.1301
PGLYRP3 (meth.),0.1300
GALNT5 (meth.),0.1298
GRIK5 (meth.),0.1298
RPS7,0.1298
C9 (meth.),0.1297
FOXI1 (meth.),0.1296
SERBP1,0.1296
CDX4 (meth.),0.1295
CPXM1,0.1292
SPRR1B (meth.),0.1292
RPL15,0.1291
MEST (meth.),0.1290
MYL6,0.1290
SPMIP5 (meth.),0.1290
SPAG4 (meth.),0.1287
HEPACAM (meth.),0.1285
OPN4 (meth.),0.1283
IRF2BP2,0.1283
PRPF8,0.1282
PWAR5 (meth.),0.1282
IFITM1 (meth.),0.1282
AMPD1 (meth.),0.1280
PPT1,0.1280
FRMD4A (meth.),0.1278
SULT1A2 (meth.),0.1278
SULF1 (meth.),0.1277
VSIG4 (meth.),0.1277
FCER1A (meth.),0.1274
FHL2 (meth.),0.1274
RPS25,0.1273
ETS1,0.1272
ZNF536 (meth.),0.1272
MLC1 (meth.),0.1271
IZUMO1 (meth.),0.1270
TGFB3 (meth.),0.1269
CCDC65 (meth.),0.1269
NR2E1 (meth.),0.1269
TTLL3 (meth.),0.1268
