Gene Name,Score
SPON1,0.2971
PTGS1,0.2535
BCAM,0.1993
KALRN (meth.),0.1678
MUC16,0.1619
CD47,0.1403
FOLR1,0.1350
TCEA2 (meth.),0.1291
GSG1L (meth.),0.1277
CLDN16 (meth.),0.1275
CRYBB3 (meth.),0.1203
CCDC89 (meth.),0.1196
UPK1B (meth.),0.1119
THSD4,0.1111
PLXNB1 (meth.),0.1089
LTF (meth.),0.0982
LINC02880 (meth.),0.0968
CYP4B1 (meth.),0.0967
BHLHE41,0.0927
FAM107A (meth.),0.0927
ISYNA1,0.0894
SAXO4 (meth.),0.0886
BCAT1,0.0886
ATP6V1B1,0.0884
MFAP5 (meth.),0.0876
RDH5 (meth.),0.0856
FBXO17 (meth.),0.0839
C1QTNF7 (meth.),0.0830
DDR2 (meth.),0.0816
CDH5 (meth.),0.0811
TMPRSS3 (meth.),0.0808
PUF60,0.0802
DES (meth.),0.0800
SOX17 (meth.),0.0800
MSLN (meth.),0.0798
PNMA3 (meth.),0.0769
LAMA5,0.0754
MSLN,0.0751
CHI3L1 (meth.),0.0745
TMEM139 (meth.),0.0733
LAPTM4B,0.0730
POU2AF1 (meth.),0.0709
VSTM1 (meth.),0.0706
CD200R1 (meth.),0.0702
ITGB2 (meth.),0.0699
APH1A,0.0694
DIO3 (meth.),0.0691
ADRA2C (meth.),0.0690
MT4 (meth.),0.0687
SNX20 (meth.),0.0684
UQCRFS1,0.0676
GSTM5 (meth.),0.0671
LAMB3 (meth.),0.0668
ZNF541 (meth.),0.0653
PODXL,0.0650
PDE6B (meth.),0.0631
HAMP (meth.),0.0631
NOTCH4 (meth.),0.0625
SCNN1A,0.0623
PON3 (meth.),0.0623
MS4A1 (meth.),0.0618
HNF1B (meth.),0.0616
CARD10 (meth.),0.0615
NINJ2 (meth.),0.0611
WFDC2,0.0610
KRTAP19-5 (meth.),0.0609
MYLK (meth.),0.0608
CYP4F3 (meth.),0.0604
HKDC1 (meth.),0.0601
CXCR2 (meth.),0.0598
CRABP2,0.0597
SSUH2 (meth.),0.0597
PLEKHB1 (meth.),0.0597
TNFRSF17 (meth.),0.0597
PAX8,0.0595
PRSS21 (meth.),0.0589
KRT5 (meth.),0.0589
KRTAP20-1 (meth.),0.0587
PPA1,0.0583
KCTD1 (meth.),0.0580
UCP2,0.0577
SRRM3 (meth.),0.0576
WT1 (meth.),0.0572
CRABP1,0.0569
AMPD1 (meth.),0.0568
