Gene Name,Score
BCAT1,0.0167
MIR1207 (mut.),0.0083
SPON1,0.0065
AGR2 (meth.),0.0051
CRABP1,0.0047
BANK1 (meth.),0.0044
PYDC2 (meth.),0.0039
SLITRK4 (meth.),0.0039
FERD3L (meth.),0.0039
LCE3D (meth.),0.0038
EPHA5 (meth.),0.0038
HOXB1 (meth.),0.0038
GCNT2 (meth.),0.0038
SELENBP1 (meth.),0.0037
AIM2 (meth.),0.0037
RASGRP3 (meth.),0.0036
TRHR (meth.),0.0036
HCAR1 (meth.),0.0036
SPARCL1 (meth.),0.0035
CXCR2 (meth.),0.0035
SLC22A9 (meth.),0.0035
ADH6 (meth.),0.0035
HAAO (meth.),0.0035
MGST1 (meth.),0.0035
AHSP (meth.),0.0034
MS4A8 (meth.),0.0034
ST6GALNAC5 (meth.),0.0033
SPACA7 (meth.),0.0033
CAVIN2 (meth.),0.0033
CHRM5 (meth.),0.0033
PTPN22 (meth.),0.0032
ACVR1 (meth.),0.0032
STEAP4 (meth.),0.0032
SULT2B1 (meth.),0.0032
CA9 (meth.),0.0032
TMED6 (meth.),0.0032
ZNF154 (meth.),0.0031
SLC16A5 (meth.),0.0031
KSR1 (meth.),0.0031
HOXA5 (meth.),0.0031
FSHR (meth.),0.0031
NEBL (meth.),0.0031
DMBT1 (meth.),0.0031
IFITM1 (meth.),0.0031
TGFB3 (meth.),0.0030
TRIM2 (meth.),0.0030
SEMG2 (meth.),0.0030
FAM83A (meth.),0.0030
TNFSF4 (meth.),0.0029
ZNF536 (meth.),0.0029
BCAM,0.0029
CRACR2A (meth.),0.0029
GLIPR1L1 (meth.),0.0029
KLK1 (meth.),0.0029
MAT1A (meth.),0.0029
GIMAP4 (meth.),0.0029
TBX5 (meth.),0.0029
GNG4 (meth.),0.0029
PRG3 (meth.),0.0029
FAXDC2 (meth.),0.0029
DISP1 (meth.),0.0029
C8A (meth.),0.0028
PXDN (meth.),0.0028
CNTNAP2 (meth.),0.0028
MAGEC3 (meth.),0.0028
TRPM8 (meth.),0.0028
SSTR4 (meth.),0.0028
TTN (meth.),0.0028
PTHLH (meth.),0.0028
CASP8 (meth.),0.0028
ASF1B (mut.),0.0028
TPO (meth.),0.0028
ZSCAN12 (meth.),0.0028
GABRB1 (meth.),0.0028
F7 (meth.),0.0028
COL5A2 (meth.),0.0027
FLI1 (meth.),0.0027
GSDMC (meth.),0.0027
ZNF436 (meth.),0.0027
HKDC1 (meth.),0.0027
WWC3 (meth.),0.0027
ASIC4 (meth.),0.0027
ST6GALNAC1 (meth.),0.0027
FCAR (meth.),0.0027
ZNF667 (meth.),0.0027
CBLN4 (meth.),0.0027
CAPSL (meth.),0.0027
VSTM1 (meth.),0.0027
GCSAML (meth.),0.0027
HCG9 (meth.),0.0027
H4C6 (meth.),0.0027
RUNX1 (meth.),0.0027
CD200R1 (meth.),0.0027
NELL1 (meth.),0.0027
TLX3 (meth.),0.0027
TBXT (meth.),0.0026
FURIN (meth.),0.0026
ELN (meth.),0.0026
SLC22A12 (meth.),0.0026
CLRN3 (meth.),0.0026
EPB41L1 (meth.),0.0026
GPX5 (meth.),0.0026
KLF8 (meth.),0.0026
UTF1 (meth.),0.0026
FRZB (meth.),0.0026
PLAC1 (meth.),0.0026
CNGB3 (meth.),0.0026
LMO3 (meth.),0.0026
A4GNT (meth.),0.0026
RNASE6 (meth.),0.0026
FTHL17 (meth.),0.0026
SLC23A2 (meth.),0.0026
HOXA9 (meth.),0.0026
ARSL (meth.),0.0026
VILL (meth.),0.0026
VXN (meth.),0.0026
C15orf48 (meth.),0.0025
STRA6 (meth.),0.0025
NKX6-2 (meth.),0.0025
MAGEE2 (meth.),0.0025
MCF2 (meth.),0.0025
UMOD (meth.),0.0025
PCYT1B (meth.),0.0025
DPP6 (meth.),0.0025
ZNF577 (meth.),0.0025
CA3 (meth.),0.0025
DNAH5 (meth.),0.0025
GRIK2 (meth.),0.0025
WDR72 (meth.),0.0025
MYO3A (meth.),0.0025
CCR6 (meth.),0.0025
DQX1 (meth.),0.0025
ITGBL1 (meth.),0.0025
CRMP1 (meth.),0.0025
PHACTR2 (meth.),0.0025
SLC26A5 (meth.),0.0025
ZAR1 (meth.),0.0025
GJB6 (meth.),0.0025
PPP1R36 (meth.),0.0025
IRAG2 (meth.),0.0025
SGK2 (meth.),0.0025
PRKAR1B (meth.),0.0024
FCN2 (meth.),0.0024
FXYD3 (meth.),0.0024
TMEM139 (meth.),0.0024
H3C3 (meth.),0.0024
REPS2 (meth.),0.0024
CD53 (meth.),0.0024
CD1C (meth.),0.0024
DAPP1 (meth.),0.0024
CDH26 (meth.),0.0024
TNFRSF17 (meth.),0.0024
KCNAB2 (meth.),0.0024
C11orf52 (meth.),0.0024
CRIP3 (meth.),0.0024
LIN7A (meth.),0.0024
MST1R (meth.),0.0024
SCG5 (meth.),0.0024
ZFP42 (meth.),0.0024
IL7R (meth.),0.0024
ADGRG7 (meth.),0.0024
HTR2C (meth.),0.0024
F2RL1 (meth.),0.0024
NETO1 (meth.),0.0024
TASL (meth.),0.0023
