Gene Name,Score
NKX3-1,0.6106
STEAP2,0.4669
FOLH1,0.4456
TARP,0.4413
PPP3CA,0.4375
SLC45A3,0.4174
ACP3,0.4057
PDLIM5,0.3814
RDH11,0.3424
AMD1,0.3073
ABCC4,0.2883
TRPM4,0.2819
SPDEF,0.2800
CAMKK2,0.2579
DHRS7,0.2539
HAPLN3 (meth.),0.2112
ERGIC1,0.2105
KIF5C,0.2087
SLC44A4,0.2074
SLC4A4,0.1983
ZBTB7B (meth.),0.1936
PLPP1,0.1917
SORD,0.1890
SPOCK1,0.1831
NPDC1,0.1816
NEFH,0.1807
C19orf48P,0.1778
GOLM1,0.1776
ENO3 (meth.),0.1749
GLO1,0.1711
SPON2,0.1703
PMEPA1,0.1682
RERE,0.1681
CANT1,0.1670
BEST3 (meth.),0.1625
NFIX,0.1622
RBMS3 (meth.),0.1619
NCAPD3,0.1545
SYT7,0.1510
UBXN10 (meth.),0.1479
ATP2C1,0.1478
WFDC2 (meth.),0.1458
CYBA (meth.),0.1453
PAH (meth.),0.1443
C1orf116,0.1418
MCCC2,0.1398
IER3 (meth.),0.1373
ACKR3 (meth.),0.1338
NUMA1,0.1328
GALNT7,0.1273
SLC29A1 (meth.),0.1269
RHCG (meth.),0.1204
NEDD4L,0.1194
TNFRSF17 (meth.),0.1177
TSPAN1,0.1170
HID1,0.1152
IDH1,0.1124
PICALM (meth.),0.1080
MARCHF10 (meth.),0.1060
LGALS3 (meth.),0.1053
GSX2 (meth.),0.1043
SCARB2,0.1036
ANKH,0.1031
HSD17B4,0.1026
ANXA6 (meth.),0.1006
HFE (meth.),0.0991
TM9SF3,0.0989
SNRPN,0.0959
CREB3L1,0.0939
AOX1 (meth.),0.0937
HAPLN2 (meth.),0.0927
ALDH1A3,0.0925
SCRG1 (meth.),0.0906
TMEM106A (meth.),0.0905
ATP6V0E2,0.0904
CD74 (meth.),0.0900
NCAPD2 (meth.),0.0887
CMPK1,0.0870
H4C4 (meth.),0.0866
ACE (meth.),0.0863
TBX3,0.0854
SLC2A3 (meth.),0.0852
CUL1 (meth.),0.0850
SPDEF (meth.),0.0848
CKB,0.0842
SERP1,0.0839
GLIPR1L1 (meth.),0.0833
FURIN (meth.),0.0821
LRIG1,0.0819
PTPRN2,0.0814
PIPOX (meth.),0.0811
TAMALIN (meth.),0.0810
COL11A2 (meth.),0.0804
SMS,0.0802
TRPM8 (meth.),0.0791
ACSL3,0.0790
H2AJ,0.0788
MAOB (meth.),0.0776
CXCL1 (meth.),0.0770
RGL3 (meth.),0.0766
CCRL2 (meth.),0.0765
SRPX2 (meth.),0.0760
EPSTI1 (meth.),0.0756
NOX1 (meth.),0.0746
MAZ,0.0742
PPP1R36 (meth.),0.0741
HERPUD1,0.0740
CD14 (meth.),0.0738
ASB4 (meth.),0.0734
SEC16A,0.0719
DEFB1 (meth.),0.0715
SORBS2 (meth.),0.0713
PLA2G4E (meth.),0.0707
GNB2,0.0706
CREB3L3 (meth.),0.0705
FASN,0.0697
GRIP1 (meth.),0.0695
TPD52,0.0694
RAMP1,0.0690
DNAH5 (meth.),0.0687
DGAT2L6 (meth.),0.0685
CDH22 (meth.),0.0681
CXCL14 (meth.),0.0675
GPX5 (meth.),0.0671
CAVIN3 (meth.),0.0666
CPE,0.0663
ACSS3 (meth.),0.0657
MYH11,0.0656
IL7R (meth.),0.0654
S100A2 (meth.),0.0654
PRECSIT (meth.),0.0650
GCNT2 (meth.),0.0641
TMPRSS11F (meth.),0.0639
INPP5B (meth.),0.0636
CYP4F3 (meth.),0.0633
ACY3 (meth.),0.0631
SLC15A2 (meth.),0.0622
RHOH (meth.),0.0622
KLF8 (meth.),0.0617
DMRT2 (meth.),0.0617
AMACR,0.0616
CHRNB4 (meth.),0.0608
PPT2 (meth.),0.0607
ELAPOR1,0.0599
TMEM100 (meth.),0.0594
STEAP4,0.0593
CHRNB1 (meth.),0.0591
VWA1,0.0589
CD28 (meth.),0.0588
PNPLA2 (meth.),0.0585
TM7SF2,0.0584
MAT1A (meth.),0.0584
BASP1,0.0584
BST2 (meth.),0.0582
SLC18A1 (meth.),0.0572
CPQ (meth.),0.0570
TNFSF8 (meth.),0.0568
GCSAML (meth.),0.0566
PNOC (meth.),0.0564
COCH (meth.),0.0562
APOBEC3C (meth.),0.0560
GFI1 (meth.),0.0560
SMAGP (meth.),0.0558
DPP4,0.0556
SLC16A5 (meth.),0.0554
MAMDC2 (meth.),0.0554
ST6GALNAC1 (meth.),0.0550
SELENON,0.0547
GPR152 (meth.),0.0542
CCR6 (meth.),0.0540
CYP27A1 (meth.),0.0531
ABHD2,0.0529
FAM24B (meth.),0.0528
APOD (meth.),0.0528
BBOX1 (meth.),0.0527
KCNN4 (meth.),0.0527
COMP (meth.),0.0526
CCDC69 (meth.),0.0525
BTN3A3 (meth.),0.0523
PRKAR2B (meth.),0.0523
PCK1 (meth.),0.0523
MSN,0.0521
CNKSR2 (meth.),0.0521
STAT5A (meth.),0.0518
PDXDC1,0.0515
CRIP3 (meth.),0.0515
CYP4F2 (meth.),0.0512
MAOA,0.0512
PRELP (meth.),0.0504
CHD3,0.0503
LTBP4,0.0503
ARX (meth.),0.0498
KCNMB2 (meth.),0.0495
SLC34A2 (meth.),0.0493
KL (meth.),0.0489
PHACTR2 (meth.),0.0487
COL9A2,0.0486
IZUMO1 (meth.),0.0486
HTR3D (meth.),0.0484
HOXA9 (meth.),0.0483
IL1R1,0.0483
KLHDC7A (meth.),0.0481
IL18 (meth.),0.0481
ZNF667 (meth.),0.0477
RBP1 (meth.),0.0475
RD3 (meth.),0.0469
CD33 (meth.),0.0468
GPT2,0.0467
SLC15A3 (meth.),0.0467
GPC3 (meth.),0.0458
EVL (meth.),0.0452
PCP4 (meth.),0.0450
KRT7 (meth.),0.0449
