Gene Name,Score
NKX3-1,0.4359
PPP3CA,0.3298
STEAP2,0.3256
FOLH1,0.3104
TARP,0.3083
ACP3,0.2725
PDLIM5,0.2574
SLC45A3,0.2483
AMD1,0.2477
RDH11,0.2082
TRPM4,0.1979
SPDEF,0.1858
ABCC4,0.1795
DHRS7,0.1792
ERGIC1,0.1669
CAMKK2,0.1617
SLC44A4,0.1595
ZBTB7B (meth.),0.1590
PMEPA1,0.1501
NPDC1,0.1500
C19orf48P,0.1472
HAPLN3 (meth.),0.1459
SPOCK1,0.1397
RERE,0.1368
PLPP1,0.1365
SLC4A4,0.1347
GLO1,0.1338
KIF5C,0.1287
C1orf116,0.1282
SORD,0.1279
CANT1,0.1244
ENO3 (meth.),0.1208
SYT7,0.1193
UBXN10 (meth.),0.1192
BEST3 (meth.),0.1187
RBMS3 (meth.),0.1175
ATP2C1,0.1172
NEFH,0.1145
SPON2,0.1143
NFIX,0.1134
CYBA (meth.),0.1106
PAH (meth.),0.1084
GOLM1,0.1067
NUMA1,0.1029
ANXA6 (meth.),0.1024
SLC29A1 (meth.),0.1020
GALNT7,0.1019
IDH1,0.0972
WFDC2 (meth.),0.0963
MCCC2,0.0950
ACKR3 (meth.),0.0937
ANKH,0.0926
RHCG (meth.),0.0905
IER3 (meth.),0.0903
HID1,0.0888
ACE (meth.),0.0883
SCARB2,0.0875
NEDD4L,0.0859
AOX1 (meth.),0.0853
NCAPD3,0.0849
TNFRSF17 (meth.),0.0841
TSPAN1,0.0823
PIPOX (meth.),0.0817
SLC2A3 (meth.),0.0783
PICALM (meth.),0.0780
MARCHF10 (meth.),0.0759
TM9SF3,0.0757
HFE (meth.),0.0750
CREB3L1,0.0735
LGALS3 (meth.),0.0724
H4C4 (meth.),0.0716
TRPM8 (meth.),0.0711
HAPLN2 (meth.),0.0699
NCAPD2 (meth.),0.0695
TBX3,0.0694
SPDEF (meth.),0.0691
CXCL1 (meth.),0.0690
CD74 (meth.),0.0688
RGL3 (meth.),0.0685
HSD17B4,0.0683
CMPK1,0.0681
GSX2 (meth.),0.0676
DGAT2L6 (meth.),0.0674
EPSTI1 (meth.),0.0672
CD14 (meth.),0.0670
TMEM106A (meth.),0.0656
NOX1 (meth.),0.0653
PLA2G4E (meth.),0.0649
FURIN (meth.),0.0645
SNRPN,0.0644
SERP1,0.0639
INPP5B (meth.),0.0634
TAMALIN (meth.),0.0629
ALDH1A3,0.0621
MYH11,0.0619
SCRG1 (meth.),0.0616
ACSL3,0.0615
HERPUD1,0.0606
CKB,0.0600
CUL1 (meth.),0.0600
ASB4 (meth.),0.0587
LTBP4,0.0586
GNB2,0.0584
SORBS2 (meth.),0.0583
SRPX2 (meth.),0.0578
CXCL14 (meth.),0.0574
TMEM100 (meth.),0.0573
MAZ,0.0573
SMS,0.0572
PPT2 (meth.),0.0571
GLIPR1L1 (meth.),0.0570
PRECSIT (meth.),0.0568
FASN,0.0567
IL1R1,0.0566
VWA1,0.0566
COL11A2 (meth.),0.0555
MAOB (meth.),0.0552
CCRL2 (meth.),0.0547
DEFB1 (meth.),0.0540
ACY3 (meth.),0.0539
DMRT2 (meth.),0.0524
ATP6V0E2,0.0523
PRICKLE2 (meth.),0.0518
RHOH (meth.),0.0509
ABHD2,0.0508
STAT5A (meth.),0.0499
BST2 (meth.),0.0498
GPX5 (meth.),0.0497
SELENON,0.0497
TPD52,0.0496
CDH22 (meth.),0.0495
KLF8 (meth.),0.0494
GCNT2 (meth.),0.0486
GRIP1 (meth.),0.0485
ACSS3 (meth.),0.0484
CREB3L3 (meth.),0.0484
FAM24B (meth.),0.0480
