Gene Name,Score
SLC6A15 (meth.),0.0035
TGFB3 (meth.),0.0034
DPP6 (meth.),0.0033
ZFP42 (meth.),0.0033
FXYD3 (meth.),0.0032
FOLH1,0.0032
FLI1 (meth.),0.0032
FCER1A (meth.),0.0032
IFFO1 (meth.),0.0032
CPA3 (meth.),0.0032
PGLYRP3 (meth.),0.0031
ZNF671 (meth.),0.0031
GPX5 (meth.),0.0030
GJB6 (meth.),0.0030
FCAR (meth.),0.0030
IL7R (meth.),0.0030
TBXT (meth.),0.0029
CHRM5 (meth.),0.0029
PLAC8 (meth.),0.0029
FIBIN (meth.),0.0029
EPB41L3 (meth.),0.0029
SLC22A12 (meth.),0.0029
RHAG (meth.),0.0028
LIN7A (meth.),0.0028
FERD3L (meth.),0.0028
FOXG1 (meth.),0.0028
MBL2 (meth.),0.0027
FYB1 (meth.),0.0027
C2CD6 (meth.),0.0027
PCDHB5 (meth.),0.0027
FAP (meth.),0.0027
MYLK (meth.),0.0027
TM4SF4 (meth.),0.0027
CD53 (meth.),0.0027
PCP4 (meth.),0.0027
GPR143 (meth.),0.0027
SLC26A5 (meth.),0.0027
ZNF536 (meth.),0.0026
TGM4,0.0026
GCSAML (meth.),0.0026
ZNF667 (meth.),0.0026
TNFSF8 (meth.),0.0026
PCDHB6 (meth.),0.0026
NEFM (meth.),0.0026
CYTIP (meth.),0.0025
RGL3 (meth.),0.0025
INPP5B (meth.),0.0025
CD1B (meth.),0.0025
GCSAM (meth.),0.0025
TPSD1 (meth.),0.0025
CNTNAP2 (meth.),0.0025
H4C6 (meth.),0.0025
MS4A15 (meth.),0.0025
B4GALT6 (meth.),0.0025
SLC6A13 (meth.),0.0025
C11orf52 (meth.),0.0025
OR7C2 (meth.),0.0025
PTGDR (meth.),0.0025
STMN2 (meth.),0.0024
CA3 (meth.),0.0024
HKDC1 (meth.),0.0024
SLC22A9 (meth.),0.0024
TLX3 (meth.),0.0024
FTHL17 (meth.),0.0024
HNF1A (meth.),0.0024
SPACA7 (meth.),0.0024
FSHR (meth.),0.0024
C15orf48 (meth.),0.0024
MAGEC3 (meth.),0.0024
SIRPD (meth.),0.0024
KRTAP13-3 (meth.),0.0024
TRPM8 (meth.),0.0024
GRIA1 (meth.),0.0023
SUMO3 (meth.),0.0023
LYPD5 (meth.),0.0023
FAM107A (meth.),0.0023
WFDC6 (meth.),0.0023
KCNMB2 (meth.),0.0023
TNFRSF17 (meth.),0.0023
ANKRD53 (meth.),0.0023
HOXB2 (meth.),0.0023
ACRBP (meth.),0.0023
NMUR2 (meth.),0.0023
RNASE6 (meth.),0.0023
GABRB1 (meth.),0.0023
CD38 (meth.),0.0022
CRH (meth.),0.0022
BEST3 (meth.),0.0022
DISP1 (meth.),0.0022
HOXB1 (meth.),0.0022
GLRA2 (meth.),0.0022
HCG9 (meth.),0.0022
WDR72 (meth.),0.0022
SLITRK4 (meth.),0.0022
HEPACAM (meth.),0.0022
SGK2 (meth.),0.0022
PI15 (meth.),0.0022
CYTL1 (meth.),0.0022
EPB41L1 (meth.),0.0022
IL18 (meth.),0.0022
HOXA9 (meth.),0.0022
LYN (meth.),0.0022
DEF6 (meth.),0.0022
