Gene Name,Score
TSHR,0.4682
CTSB,0.3174
PAX8,0.3157
NPC2,0.3052
TG,0.2648
PLPP3,0.2647
LMO3,0.2554
INPP5J,0.2476
KCNJ16,0.2218
SLC25A29,0.2151
ARMCX3,0.2103
DTX4,0.1973
APLP2,0.1934
SNX1,0.1891
DUOX1,0.1743
MTCH1,0.1681
FN1,0.1640
LCN12 (meth.),0.1628
DIO2,0.1613
NAV3 (meth.),0.1562
NPNT,0.1514
OTOS (meth.),0.1492
SLC26A4-AS1,0.1483
ID4,0.1475
TMEM140 (meth.),0.1439
HOXB1 (meth.),0.1340
REEP5,0.1328
C16orf89,0.1299
GPX3,0.1269
CRYBB3 (meth.),0.1250
CLDN16 (meth.),0.1241
LRP4,0.1223
SLC26A7,0.1151
ZCCHC12,0.1137
TPO (meth.),0.1129
SLC34A2,0.1111
SLC23A2 (meth.),0.1109
DUSP6,0.1109
S100A13,0.1081
APMAP,0.1059
PBXIP1,0.1052
CLU,0.1046
CLCNKB (meth.),0.1035
PROS1,0.1024
LTBP3,0.1010
MADD (meth.),0.1010
CASP8 (meth.),0.1004
DUOX2,0.0995
TRIB1,0.0981
PHACTR2 (meth.),0.0973
DCSTAMP (meth.),0.0969
CITED1,0.0966
FRK (meth.),0.0948
CD96 (meth.),0.0945
BHLHE41,0.0920
NELL2,0.0908
ACY3 (meth.),0.0897
EXOC3L2 (meth.),0.0873
ADGRG1,0.0849
CCDC47 (meth.),0.0831
ISLR (meth.),0.0828
SNRPN,0.0810
MXRA7,0.0801
DHRS3,0.0799
TMT1A,0.0797
LRMDA (meth.),0.0794
SLC38A10 (meth.),0.0783
KCNMB2 (meth.),0.0778
TSC22D1,0.0774
POLR2D (meth.),0.0773
ST3GAL1,0.0770
PTHLH (meth.),0.0769
SLC15A2 (meth.),0.0755
IFITM1 (meth.),0.0751
FGF1 (meth.),0.0742
TRIM15 (meth.),0.0727
CIITA (meth.),0.0725
PDCD4,0.0719
CHD4,0.0719
KIAA1217,0.0718
SLC18A1 (meth.),0.0713
NDFIP1,0.0705
MIOX (meth.),0.0690
MAOA,0.0681
ISG20 (meth.),0.0672
FYN,0.0671
CCR6 (meth.),0.0668
GZMA (meth.),0.0650
ST6GALNAC1 (meth.),0.0649
CCND2,0.0633
TBX3,0.0629
GJD4 (meth.),0.0620
SCARA3,0.0617
CD200R1 (meth.),0.0604
SELP (meth.),0.0604
BBOX1 (meth.),0.0604
RHBDD2,0.0603
CCNI,0.0588
RNASE6 (meth.),0.0582
HEG1,0.0577
PTGDR2 (meth.),0.0562
GOLGA8A,0.0562
ITPR3,0.0561
SULT1A2 (meth.),0.0561
SDC4,0.0560
HKDC1 (meth.),0.0550
PEBP1,0.0549
GSN,0.0547
TLE5,0.0547
ECE1,0.0542
TRPV3 (meth.),0.0541
FABP3 (meth.),0.0537
TREML1 (meth.),0.0534
CNTN6 (meth.),0.0523
LAT2 (meth.),0.0518
GPX5 (meth.),0.0516
NTRK2,0.0514
CNTN4 (meth.),0.0510
CSNK1E (meth.),0.0510
RABGEF1 (meth.),0.0509
ZNF154 (meth.),0.0509
SAA1 (meth.),0.0506
ITGA3,0.0502
MT1F,0.0499
ZFP36L1,0.0498
GNAS,0.0491
PARM1,0.0488
CYP3A5 (meth.),0.0482
GDF5 (meth.),0.0481
BCOR (meth.),0.0476
PRKG2 (meth.),0.0476
SDC2,0.0473
HOPX,0.0470
ABCA2,0.0469
LRRK2,0.0468
PLXNB2,0.0464
PLXNB1 (meth.),0.0463
CLIC6 (meth.),0.0459
SORD,0.0458
S100A1,0.0456
PLS3,0.0456
ASPA (meth.),0.0454
SLAMF7 (meth.),0.0451
SUMO3 (meth.),0.0451
CAV2,0.0447
HAMP (meth.),0.0446
CRH (meth.),0.0446
KAZALD1 (meth.),0.0445
SAA2 (meth.),0.0440
RAP1GAP,0.0439
CCDC198 (meth.),0.0437
ZFP42 (meth.),0.0436
MXRA8,0.0434
PKP3 (meth.),0.0434
CAT,0.0432
PSPN (meth.),0.0430
CAMK2N1,0.0428
GCSAM (meth.),0.0428
CCRL2 (meth.),0.0427
TBR1 (meth.),0.0425
RNF187,0.0423
IRAK1,0.0423
ITK (meth.),0.0422
CIRBP,0.0421
SAT1,0.0420
PDE6B (meth.),0.0416
SRGN (meth.),0.0415
BPIFA1 (meth.),0.0414
DMBT1 (meth.),0.0414
MATN2,0.0414
SFTA2 (meth.),0.0414
MS4A8 (meth.),0.0413
AMDHD1 (meth.),0.0412
HNF1A (meth.),0.0410
DRD5 (meth.),0.0410
TNFSF8 (meth.),0.0408
HLA-DRA (meth.),0.0407
ARRDC3,0.0405
KSR1 (meth.),0.0403
WFDC6 (meth.),0.0401
ALAS1 (meth.),0.0399
SPDEF (meth.),0.0399
SLC22A12 (meth.),0.0399
SNTB1 (meth.),0.0398
TRH (meth.),0.0398
HOXD3 (meth.),0.0398
RRBP1,0.0395
CLCA1 (meth.),0.0395
FOXS1 (meth.),0.0393
COLGALT1,0.0393
LGALS2 (meth.),0.0391
RASGRP3 (meth.),0.0390
MCF2L (meth.),0.0389
ACOX2 (meth.),0.0389
TBC1D9B (meth.),0.0389
SORBS2 (meth.),0.0388
PITX1 (meth.),0.0388
BST2 (meth.),0.0386
ZNF577 (meth.),0.0386
TNFRSF4 (meth.),0.0385
PLVAP,0.0385
FNDC1,0.0378
FAM83A (meth.),0.0377
SUSD1 (meth.),0.0376
VHL (meth.),0.0373
MAMSTR (meth.),0.0373
PICALM (meth.),0.0373
PRKAR1A,0.0373
SH3TC1 (meth.),0.0372
S100A6,0.0372
A4GNT (meth.),0.0372
SPARCL1 (meth.),0.0371
TEX26 (meth.),0.0370
CYP1B1-AS1 (meth.),0.0369
EDARADD (meth.),0.0368
EMC10,0.0366
H1-1 (meth.),0.0365
SLCO1C1 (meth.),0.0365
GSDMC (meth.),0.0364
MSN,0.0363
PRG3 (meth.),0.0363
ADGRG1 (meth.),0.0363
CCDC181 (meth.),0.0360
SLC52A3 (meth.),0.0356
CDH1,0.0354
TRIM36 (meth.),0.0354
RFLNA (meth.),0.0352
GCNT2 (meth.),0.0350
SERPING1 (meth.),0.0349
C3 (meth.),0.0349
KRT5 (meth.),0.0349
WDR72 (meth.),0.0348
KIF25 (meth.),0.0344
PRKAR2B (meth.),0.0342
KLK3 (meth.),0.0339
TNFRSF19 (meth.),0.0338
