Gene Name,Score
TSHR,0.3684
CTSB,0.2812
NPC2,0.2733
PAX8,0.2671
LMO3,0.2232
PLPP3,0.2011
INPP5J,0.1915
SLC25A29,0.1865
TG,0.1800
ARMCX3,0.1754
APLP2,0.1686
KCNJ16,0.1663
DTX4,0.1606
SNX1,0.1597
FN1,0.1586
DIO2,0.1573
DUOX1,0.1458
NAV3 (meth.),0.1433
MTCH1,0.1430
NPNT,0.1378
LCN12 (meth.),0.1375
OTOS (meth.),0.1252
C16orf89,0.1168
REEP5,0.1161
CLDN16 (meth.),0.1095
GPX3,0.1071
CRYBB3 (meth.),0.1054
SLC26A4-AS1,0.1015
ID4,0.1013
LTBP3,0.1002
DUSP6,0.0987
TMEM140 (meth.),0.0975
S100A13,0.0970
SLC34A2,0.0955
HOXB1 (meth.),0.0954
LRP4,0.0943
PHACTR2 (meth.),0.0932
SLC23A2 (meth.),0.0929
PROS1,0.0929
APMAP,0.0928
TRIB1,0.0926
TPO (meth.),0.0909
CLCNKB (meth.),0.0907
ACY3 (meth.),0.0875
SLC26A7,0.0873
DCSTAMP (meth.),0.0851
PBXIP1,0.0834
CCDC47 (meth.),0.0830
FRK (meth.),0.0825
CD96 (meth.),0.0823
CASP8 (meth.),0.0812
ISLR (meth.),0.0781
NELL2,0.0757
ZCCHC12,0.0757
KCNMB2 (meth.),0.0749
CLU,0.0747
MADD (meth.),0.0743
BHLHE41,0.0735
LRMDA (meth.),0.0730
SLC38A10 (meth.),0.0713
CITED1,0.0712
MXRA7,0.0704
DUOX2,0.0703
TRIM15 (meth.),0.0698
SLC18A1 (meth.),0.0694
KIAA1217,0.0692
PTHLH (meth.),0.0688
FGF1 (meth.),0.0660
CIITA (meth.),0.0650
MIOX (meth.),0.0642
EXOC3L2 (meth.),0.0640
DHRS3,0.0638
TSC22D1,0.0631
ST3GAL1,0.0629
CHD4,0.0622
IFITM1 (meth.),0.0615
GSN,0.0603
ADGRG1,0.0599
HEG1,0.0599
PDCD4,0.0596
GZMA (meth.),0.0596
CCR6 (meth.),0.0587
CCNI,0.0581
MAOA,0.0578
SLC15A2 (meth.),0.0577
POLR2D (meth.),0.0577
SNRPN,0.0576
TBX3,0.0561
SELP (meth.),0.0554
ECE1,0.0549
ST6GALNAC1 (meth.),0.0549
ITPR3,0.0543
ISG20 (meth.),0.0541
BCOR (meth.),0.0536
RNASE6 (meth.),0.0526
SCARA3,0.0522
GJD4 (meth.),0.0519
TRPV3 (meth.),0.0513
TMT1A,0.0512
TREML1 (meth.),0.0509
PLS3,0.0505
ZFP36L1,0.0502
TLE5,0.0493
ITGA3,0.0492
PTGDR2 (meth.),0.0490
CD200R1 (meth.),0.0487
BBOX1 (meth.),0.0486
MXRA8,0.0472
LTBP2,0.0468
RABGEF1 (meth.),0.0461
FABP3 (meth.),0.0460
PRKG2 (meth.),0.0457
RHBDD2,0.0455
NDFIP1,0.0455
PARM1,0.0455
SULT1A2 (meth.),0.0453
CNTN4 (meth.),0.0451
ASPA (meth.),0.0450
ARRDC3,0.0449
SFTA2 (meth.),0.0446
MATN2,0.0443
PLXNB2,0.0439
SDC4,0.0438
GPX5 (meth.),0.0437
LAT2 (meth.),0.0434
CCDC198 (meth.),0.0432
CCND2,0.0428
PLVAP,0.0428
HOPX,0.0424
MT1F,0.0424
CSNK1E (meth.),0.0423
AMDHD1 (meth.),0.0422
RAP1GAP,0.0419
HAMP (meth.),0.0416
SAT1,0.0413
GOLGA8A,0.0411
ZNF154 (meth.),0.0410
HLA-DRA (meth.),0.0408
CYP3A5 (meth.),0.0407
CAV2,0.0406
WFDC6 (meth.),0.0405
BPIFA1 (meth.),0.0397
LGALS2 (meth.),0.0395
GDF5 (meth.),0.0394
SUMO3 (meth.),0.0393
CA9 (meth.),0.0390
SLC22A12 (meth.),0.0388
RNF187,0.0385
MS4A8 (meth.),0.0385
TRIM36 (meth.),0.0374
S100A1,0.0373
CRH (meth.),0.0372
FYN,0.0371
CNTN6 (meth.),0.0368
SORD,0.0368
PRKAR2B (meth.),0.0368
DRD5 (meth.),0.0365
TNFSF8 (meth.),0.0365
ZFP42 (meth.),0.0365
HNF1A (meth.),0.0360
RRBP1,0.0360
CYBRD1,0.0355
TNFRSF19 (meth.),0.0354
PKP3 (meth.),0.0354
PEBP1,0.0354
LPO (meth.),0.0351
ACOX2 (meth.),0.0351
ALAS1 (meth.),0.0351
HKDC1 (meth.),0.0351
A4GNT (meth.),0.0351
FOXS1 (meth.),0.0349
SLAMF7 (meth.),0.0349
TBR1 (meth.),0.0348
ADGRD1 (meth.),0.0348
CAMK2N1,0.0345
H1-1 (meth.),0.0345
CCRL2 (meth.),0.0343
FAM83A (meth.),0.0343
DNAJB13 (meth.),0.0342
CLCA1 (meth.),0.0341
TNFRSF4 (meth.),0.0341
MSN,0.0340
SH3TC1 (meth.),0.0340
PSPN (meth.),0.0339
ARHGEF12,0.0337
WDR72 (meth.),0.0337
PLXNB1 (meth.),0.0337
LEFTY1 (meth.),0.0336
PRTN3 (meth.),0.0336
VNN1 (meth.),0.0336
SDC2,0.0335
HLF (meth.),0.0334
BST2 (meth.),0.0334
IRAK1,0.0333
VHL (meth.),0.0331
SAA1 (meth.),0.0330
CLIC6 (meth.),0.0329
PITX1 (meth.),0.0329
KIF25 (meth.),0.0329
PCDHB5 (meth.),0.0329
LTBP4,0.0328
PRG3 (meth.),0.0327
SUSD1 (meth.),0.0327
HOXD3 (meth.),0.0327
SLC10A2 (meth.),0.0326
SERPING1 (meth.),0.0326
UHRF1 (meth.),0.0324
RASGRP3 (meth.),0.0323
KSR1 (meth.),0.0322
GCSAM (meth.),0.0321
ITK (meth.),0.0320
CAT,0.0320
GNAS,0.0317
MYC,0.0317
PDE6B (meth.),0.0317
SORBS2 (meth.),0.0316
PRKAR1A,0.0316
IL21R (meth.),0.0315
S100A6,0.0315
DMBT1 (meth.),0.0315
COLGALT1,0.0314
CRLF1,0.0312
KAZALD1 (meth.),0.0312
CDH1,0.0311
FNDC1,0.0311
SNHG5,0.0310
RFLNA (meth.),0.0309
MRGPRX4 (meth.),0.0309
TRH (meth.),0.0308
KRT5 (meth.),0.0308
GUCA1A (meth.),0.0308
LRRK2,0.0308
TEX26 (meth.),0.0307
SAA2 (meth.),0.0307
P2RX1 (meth.),0.0307
