Gene Name,Score
DIO2,0.0042
AGR2 (meth.),0.0037
EPHA5 (meth.),0.0037
WNK3 (meth.),0.0036
LYPD5 (meth.),0.0035
WDR72 (meth.),0.0034
HLF (meth.),0.0034
TCN1 (meth.),0.0032
FOXG1 (meth.),0.0032
LCE3D (meth.),0.0031
IFITM1 (meth.),0.0031
FIBIN (meth.),0.0030
SULT2B1 (meth.),0.0030
PHACTR2 (meth.),0.0030
ZNF536 (meth.),0.0030
NELL1 (meth.),0.0029
CYBA (meth.),0.0029
GDF3 (meth.),0.0028
MAGEE2 (meth.),0.0028
STMN2 (meth.),0.0028
B4GALT6 (meth.),0.0028
KLHL6 (meth.),0.0027
HAAO (meth.),0.0027
HTR2C (meth.),0.0027
FTHL17 (meth.),0.0027
RNLS (meth.),0.0027
TRPM8 (meth.),0.0027
DPP6 (meth.),0.0026
KCNMB2 (meth.),0.0026
SLC22A9 (meth.),0.0026
TFAP2B (meth.),0.0026
SORCS3 (meth.),0.0026
IL1RL2 (meth.),0.0026
UTF1 (meth.),0.0026
SLC16A5 (meth.),0.0026
GPR143 (meth.),0.0026
CD33 (meth.),0.0026
BEST3 (meth.),0.0026
GCNT2 (meth.),0.0025
NOX1 (meth.),0.0025
GLYAT (meth.),0.0025
BNIPL (meth.),0.0025
LMO3 (meth.),0.0025
SLC8A2 (meth.),0.0025
TRIM2 (meth.),0.0025
HEPH (meth.),0.0025
MYH4 (meth.),0.0025
MYLK (meth.),0.0025
CNTN6 (meth.),0.0025
TTN (meth.),0.0025
ELN (meth.),0.0025
CNTNAP2 (meth.),0.0025
HTR3D (meth.),0.0025
MAGED1 (meth.),0.0025
PICALM (meth.),0.0025
GCSAML (meth.),0.0024
GPRASP3 (meth.),0.0024
ADH6 (meth.),0.0024
GNG4 (meth.),0.0024
SLC23A2 (meth.),0.0024
HOXA5 (meth.),0.0024
GYPC (meth.),0.0024
HCG9 (meth.),0.0024
ZNF154 (meth.),0.0024
KLF8 (meth.),0.0024
MAOA (meth.),0.0024
OTOP1 (meth.),0.0024
IRAG2 (meth.),0.0024
SST (meth.),0.0024
PLAC1 (meth.),0.0024
CAVIN2 (meth.),0.0023
SLC6A13 (meth.),0.0023
GCM1 (meth.),0.0023
CXCR2 (meth.),0.0023
GLRA2 (meth.),0.0023
EPB41L1 (meth.),0.0023
VXN (meth.),0.0023
SRPX2 (meth.),0.0023
ADCY4 (meth.),0.0023
CRB3 (meth.),0.0023
TRH (meth.),0.0023
OR5V1 (meth.),0.0023
PEAK3 (meth.),0.0023
SLITRK1 (meth.),0.0023
BBOX1 (meth.),0.0023
HOXD10 (meth.),0.0023
C11orf52 (meth.),0.0023
TNFSF4 (meth.),0.0023
ANKRD53 (meth.),0.0023
GSDMC (meth.),0.0023
FERD3L (meth.),0.0023
HOXB2 (meth.),0.0023
IL18 (meth.),0.0023
NOX4 (meth.),0.0023
CYTIP (meth.),0.0022
HSD17B2 (meth.),0.0022
SLC38A10 (meth.),0.0022
USH2A (meth.),0.0022
PCP4 (meth.),0.0022
SELENBP1 (meth.),0.0022
GRIP1 (meth.),0.0022
CTSB,0.0022
GJB6 (meth.),0.0022
HOXD3 (meth.),0.0022
C8A (meth.),0.0022
KSR1 (meth.),0.0022
ZNF577 (meth.),0.0022
TBXT (meth.),0.0022
GFRA3 (meth.),0.0022
S100A2 (meth.),0.0022
FAP (meth.),0.0022
HCAR1 (meth.),0.0022
INPP5B (meth.),0.0022
CHL1 (meth.),0.0021
GZMA (meth.),0.0021
KL (meth.),0.0021
RGN (meth.),0.0021
NEFM (meth.),0.0021
CASP8 (meth.),0.0021
ACVR1 (meth.),0.0021
TGFB3 (meth.),0.0021
ABCC2 (meth.),0.0021
CRIP3 (meth.),0.0021
SLITRK4 (meth.),0.0021
TRIM15 (meth.),0.0021
CD53 (meth.),0.0021
BATF (meth.),0.0021
DYNLT5 (meth.),0.0021
GRIA1 (meth.),0.0021
ARSL (meth.),0.0021
VSX1 (meth.),0.0021
CRH (meth.),0.0021
